Sat Jul 25 16:00:03 PDT 2015 --  Time to see what this suit can do. @Marvel's #AntMan is now playing. pic.twitter.com/1ET7aCbAhD
Tue Oct 01 18:58:37 PDT 2013 --  I was never really for #tiva but I'm ALL ABOUT the #densi.
Tue Oct 01 17:59:59 PDT 2013 --  Ok... FYI Another kiss between #tiva was filmed long ago but never aired. Maybe one day... Thanks for all your love. #ncis #tiva
Mon Sep 30 19:08:59 PDT 2013 --  Shutdown looking like its going to happen. #Salem4Congress
Sun Sep 29 19:20:53 PDT 2013 --  Hi. This is the moment where I get a little emotional-2 days until the episode-I haven't been this out of sorts since season 3. EPIC.
Sat Sep 28 15:50:39 PDT 2013 --  “I’m done, guys. I’m done. I gave everything that I have. I think Thursday was the game that I left everything on the field.” - Mo.
Sat Sep 28 10:55:20 PDT 2013 --  Win front row tickets to see @georgestrait in his farewell tour #TheCowboyRidesAway at http://smarturl.it/71u8nb  #GeorgeStraitNewark
Thu Sep 26 19:15:49 PDT 2013 --  Mo slowly walks to the mound and collects a handful of Yankee Stadium dirt. Another loud ovation. #ExitSandman
Thu Sep 26 19:05:02 PDT 2013 --  Chants of “Mariano” echo around Yankee Stadium as Mo tips his cap to the crowd once more. Thank you, Mo, for everything. #ExitSandman
Thu Sep 26 19:00:23 PDT 2013 --  With 2 outs in the 9th, Andy Pettitte and Derek Jeter come out to get Mariano. Long embraces all around. Chills. #ExitSandman
Thu Sep 26 18:46:51 PDT 2013 --  The bullpen doors opened, #EnterSandman blared and Mariano Rivera jogged onto the Stadium diamond one last time: http://atmlb.com/1bb7g0S 
Thu Sep 26 03:14:10 PDT 2013 --  “ @TheBucktList: basically http://twitter.com/TheBucktList/status/383108808555253760/photo/1pic.twitter.com/GahKxKFVwY ” OMG THIS.
Tue Sep 24 21:41:47 PDT 2013 --  “Thanks Susannah@SingingThruLife: I was most impressed with the depth of performance by @ericcolsen in the season premiere. #tearsontears
Tue Sep 24 17:43:52 PDT 2013 --  The wounded Dinozzo #ncis pic.twitter.com/R99IJFcN4Q
Tue Sep 24 17:38:14 PDT 2013 --  RT with #NCIS and you could win this lovely DVD pic.twitter.com/OUsJ1pHgRl
Tue Sep 24 17:35:13 PDT 2013 --  4 dudes o/a couch watching a erectile disfunction commercial. everything is going according to @M_Weatherly plan @BrianDietzen @SeanHMurray
Tue Sep 24 17:33:01 PDT 2013 --  it moves so fast when we tweet while watching! #NCIS
Tue Sep 24 17:32:59 PDT 2013 --  Kate the goldfish: #ncis #cialis (sorry for the cialis plug.) pic.twitter.com/b5VCE8b9jk
Tue Sep 24 17:32:56 PDT 2013 --  @M_Weatherly just said 'I look like what you catch on a tuna fishing boat, but its not a tuna.' I laughed, SO hard.
Tue Sep 24 17:33:39 PDT 2013 --  DiNozzo is remodeling in a mid-century mob hit style. He's always doing such unique, trendy things. #NCIS
Tue Sep 24 17:31:52 PDT 2013 --  I tweet like this: #ncis pic.twitter.com/I2fBUg7DsB
Tue Sep 24 17:31:03 PDT 2013 --  Dinozzo's apartment stayed shot up for days while we filmed these scenes - EP Gary Glasberg
Tue Sep 24 17:31:15 PDT 2013 --  Duck and cover! #ncis pic.twitter.com/gqt8hpevu9
Tue Sep 24 17:30:02 PDT 2013 --  #ohnofornell salmon is not my color. Diet coming soon. #ncis
Tue Sep 24 17:24:53 PDT 2013 --  I can't even begin to keep up with #@BrianDietzen 's tweet speed... he's beside me going nuts #NCIS
Tue Sep 24 17:24:31 PDT 2013 --  “ @AdamHamburger21: "I'll travel for good Hummus" - @M_Weatherly #NCIS”
Tue Sep 24 17:24:28 PDT 2013 --  Tony. Best. Visitor. Ever. #NCIS
Tue Sep 24 17:23:54 PDT 2013 --  Every time Weatherly wears the color salmon, crazy stuff happens #FACT #NCIS
Tue Sep 24 17:09:48 PDT 2013 --  Ladies be throwin themselves at McGee. Fo Real. #NCIS
Tue Sep 24 17:06:22 PDT 2013 --  I love #NCIS but I'm confused. Why is tony talking to himself so much....
Tue Sep 24 17:00:51 PDT 2013 --  Previously, on #NCIS.... Things got real real.
Tue Sep 24 16:59:21 PDT 2013 --  OMG it's almost time........... pic.twitter.com/Sg6D1Cc8U9
Tue Sep 24 16:59:20 PDT 2013 --  #phoof time! #NCIS
Sun Sep 22 15:15:29 PDT 2013 --  Baby you left me defenseless. I've only got plea. Lock me away inside of your love & throw away the key. I'm guilty of #LoveInTheFirstDegree
Sun Sep 22 14:19:54 PDT 2013 --  When asked how is arm feels, Mariano looks down at arm and asks "How do you feel?" #ExitSandman
Sun Sep 22 14:14:33 PDT 2013 --  Mariano on Andy's start: "It was special. Extra crispy!" #ExitSandman
Sun Sep 22 13:07:23 PDT 2013 --  This Yankee game has too many feels. #Yankees #MarianoRivera #AndyPettitte #TheresCryingInBaseball
Sun Sep 22 13:05:10 PDT 2013 --  That will do it for Andy Pettitte today. The #Yankees faithful rises up and gives him an incredible ovation.
Sun Sep 22 12:22:16 PDT 2013 --  19 years ago these characters came to life. #19yearsofFRIENDS pic.twitter.com/gDu5QqFnMy
Sat Sep 21 19:21:15 PDT 2013 --  “ @nytimes: What ever happened to the whale in "Free Willy?" http://nyti.ms/18Iq2s3 ” RIP Keiko. I'm glad we're still talking about this.
Sat Sep 21 14:08:53 PDT 2013 --  Doesn't get much sexier than my side kick. The one and only @carrieunderwood at The #Emmys. pic.twitter.com/n9ztwUqZ7T
Sat Sep 21 16:15:18 PDT 2013 --  “ @mikefisher1212: What about young and the restless?” So..What you're telling people right now is: I watch Criminal Minds & you watch soaps.
Sat Sep 21 14:46:22 PDT 2013 --  I just bred a Cotton Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Fri Sep 20 09:13:29 PDT 2013 --  "I’ve reached the point where I know that I’ve left everything I have out there on that field. The time is right." - Andy Pettitte.
Thu Sep 12 15:25:30 PDT 2013 --  Seaside is on fire and my heart can barely take it anymore.
Wed Sep 11 04:23:20 PDT 2013 --  We #neverforget but we do move on, rebuild and grow stronger!!! #GodblesstheUSA #911 #sept11 #beforeafter http://instagram.com/p/eGq4FWFHnC/ 
Tue Sep 10 17:38:41 PDT 2013 --  It's SO HARD to watch #RizzoliandIsles knowing that eventually, Detective Frost won't be there. #ripleethompsonyoung
Sun Sep 08 20:16:51 PDT 2013 --  Harry Potter... pic.twitter.com/TlZsmoqr9O
Fri Sep 06 06:16:41 PDT 2013 --  Congrats to cast & crew. Through broken ankles, broken backs & broken hearts. We made it. Last day of R&I season 4. pic.twitter.com/GWemspEUCx
Sun Sep 01 12:02:12 PDT 2013 --  There might be a little dust on the bottle, But don't let it fool ya about what's inside. #DavidLeeMurphy
Fri Aug 30 19:43:56 PDT 2013 --  Rehearsing 1st crime scene w/out him... Letting us know he's here (Credit: Anthony Hardwick, DP) pic.twitter.com/03IK8wwFbc
Tue Aug 27 08:31:15 PDT 2013 --  The Liars should invite "A" for some #NeverEndingPasta and solve this mystery over breadsticks. #PrettyLittleLiars
Wed Aug 28 15:53:41 PDT 2013 --  So what im getting is that you guys are more crazed over Ezra than finding out Ali is ALIVE? Hahahahahahhaha #pll
Mon Aug 26 22:02:10 PDT 2013 --  Am I watching a scary movie? Nope. Just the #VMAs pic.twitter.com/FNN5oFHu4Q
Mon Aug 26 18:43:57 PDT 2013 --  I just entered for a chance to crash the #CMAAwards with @LukeBryanOnline. You can too! #crashmyparty http://win.lukebryan.com 
Mon Aug 26 16:33:59 PDT 2013 --  Fun at Paisley Manor... https://vine.co/v/hiqV1Y1tlO9 
Mon Aug 26 17:39:56 PDT 2013 --  (Regarding Miley Cyrus) Kellie: "She should be fined for indecency. Bring down my tax dollars and get these idiots to stop."
Sun Aug 25 05:00:17 PDT 2013 --  #FRIENDSoneliners pic.twitter.com/gmv1pHOzDW
Fri Aug 23 12:26:55 PDT 2013 --  So sad to hear about @Lee_T_Young. RIP Lee.
Tue Aug 20 19:11:15 PDT 2013 --  I just bred a Platinum Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Sun Aug 18 16:35:15 PDT 2013 --  I just bred a Gold Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Sun Aug 18 13:09:38 PDT 2013 --  Spilling a full beer that you just paid for is the adult equivalent of letting go of a balloon.
Sat Aug 17 07:07:49 PDT 2013 --  Another pic.twitter.com/iJSVRXhoGP
Sat Aug 17 07:07:10 PDT 2013 --  Awesome pic. Crazy. pic.twitter.com/nG1vH4nNkT
Fri Aug 16 05:54:05 PDT 2013 --  "Lose one friend, lose all friends, lose yourself." #lifemorals #playswithsquirrels #boymeetsworld
Fri Aug 16 06:13:18 PDT 2013 --  Now that was awesome! #LukeBryanToday #CrashMyParty pic.twitter.com/cM5AW57b2n
Fri Aug 16 04:00:52 PDT 2013 --  Soundcheck done I'm ready #LukeBryanToday pic.twitter.com/GlhVTyPea1
Fri Aug 16 03:24:19 PDT 2013 --  Pulled up at @todayshow. Seriously overwhelming.
Fri Aug 16 03:08:37 PDT 2013 --  Hey y'all send pics of your @todayshow sign. I'm on the way. #lukebryantoday
Thu Aug 15 16:51:35 PDT 2013 --  2 days 20 hours and 8 mins until the craziness ends
Mon Aug 12 20:51:04 PDT 2013 --  “ @CoIbertReport: @WilliamShatner @allonsyten Look at http://gishwhes.com . That kind of explains it.” It doesn't.
Mon Aug 12 21:01:20 PDT 2013 --  “ @heykim: @WilliamShatner what the HECK are gishwhes? is that pig Latin ? #colourmeLOST” this Misha person is obviously starting a cult...
Mon Aug 12 21:29:06 PDT 2013 --  What are all these clock accounts? This is like Alice's trip through the looking glass
Mon Aug 12 22:44:24 PDT 2013 --  “ @Numbrocker02: God Bless @WilliamShatner but I advise to not engage in #GISHWHES. They've already annoyed NASA.” I saw.
Thu Aug 15 16:20:41 PDT 2013 --  Don't grow up. It's a trap.
Thu Aug 15 11:25:08 PDT 2013 --  CONGRATULATIONS to the BEST CAST & CREW EVER!! I am so blessed to work w/ all of you & I LOVE YOU GUYS! #rizzoliandislesSeason5 #R&Ipickup
Wed Aug 14 05:23:29 PDT 2013 --  Air conditioning? Really? It's 60 degrees this morning. Open some windows & enjoy the sea breeze.
Tue Aug 13 14:13:20 PDT 2013 --  I just bred a Forest Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Mon Aug 12 14:15:34 PDT 2013 --  RT @NASA_Astronauts: We love #GISHWHES. Unfortunately, we can't participate. Best of luck! @NASA ...what are they doing that's so important?
Tue Aug 13 04:11:38 PDT 2013 --  I just bred a Malachite Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Mon Aug 12 18:13:23 PDT 2013 --  “ @WomensHumor: Whenever I get work emails past 7pm: http://bre.ad/1ek172 ” @krosko21
Mon Aug 12 17:50:13 PDT 2013 --  So nice to hear Florida Georgia line perform the original cruise without Nelly at the CMAs #cmafest
Mon Aug 12 17:47:45 PDT 2013 --  Totally need to go to the CMA Music Festival next year! #cmafest
Mon Aug 12 17:43:17 PDT 2013 --  Chew tobacco, chew tobacco, chew tobacco, spit. Love this song! #cmafest
Mon Aug 12 12:49:36 PDT 2013 --  Thinking about giving a @KipMooreMusic signed CD away for #CountrysNightToRock tonight! RT if you think that's a good plan! #CMAFest
Sun Aug 11 16:31:42 PDT 2013 --  Everyone follow @gishwhesalarm42!! We need 200 followers by the end of the week!
Sun Aug 11 11:15:52 PDT 2013 --  "They're not here an hour & they're already measuring something." #DoItYourself #HomeImprovement
Sat Aug 10 20:29:23 PDT 2013 --  I can't believe the mess people leave after tailgating. It's disgusting.
Sat Aug 10 17:10:17 PDT 2013 --  Congrats @reba on the Reba exhibit opening at the Country Music Hall Of Fame can't wait 2 C it I'm sure it beats the 1 in my basement love u
Sat Aug 10 17:11:06 PDT 2013 --  Like a soundtrack to a July Saturday night... Springsteen! #EricChurch #NoShoesNation pic.twitter.com/y1yqHyhmFA
Sat Aug 10 10:43:01 PDT 2013 --  Headed to tailgate before the @kennychesney concert! Can't wait to see the pool! #ProjectRedneck
Fri Aug 09 11:17:31 PDT 2013 --  Lots of great performers this Sunday at the teen choice awards. My personal excitement level is overflowing for @FLAGALine ...ohhhh my
Thu Aug 08 12:11:33 PDT 2013 --  Finally watching Tuesday's #PrettyLittleLiars! #JealousEzra
Thu Aug 08 07:12:03 PDT 2013 --  @la_la_lauren_k Yup! pic.twitter.com/ZkBDZYdfCb
