Fri Aug 21 15:26:09 PDT 2015 --  pic.twitter.com/377Y8UV8zj
Mon Jun 18 11:37:50 PDT 2012 --  ماشاء الله تبارك الله نفسه الشكل نفس الستره الزرقاء اللي وراه نفس الترسيمه ف الشماغ ياناس هذا الادمي اساس ف السعوديه pic.twitter.com/hsz6Huqg
Mon Jun 18 09:19:23 PDT 2012 --  للأيفون تطبيق ألة حاسبة بشكل أحترافية ١،٩٩$ مجاني لفترة http://itunes.apple.com/us/app/calculator/id458535809?mt=8&ls=1 …
Mon Jun 18 08:02:59 PDT 2012 --  محشش قآعد ينآظر حوض سمك له سآعتين ! جآء خويه سأله : وشفيك تنآظر آلحوض ؟؟! قآل : يلعن بليس السمك نفسهم طوييييل
Sun Jun 17 06:30:13 PDT 2012 --  ربي أصرف عن أمي ثلاث : نار جهنم ، وفتنه القبر ، و عين الحاسـد .. تستاهل ريتويت
Sun Jun 17 06:10:23 PDT 2012 --  كم هم حقراء وسفلة أولئك الذين لا يحترمون حرمة الموت
Sun Jun 17 05:47:26 PDT 2012 --  معلومة : كثرة استخدامك لسيري سوف تتعرف اكثر على كيفية نطقك للحروف و مخارجها و تفهمك بسرعة دون ان تخطأ بالرد على سؤالك .
Sun Jun 17 05:12:54 PDT 2012 --  من يتجه لسامسونج و يتخلى عن الآيفون صدقوني لديه فضول و حب التجربة فقط وسوف يرجع ، " ما الحب الى للحبيب الأولي "
Sat Jun 16 06:08:09 PDT 2012 --  إعلان هام: تم تأجيل افتتاح برنامج أرامكو السعودية الثقافي 2012م في كل من الظهران والرياض وجدة إلى يوم الأربعاء الموافق 20 يونيو 2102م.
Tue Jun 12 17:03:19 PDT 2012 --  محشش يغازل وحده قالها : شسمك؟ قالت: اسماء قال : ححركات يعني مالك اسم معين
Tue Jun 12 17:05:37 PDT 2012 --  محشش جايه أرق قال لصديقه: وشلون انام؟قال له :عد ل500 ويجيك النوم قام عد ولما وصل ل450 نعس قام غسل وجهه وكمل غبي هههههههاااي
Thu Jun 14 10:06:59 PDT 2012 --  Today is going to be a tiring day.
Thu Jun 14 08:21:44 PDT 2012 --  U.S. emissions down, #natgas use up http://bit.ly/M7u1Dg  (PHOTO) pic.twitter.com/ALo5ixV9
Thu Jun 14 08:12:41 PDT 2012 --  في ناس من كثر زخرفة نكاتهم و كلامهم ! ودي أحطهم فـ لسته .. واسميها ( محل أمجدي للسجآد الإيراني )
Thu Jun 14 07:13:01 PDT 2012 --  هل تعلم ان الحلزون يستطيع النوم ثلاث سنين متواصله دون ان يستيقظ !! عزيزي الحلزون تبادل ؟؟
Thu Jun 14 06:32:13 PDT 2012 --  قمة التحطيم لما تقول لأمك نكته .. وانتم بالسيارة ، تنتظرها تضحك فجأه تقول كان لفيت من هنا طيب النكته يالغاليه وش صار عليها
Wed Jun 13 14:35:41 PDT 2012 --  Good judgment comes from experience, and experience comes from bad judgment. #
Wed Jun 13 13:39:37 PDT 2012 --  الف مبروك للمنتخب الالماني
Wed Jun 13 13:17:02 PDT 2012 --  هيه هيه هيه ياهولندا ياله اديهم الثاني #euro2012 #هولندا_ألمانيا #هولندا_vs_ألمانيا
Wed Jun 13 12:59:57 PDT 2012 --  محشش وقفوه الشرطة قال له الشرطي هات الرخصة ، قال أي حشيش طال عمرك ؟؟  فضح نفسه
Wed Jun 13 12:59:47 PDT 2012 --  الدفاع في المنتخب الهولندي مررره سئ ما توقعته يوصل للمستوى هذا #هولندا_vs_ألمانيا #euro2012
Wed Jun 13 12:52:00 PDT 2012 --  "صديقك من يصارحك في اخاطئك لا من يجاملها ليكسب رضاءك ،،"
Wed Jun 13 12:37:06 PDT 2012 --  في A في A في A في A ياهولندا #euro2012
Wed Jun 13 12:35:56 PDT 2012 --  في A
Wed Jun 13 10:19:18 PDT 2012 --  ​ذهب أعرابي للبقالة وسأل الهندي: هل لديك تبغ ؟ فقال الهندي: تبغ الصدق ، أكذب عليك !! المهم الهندي ما يشوف في عينه اليمين ☻
Wed Jun 13 10:01:58 PDT 2012 --  يا بقره يا حيوانه يا حقيره يا حماره يا بايخه يا هبله .. إذا سمعت مثل هذه الكلمات لا تظن أنها هوشه ،، بل بنات كيوت يسلمون ع بعض !
Wed Jun 13 10:05:04 PDT 2012 --  محشش زارتهم أم زوجته سألها:كم يوم بتجلسين عندنا ؟ قالت:لين تملون مني , قال لها شدعوه تو الناس على الأقل اشربي قهوه قبل لاتمشين
Tue Jun 12 04:33:03 PDT 2012 --  وزارة الإسكان تكلف شركة العلم بدراسة وإعداد مشروع نظام إيجار الخاص بتنظيم سوق الإيجارات... http://bit.ly/LoT4pR  via @Argaam
Mon Jun 11 00:12:53 PDT 2012 --  هههههههه اول مره في حياتي يعطي مصري واحد سعودي هديه مبلغ مالي . اخاف انه يسحبه منه بعد شوي هههههههه #الرياض
Sun Jun 10 14:30:57 PDT 2012 --  اللي يسمي البرغر( همبرقل ) للحين !!! هذا لاينتحر :| انا بنتحر عنه =))
Sun Jun 03 20:22:20 PDT 2012 --  انتشار تعاطي الشباب للهرمونات لزيادة حجم عضلاتهم تسبب اضرار مثل العقم والضعف الجنسي ... وكل وحده مستانسه بحبيبها المعضل اخرتها ما يدق سلف XP
Sun Jun 03 08:58:11 PDT 2012 --  محشش يسأل وحده خاله ! قالها: شسمك!؟ قالت له: اسمي تلقاه بين الورود والزهور!! رد عليها : أكيد سماد
Sun Jun 03 15:40:27 PDT 2012 --  قمة الاستعباط : إذا كان الحلم حلو وفجأة قمت وانقطع! ترجع تغمض عيونك وتشغل خيالك وتكمله بكيف أمك ﻓلم ھٓو"=D
Sun Jun 03 15:43:52 PDT 2012 --  اللي كان يفصل البلايستيشن الدقيقة 88 لأنه مهزوم ! خشمك يالذيب كل شيء إلا الغبنة =))
Sun Jun 03 16:15:53 PDT 2012 --  الـمصري يدرس عيالك و الفلبينيه تربي عيالك و الهنديه تطبخلك و الأمريكان يحمونك و البنقالي يغسل سيارتك .. ‎# يخرب‏ بيتك شنو دورك بالحياه
Sun Jun 03 16:19:35 PDT 2012 --  واحد راح مطعم وعقب ما طلب قال: للهندي : صديق سوي جلدي رد الهندي قاله: جلدي ولا مخمل! المهم الجلسة تاريخ 3 / 9 / 2012م التهمة:شروع بالقتل
Sun Jun 03 19:13:06 PDT 2012 --  هء هء هء آلللللله كثّرت الفطور مخي خارج التغطيه #صباح_الرياض
Sun Jun 03 03:17:57 PDT 2012 --  عندما ترتفع .. سيعرف أصدقائك من أنت ! لكن عندما تسقط .. ستعرف من هم أصدقائك !! د. إبراهيم الفقي - رحمه الله عليه
Sun May 27 05:15:24 PDT 2012 --  They said what's happening . I want to say to all of them FUCK OFF , But I can't ☹
Sat May 26 16:19:58 PDT 2012 --  #اختبارات With a heart as brave as yours, am sure no test can take you down. I wish you all the luck for success.
Sat May 26 16:18:53 PDT 2012 --  Don't let pressure get a hold of you, stand strong with focus and calmness. You are certain to succeed. #اختبارات
Sat May 26 16:17:19 PDT 2012 --  The only person, who shall shape your future, is you. Good luck to all students.
Sat May 26 03:39:50 PDT 2012 --  هل تعلم ان سكان مدينة الرياض بإستخدامهم باقات الانترنت الجوال(HSPA)يدفعون ٦ ملايين يومياً لأحد مشغلي الجوال=مليارين وربع سنوياً، فقط انترنت
Tue May 22 03:36:36 PDT 2012 --  اعوذ بالله وش هذا الحر الله لا يغضب علينا اللهم اجرنا من جهنم
Sat May 19 03:17:46 PDT 2012 --  نايف القحطاني اول سعودي يؤسس أول شركة لوجستية سعودية ١٠٠٪ http://www.ep-mena.com/electronic/ 
Fri May 18 14:10:11 PDT 2012 --  1 of every 5 new private jobs created between 2003 and 2011 was supported by the #oil and #natgas industry: http://bit.ly/J9XuAU  #USjobs
Fri May 18 13:31:42 PDT 2012 --  Estimates show that the Arctic holds around 30% of the world’s undiscovered natural gas & 13% of yet-to-find oil. http://bit.ly/IDdSLr 
Fri May 18 12:28:04 PDT 2012 --  سألت مسؤولا عن سليمان العيسى وأنه منذ بداية التلفزيون 1970م وهو مذيع لماذا لا يقاعد ؟ قال : مستحيل ، هو جاي مع الأجهزة لو شلناه شوشت القناة
Fri May 18 08:31:53 PDT 2012 --  خالد الشيخ - كلما كنت بقربي: http://youtu.be/KsVTfSYHiKg  via @youtube
Thu May 17 00:14:07 PDT 2012 --  يالله يالخميس لك لذه غير اذا مارحت الدوام #السعودية #الرياض
Mon May 14 03:57:39 PDT 2012 --  وروق ياعم
Thu May 10 11:16:12 PDT 2012 --  حساب لشابة سعودية بدأت مشروع طبخ لسداد دين أمها، اكل لذيذ وسعره فيه، ادعموها. @hano200 شوفوا عينة الاكل . #الرياض pic.twitter.com/A2Yjf8g7
Sat May 12 02:14:58 PDT 2012 --  ربي اللطف علينا من حر هذا #الرياض
Fri May 11 10:12:06 PDT 2012 --  #FF ليس بالضروري ان اظهر حبّي لأصحابي ... ولكن وقت حاجتهم لي سيجدوني نعم هذا انا " صالح "
Tue May 08 07:11:36 PDT 2012 --  ١٣ فرقة تباشر حريقاً شب بمستودع أخشاب في جدة http://sabq.org/umhfde 
Sat May 05 21:36:54 PDT 2012 --  صباح الخير يالمدلل #الرياض
Thu May 03 05:27:18 PDT 2012 --  المدرس حاقد علي :'( <~ قريباً تصريفة الشعب الخليجي عند اهاليهم هههههههههههههہ هَ =
Wed May 02 05:29:19 PDT 2012 --  نعم ! #Saudi
Sun Apr 29 04:08:13 PDT 2012 --  اوك ، انا آسف والله ما ازعلكي يا العزيزه pic.twitter.com/CLAADF2N
Sat Apr 28 02:21:24 PDT 2012 --  احس بعد شوي بصير احمدي نجاد ... pic.twitter.com/ECicYHNV
Thu Apr 26 18:00:37 PDT 2012 --  You're going to law school? Wow! ... I'm gonna go get drunk.
Mon Apr 23 03:22:38 PDT 2012 --  @RT24RT "هل تعلم أن قلب الإنسان يتوقف عند العطس ميلِي ثانية".
Sun Apr 22 13:20:03 PDT 2012 --  @omjoory مجبوس او برياني دياي ٢ دك مجبوس او برياني لحم ٢.٥ دك مطبق او مرقه زبيدي او هامور ٥ دك مربين موش او مرقه ربيان ٣ دك 99335524
Sun Apr 22 14:48:40 PDT 2012 --  حتى انك تمشي داخل السوق ممنوع عباطه ذي ولا ايش والمُضحك في الموضوع انو السيكيورتي قالي كذا و الرد من جهتي قلت له وااحد افنين فلافه هههه سباق
Sun Apr 22 11:52:47 PDT 2012 --  وادّيها واحد معصوب قبل النادي تحس انك فاقد
Sat Apr 21 11:22:12 PDT 2012 --  وأخيراً اشتركت في النادي وخليني اشوف وش تاليتها ... سحبه ههههههههه
Thu Apr 19 07:50:09 PDT 2012 --  يوسف علي صاحب أعظم ترجمة للقـرآن الكريم توفي في لندن في شقة صغيرة تكادُ تأكله أغراضه وأمتعته ولم يوجد مالٌ يُدفن فيه فتبرع الغرب بدفنه #يوسف
Wed Apr 18 01:55:54 PDT 2012 --  عزيزي العميل، تم ايداع الراتب الى حسابكم رقم *******٤٤٢٢ من أجمل ماقرأت هههههههههههههه @WTHQ_RT
Mon Apr 16 10:59:19 PDT 2012 --  Listen to DJ Vampire's Cloudcast on http://Mixcloud.com  http://www.mixcloud.com/DJ_Vampire/vampire-lve-is-dangerous/ … via @mixcloud #REMIX #TRANCEATTACK
Mon Apr 16 22:00:29 PDT 2012 --  Whenever you're feeling down, remember, you're the sperm that won.
Mon Apr 16 14:16:47 PDT 2012 --  @RT24RT قمة الظلم ، ان الشاب يدخل الحلاق قرد يطلع غزال ويدفع ٢٠ ريال ! والبنت تدخل الصالون بقره تطلع بقره ملونه وتدفع ٣٠٠٠ ريال !
Mon Apr 16 13:44:39 PDT 2012 --  جديد جدًا لدرجة اني انا اللي سويت السپوت ههههه (@ Blondom Grilled Burger) http://4sq.com/HOTir4 
Mon Apr 16 13:13:10 PDT 2012 --  RT @obahabri: تسالي كتشب أطعم شيبس كتشب. ليز حار أطعم شيبس حار. برينجلز خل أطعم شيبس خل. من جد صح
Mon Apr 16 11:35:06 PDT 2012 --  The thing about "your mom" jokes is that they're all old and overly used... like your mom.
Mon Apr 16 11:07:28 PDT 2012 --  مدير الفريق سال ايش اللغه الرسميه لبلدكم قلت العربيه استغرب قلت ليش قال بتعجب ليش اكثر اللي يشتغلون في المحلات يتكلمون انجليزي هذا غير مقبول
Mon Apr 16 12:58:53 PDT 2012 --  الدنيا مدرسة مديرها الزمن واستاذها القدر وتلاميذها نحن البشر نتقابل غرباء ونعيش اصدقاء وان حان موعد الفراق فلا تقل وداع بل قل الى اللقاء
Mon Apr 16 08:52:39 PDT 2012 --  يعجبوني أشخاص سلاحهم العقل وليس اللسان !! وضربتهم القاضية الصمت وليس كثرة الكلام !! @CASA_NOOVA @RT24RT @AhmedAlmturi @ReTweeT_KuwaiT
Mon Apr 16 00:48:31 PDT 2012 --  يامرحبا ياصيفنا pic.twitter.com/SCVBxDB1
Mon Apr 16 00:13:38 PDT 2012 --  “ @arminvanbuuren: Woke up this morning with the melody of The Spell of @richsolarstone in my head” Armin !! , When u'll apply 215 podcast ?
Mon Apr 16 00:11:06 PDT 2012 --  يقولون توصيات وتقرا في البروفايل تبعه " انا ماني مسؤول عن التوصيات الي اطلعها " طيب ليش اصلاً تفتح لك حساب تويتر خلك مع نفسك
Sun Apr 15 14:49:09 PDT 2012 --  في يوم رأس السنة قيمة الهواتف المفقودة يعادل ١٤ مليون دولار .
Sun Apr 15 09:35:32 PDT 2012 --  حسبي هو ربي و نعم الوكيل
Sun Apr 15 04:40:08 PDT 2012 --  
Sun Apr 15 04:36:41 PDT 2012 --  “ @R_Bakhsh: في محاضرة مملة عن مواثيق العمل (@ Marriott Riyadh) http://4sq.com/HAdmIG ” ههههههههههههههه
Sat Apr 14 19:07:20 PDT 2012 --  I'm gonna try to do something freakish ... 2day
Sat Apr 14 17:30:03 PDT 2012 --  Sorry, I can't hangout. My uncle's cousin's sister in law's best friend's insurance agent's roommate's pet goldfish died. It was tragic.
Sat Apr 14 15:11:10 PDT 2012 --  Study... Stud... Stu... St... T... Tw... Twe... Twee... Tweet
Sat Apr 14 12:02:04 PDT 2012 --  في السعوديه : يحبون الاربعاء مع انه دوام :/ ويكرهون الجمعه مع انه اجازه .__. مو صاحييين #BC
Sat Apr 14 15:14:20 PDT 2012 --  نعم ماهندس اي لم يهندس شيء .
Sat Apr 14 14:49:51 PDT 2012 --  ابليس ... رحل عندما استيقظت من سُباتي ... سؤِل لماذا ؟ أَجاب : اعوذ بالله منه ... الله يلعنك يا ابليس حتى انا ماسلمت منك #اقتباس
Sat Apr 14 13:47:00 PDT 2012 --  . نورة مفلح القحطاني مصابة بالسرطان وحالتها حرجة بحاجة ماسة لصفائح دم من أي فصيلة التبرع ببنك الدم بالجابرية ملف : 59830 ت: 50223555
Sat Apr 14 13:42:40 PDT 2012 --  السلام عليكم اي احد يعرف عائله عليهم إيجارات متأخره عندهم حكم طرد حولوهم لي وجزاكم الله خير 99991277. انشر ولك الاجر رتويت ولك الاجر منقووول
Sat Apr 14 07:02:58 PDT 2012 --  مواصفات الرجل الزبيري : يلبس نظارة ثوبه كويتي كلامه كويتي على عراقي دائماًمبتسم واذاعصب يصارخ مع نفسه مدمن شرب الشاي كل يوم يحلق دقن في بيته
Sat Apr 14 05:47:53 PDT 2012 --  @Motaw3 المطوع مايبتسم إلا للمطوع مثله
Sat Apr 14 05:41:53 PDT 2012 --  #الشرقية_محسودة ياجماعة اذكروا الله بحرنا بيروح
Sat Apr 14 05:35:50 PDT 2012 --  بعض الاحيان بكلمه واحد تستطيع ان تغير مجرى تفكير الشخص الذي امامك اتجاهك . وهذا ماحصل معي بالضبط اتجاه مشروع مستقبلي للمملكه
Sat Apr 14 02:13:46 PDT 2012 --  - مساء الخير يالـ ¼ .
Fri Apr 13 21:35:17 PDT 2012 --  يالله صباح خير فيه ناس على الصباح تحس انه طالع من اسطبل حاطين على عيونهم الحجاب تبع الحصان يدخلون ف الشارع من دون اي انتباه
Fri Apr 13 15:46:44 PDT 2012 --  علياان راح فيها أنا بحبك <3 لعنبوو الحب http://img685.imageshack.us/img685/6107/9dep.mp4 … #ArabsGotTalant
Fri Apr 13 14:36:13 PDT 2012 --  http://www.youtube.com/watch?v=xMdGQCZuxeg&email=comment_received&lc=qG23oTlGEnQYz3vh4j0TXSDHCdlZY7nXI5SlQTPjSII&lch=email&feature=email … خليجين في أمريكـا
Fri Apr 13 13:29:37 PDT 2012 --  “ @R_Bakhsh: للأسف خُنت نفسي وتعشيت برجر ” ههههههههههههههههههههه الحمد لله مو انا لوحدي الي خان نفسه ههههه
Fri Apr 13 12:47:40 PDT 2012 --  هههههههه الي الان وانا اضحك على كلمه ناصر " يلعن ام الحركات " #ArabsGotTalant
Fri Apr 13 12:37:14 PDT 2012 --  ههههههههههههههههههههههههههههه والله انك يا ناصر فضيع
Fri Apr 13 12:33:21 PDT 2012 --  هلا هلا هلا هلا هلا واااااللللللله ياناصر اصير انا ناصر القصبي هههههه
Fri Apr 13 12:31:11 PDT 2012 --  اصير انا هندي
Fri Apr 13 12:09:26 PDT 2012 --  اوما يا ناصر .... ربابه حاااش حييييش حووووش ههههههه
Fri Apr 13 12:06:33 PDT 2012 --  “ @to0omi89: @EngSalehqa شووووكراً ع الرتويت والعشاء اللذيذ ” ركزي مع عرب قوت تايلنت لا بوكم اردنيين ههههه دي دي
Fri Apr 13 11:56:54 PDT 2012 --  “ @R_Bakhsh: اوكي ممتازين وكيّوتيين يستاهلوا التغيومف يكملوا #ArabsGotTalent” رامي !!! الصلام عليكم ورحمه الله وبركاته
Fri Apr 13 11:01:13 PDT 2012 --  “ @to0omi89: @EngSalehqa الخلق بيسوون لي ان فولو والسبه انت ركز ف الطريق ” ههههههههه يكفيك انا ، الله يخليني ليّه
Fri Apr 13 10:57:27 PDT 2012 --  “ @to0omi89: @EngSalehqa جووووك ” احسن من الي ياكل تراب وهو ساكت هههههههه
Fri Apr 13 10:55:44 PDT 2012 --  “ @to0omi89: ماكل كيف الحال قصدي بها الحال احيان كيفك تعني القلب ظامي واحيان وينك تعني البعد قتال ” اوك
Fri Apr 13 10:52:46 PDT 2012 --  احسن شي اني اسمع Lost in Berlin بأداء Paul Van Dyk ft. Michelle Leonard في هذا الجو
Fri Apr 13 10:10:53 PDT 2012 --  طيب انا الان برى ودرجه الحراره ١٩ يعني اللبس الجاكيت مثلاً
Fri Apr 13 10:05:27 PDT 2012 --  “ @to0omi89: “ @EngSalehqa: @to0omi89 طيب ” بدون نفسيه الله يعطيك العافيه هاه ”
Fri Apr 13 09:57:37 PDT 2012 --  للأيفون والأيباد تطبيق لترتيب صوركم وحفظها بطريقة حلوه مجاني ليوم واحد$ http://itunes.apple.com/us/app/ilookphoto/id507386674?mt=8&ls=1 …
Fri Apr 13 09:50:49 PDT 2012 --  والله المستعان
Fri Apr 13 09:45:04 PDT 2012 --  فصبرُُ ُ جميل .
Fri Apr 13 09:11:01 PDT 2012 --  كان مصور كويس ، تغمد الله روحه في الجنة pic.twitter.com/tccFDTYr
Fri Apr 13 08:21:46 PDT 2012 --  اذا ما ترضاها لاختك .. لا ترضاها لبنات الناس
Fri Apr 13 08:07:45 PDT 2012 --  اللحظة اللي تتحول فيها سماء الرياض الى اللون البرتقالي هي لحظة التحدي وكأن الجو يقولك : هاه متأكد انك لسى تحب الرياض ؟ #riyadhweather
Fri Apr 13 06:51:10 PDT 2012 --  من افضل الحلقات الفيلم كارتونيه الي مرت علي ف حياتي هههههه http://soo.gd/2899db75-QmK  ‏​​
Thu Apr 12 16:15:29 PDT 2012 --  ‏​بمناسبة معرض ألف اختراع واختراع في لندن الفيلم حصلت عليه ضجة كبرى في أوربا الفيلم من صنع الغرب وليس من صنع العرب ! http://www.youtube.com/watch?v=agj3CBFP3HM …
Thu Apr 12 16:05:30 PDT 2012 --  في مثل هذا اليوم عام 2008 نقطه سوداءفي تاريخ السعوديين شعب على الريحة ! فكر انا ينسى هههه http://bit.ly/HTWoCR  ‏​‏​‏​‏​‏​‏‏​‏​‏
Thu Apr 12 05:36:59 PDT 2012 --  #هاشتاق_التويتر_الرسمي_و_الوحيد_لكل_موقف_صعب_و_عصيب_قيد_مر_عليك_و_حاولت_تتصرف_فيه_و_نجحت_بس_ما_تقدر_توصفه_في_تويته_تتكون_من_مئة_و_أربعين_حرف
Thu Apr 12 13:34:03 PDT 2012 --  @AliAl_Mutairi @alaqeel_nawaf @eebandar @alamriz @amerwasmi عندكم وصاية؟ واحد يسأل شيخ ماحكم الكذب على الكافر، قررت اني اجيبه الاستراحة
Sun Apr 08 17:20:19 PDT 2012 --  @alasmari هاشتاق طوييييل وغبي، اول مره اشوف هالنوع من الهاشتاق في تويتر العربي فقط #تغريدة_ثقبت_سقف_العالم
Wed Apr 11 01:36:38 PDT 2012 --  عندما يتصل ماضيك ليخبرك بأنه مشتاق لك اقفل الخط بهدوووء واذهب لتحتضن حاضرك فـ حااضرکَ أأولى بکَ . @RT24RT @AhmedAlmturi @ReTweeT_KuwaiT
Thu Apr 05 20:37:46 PDT 2012 --  #عمالقة الدكتور محمد حامد الأحمري
Fri Mar 30 16:34:59 PDT 2012 --  وبعدها انا النصاب اصير اكح عند امي وتقولي بكره اجازه هههههههههه وبعدها اتفرج ع الفليم الامريكي ماقايڤير
Fri Mar 30 16:34:42 PDT 2012 --  وكمان انا من جيل حسن كراني في الاحوال الجويه اذا قال " و نتوقع في الغد عوالق ترابيه ... "
Fri Mar 30 08:49:55 PDT 2012 --  مســاء الخير يارب اجعلها سقيا رحمه
Sat Mar 24 09:31:25 PDT 2012 --  “ @R_Bakhsh: Najwa Karam is one of the hottest Arab MILFs #arab_idol”. Hahahaha
Mon Mar 05 08:39:43 PST 2012 --  @Amshalii ادعسسسسس وش عنده ايمن ع تويتر بس كل الي اقوله
Sat Dec 31 12:16:55 PST 2011 --  Just posted a photo http://instagr.am/p/dRFmY/ 
Fri Dec 30 22:00:34 PST 2011 --  حرررررك وش جوك انت مع ارمين في النادي
