Fri Aug 28 16:49:06 PDT 2015 --  Ho Ho Ho, bald ist wieder #Weihnachten! Keine 117 Tage mehr.
Thu Aug 06 13:11:18 PDT 2015 --  ALTER WIE GEIL! Das kann man nicht mehr Sonntagsschuss nennen!
Thu Aug 06 13:02:58 PDT 2015 --  MAGICTARYAN!
Thu Aug 06 12:52:31 PDT 2015 --  GEILES DING AUBA *.*
Thu Aug 06 12:38:22 PDT 2015 --  NUR NOCH 2! NUR NOCH 2! #bvbwac
Thu Aug 06 12:43:07 PDT 2015 --  Weidenfeller seit 2006 Wo hat der nochmal von Sommer 2002 an gespielt? Mir fällt es gerade nicht ein #Followerpower
Thu Aug 06 12:37:07 PDT 2015 --  Kein Tor. Reus hat gegen den Ball getreten. Kann man nicht geben. #BVB #BVBwac
Thu Aug 06 12:11:09 PDT 2015 --  Gib am besten gelb-rot für Schwalbe!
Thu Aug 06 12:14:39 PDT 2015 --  Die 12 Mann von Wolfsberg halten bis jetzt gut dagegen! #BVBWAC
Thu Aug 06 12:12:36 PDT 2015 --  Der Schiri will es spannend halten. Anders kann ich mir das nicht mehr erklären! #BVBWAC
Thu Aug 06 12:08:36 PDT 2015 --  Eine Konstante in unserem Spiel ist uns schonmal treu: die Chancenverwertung! #BVBWAC
Thu Aug 06 12:09:53 PDT 2015 --  Same as every year. Da hat auch der neue Trainer nichts geholfen! #Chancenverwertung
Thu Aug 06 10:49:23 PDT 2015 --  Wurde Castro für die Bank geholt?
Thu Aug 06 10:47:33 PDT 2015 --  Ich merk schon, der @Romeo_Cappu wünscht sich eine neue #Dunstwolke über Berlin!
Thu Aug 06 07:45:04 PDT 2015 --  Der @WolfsbergerAC wird heute von 116 Fans begleitet. Ab 16 Uhr gibt’s die letzten Tickets an der Tageskasse. #UEL pic.twitter.com/nyUhMmwyck
Thu Aug 06 02:13:11 PDT 2015 --  Heute vor zehn Jahren: @nurisahin05 betritt als jüngster @bundesliga_de-Spieler den Rasen in Wolfsburg. #tbt #bvb pic.twitter.com/0iJqBp4Lkn
Thu Aug 06 02:51:58 PDT 2015 --  #SPIELTACH oder was? Urlaub und Tempel, was kann es besseres geben?
Wed Aug 05 14:31:38 PDT 2015 --  Hat Tuchel die Hotelübernachtung vor Heimspielen eigentlich abgschafft? Hab noch nichts von der @mine1909 gehört zwecks Kader
Wed Aug 05 13:09:17 PDT 2015 --  @PEAubameyang17 Fuck the whole Bayern squad
Tue Aug 04 14:25:44 PDT 2015 --  Kevin #Großkreutz wird Borussia Dortmund in dieser Transferperiode nicht verlassen, berichtet die SPORTBILD.
Tue Aug 04 14:32:53 PDT 2015 --  Ich glaube, der @Romeo_Cappu könnte heute auch ne Sondersendung #Domian vertragen!
Tue Aug 04 13:12:15 PDT 2015 --  Ich geh ma im Bett,den Kick kann man sich ja nicht mehr ziehen da Gute Nacht..and dont forget: #Auba2020 pic.twitter.com/ytpt2A34Q7
Tue Aug 04 10:33:47 PDT 2015 --  Vielleicht hat Aki die Aussage ja auch nur gemacht, um Unruhe bei den Bauern reinzubringen. So wie Kalle das letztes Jahr auch gemacht hat.
Tue Aug 04 09:35:00 PDT 2015 --  Bettel nicht um Liebe,denn was Du dann bekommst ist nur Mitleid oder Verachtung
Tue Aug 04 08:35:10 PDT 2015 --  Dortmunds Fußball-Oper putzt sich raus - BVB investiert vier Millionen Euro ins Stadion #BVB http://www.kicker.de/news/fussball/bundesliga/startseite/632286/artikel_dortmunds-fussball-oper-putzt-sich-raus.html#omsmtwkicker …
Tue Aug 04 02:03:37 PDT 2015 --  #isso #BVB pic.twitter.com/0ssPmljaQD
Tue Aug 04 00:40:17 PDT 2015 --  Viel zu warm schon
Mon Aug 03 11:22:14 PDT 2015 --  'Papa, schreibst du mir 'ne Entschuldigung für morgen?' 'Du bist 29, Hannah!' 'Was isn das für ein blödes Argument?' Orrr ...
Mon Aug 03 20:12:11 PDT 2015 --  I don't need love. I need this pic.twitter.com/ujdmLGa04c
Mon Aug 03 01:19:16 PDT 2015 --  @btcschwarz @19Micha09 @BVB hat Klopp bei Alex Frei u Mladen Petric auch durchgezogen!
Sun Aug 02 00:11:01 PDT 2015 --  Verluste, aber Tagessieg: #Supercup muss ohne Dortmund im @ZDF kräftig Federn lassen http://www.dwdl.de/zahlenzentrale/52008/supercup_muss_ohne_dortmund_kraeftig_federn_lassen/ …
Sun Aug 02 14:18:27 PDT 2015 --  Der BVB wird am Donnerstag mit über 60.000 Zuschauern einen neuen deutschen Rekord in der Europa League aufstellen [Kicker]
Sat Aug 01 15:37:35 PDT 2015 --  Ist Pep noch Trainer? Hab doch nix mitbekommen.
Sat Aug 01 14:55:15 PDT 2015 --  Wenn die Welt jetzt untergehen könnte wäre ich sehr dankbar. Spendiere auch ein Bier.
Sun Jul 12 11:22:45 PDT 2015 --  Ich sehe gerade, die Bayern-Spieler haben immer noch nicht alle den Rat von Sebastian Kehl beherzigt. #Elfmeter #TelekomCup
Sat Aug 01 14:07:45 PDT 2015 --  Sinn ? #WOBFCB pic.twitter.com/O4DMATjpSu
Sat Aug 01 14:09:09 PDT 2015 --  Sky, Sport 1 und ZDF in nur zwei Jahren. Anna Kraft ist auch voll die Wanderh... Ohh..
Sat Aug 01 14:00:24 PDT 2015 --  Wahre Worte von Allofs! Man sollte sich mal vor Augen rufen, dass man sich dafür nur als Meister, Pokalsieger oder Ligazweiter qualifiziert.
Sat Aug 01 13:46:00 PDT 2015 --  "Wenn sie kein Elfmeterschießen können, dann sollen sie es üben!" Hey Capitano ich feier dich gerade
Sat Aug 01 13:38:10 PDT 2015 --  pic.twitter.com/oh71uDHnwt
Sat Aug 01 13:37:10 PDT 2015 --  #FCB 4mal in Folge im Elfmeterschießen versagt - neuer Rekord beim #Rekordmeister? #Supercup #WOBFCB #miasanmimimimi
Sat Aug 01 13:34:11 PDT 2015 --  +++ BREAKING +++ Der @BVB bleibt Rekordsieger des deutschen Supercups !! #infotweet #BVB #Dortmund
Sat Aug 01 13:35:11 PDT 2015 --  Der #BVB bleibt alleiniger #Rekordsupercupsieger Danke Lord
Sat Aug 01 13:36:02 PDT 2015 --  Die Bayern haben aus dem #Elfmeterschießenüben nicht sonderlich gelernt.
Sat Aug 01 13:22:15 PDT 2015 --  Und wieder kein Müller der nen 11er schießen kann :D
Sat Aug 01 13:20:09 PDT 2015 --  Oh cool. Gibts doch noch 11er xD
Sat Aug 01 13:16:11 PDT 2015 --  #kanndieScheißeaufhören #ausGruenden xDDD
Sat Aug 01 13:14:39 PDT 2015 --  Die Ära der Müllerauswechselungen geht auch weiter :,D :,D :,D
Sat Aug 01 13:12:23 PDT 2015 --  Wie lang hat #Vidal jetzt für seine gelbe gebraucht? #Treter #wobfcb
Sat Aug 01 13:11:56 PDT 2015 --  Oh Gott Fipsi...
Sat Aug 01 13:08:46 PDT 2015 --  Das Ivans Charakter innerhalb von nur zwei Jahren da so versaut wurde...
Sat Aug 01 12:55:27 PDT 2015 --  Wann immer ich @VfL_Wolfsburg mit Dost sehe, bin ich sowas von erleichtert, dass dieses "Bas Dost zum BVB" nur ein Gerücht war.
Sat Aug 01 13:03:58 PDT 2015 --  Gleich beide Treter rein. Na das wird ja ne Schlussphase...
Sat Aug 01 12:43:09 PDT 2015 --  Wer hatte nochmal geschrieben, dass er 10 Stunden Autokorso um den Borsigplatz fahren will wenn die Robbe aufhört? :D
Sat Aug 01 12:15:56 PDT 2015 --  Der Superbelgier
Sat Aug 01 11:32:10 PDT 2015 --  BREAKING: Brother of #CecilTheLion is killed by poachers http://bit.ly/1JE7wZl  pic.twitter.com/F5yk62hRbO
Sat Aug 01 11:44:16 PDT 2015 --  Rafinha neben Vidal. #Treteruntersich
Sat Aug 01 11:36:39 PDT 2015 --  Zeit für Supersupersupercup
Sat Aug 01 11:14:17 PDT 2015 --  Ich bin hier übrigens nicht für Lebensweisheiten zuständig, sondern für den Spaß. Wie damals in meiner Beziehung.
Sat Aug 01 11:10:13 PDT 2015 --  #noch8fuerMarie
Sat Aug 01 05:09:48 PDT 2015 --  Ab heute Programm pic.twitter.com/wZe1SO4NAO
Sat Aug 01 04:41:45 PDT 2015 --  Jetzt ist der Supercup nach 2 Jahren auch weg aus dem Borusseum :(. Hoffentlich holen wir uns den nächstes Jahr wieder!
Fri Jul 31 06:34:09 PDT 2015 --  Pierre-Emerick Aubameyang extends BVB contract until 2020 #Auba2020 http://www.bvb.de/eng/News/Nachrichtenbuehnen/Pierre-Emerick-Aubameyang-extends-BVB-contract-until-2020 … pic.twitter.com/2S2lkxVeYO
Fri Jul 31 06:13:25 PDT 2015 --  #reus2019 #Auba2020 pic.twitter.com/UnjXTPgRWs
Fri Jul 31 06:11:33 PDT 2015 --  https://twitter.com/PEAubameyang17/status/626832612510855168 … #ausGruenden #Auba2020
Fri Jul 31 06:09:49 PDT 2015 --  JAWOLL!!! #AubabesterMann
Fri Jul 31 06:08:11 PDT 2015 --  BREAKING: Pierre-Emerick Aubameyang verlängert seinen Vertrag bei vorzeitig Borussia Dortmund bis 2020. #BVB pic.twitter.com/dnawUsq31p
Fri Jul 31 05:37:52 PDT 2015 --  #3000fuerMarie
Fri Jul 31 00:20:32 PDT 2015 --  #tornado Verdacht gestern über Bedburg NRW @Tornadoliste ist informiert pic.twitter.com/UmMwrUtIGS
Thu Jul 30 12:23:10 PDT 2015 --  Leute, das macht SOWAS VON Lust auf die Saison! #wacbvb
Thu Jul 30 12:11:55 PDT 2015 --  Auba läuft fast mit zurück bis zum 16er. Ich liebe diesen Spieler einfach. Seit Tag 1! #wacbvb
Thu Jul 30 11:29:58 PDT 2015 --  Viele Leute können schon wieder/immernoch besser aufstellen als der Trainer. #FußballExperten #wacbvb
Thu Jul 30 04:28:52 PDT 2015 --  #WirDankenJuliancaFür die tollen tipps. Endlich weiß ich auf was 12-jährige beim küssen stehen. Danke!!!
Thu Jul 30 03:59:38 PDT 2015 --  Färöer? Düdelingen? Die Ösis sehen sich selbst als ziemlich krasser Außenseiter... #BVB #WACBVB pic.twitter.com/ym5GxlDorf
Thu Jul 30 01:06:40 PDT 2015 --  Wolfsberg ist nicht Brügge aber ich hab irgendwie so ein Montpellier-Gefühl. Ich weiß doch auch nicht. #bvb #wacbvb
Wed Jul 29 14:19:10 PDT 2015 --  Ich bleibe dabei, bekämpft politisch endlich die Ursachen, die zu dieser Flüchtlingswelle geführt haben! @spdde @CDU #annewill
Wed Jul 29 14:17:45 PDT 2015 --  Zorc: "Wenn es einen Änderungswunsch gibt, dann wird er zu uns kommen und wir werden das ganz offen besprechen." #Großkreutz #BVB | WAZ
