Sat Aug 29 05:22:49 PDT 2015 --  Therefore,there is now no condemnation for those who are in Christ Jesus. Romans-8-1
Sat Oct 18 05:39:40 PDT 2014 --  So every pastor in the US should send a sermon to her office, Return Receipt Requested. I recommend the sermon be on biblical sexuality...
Sat Oct 18 05:41:42 PDT 2014 --  But if you are not a pastor, you can and should be involved. PLEASE SEND A BIBLE to the Houston Mayor's Office. It is filled with sermons...
Sat Oct 18 06:09:01 PDT 2014 --  Therefore there is now no condemnation for those who are in Christ Jesus. Romans-8
Tue Oct 14 14:26:09 PDT 2014 --  Ah yes, panicking over that disease that liquifies your organs is super duper racist. pic.twitter.com/xqI6b24mC7
Fri Oct 17 21:25:02 PDT 2014 --  That carved pumpkin's cute but the Prov. 31 woman would have carved it, roasted seeds for granola, & used the rest to make organic PSL syrup
Fri Oct 17 20:22:47 PDT 2014 --  Asking for a ban on flights from Ebola effected nations is nor racism it's realism.
Fri Oct 17 16:18:08 PDT 2014 --  Let the words of my mouth, and the meditation of my heart, be acceptable in thy sight, O LORD, my strength, and my redeemer. Psalm 19:14
Fri Oct 17 14:33:45 PDT 2014 --  pic.twitter.com/Pb9qwf5Qmn
Fri Oct 17 11:44:35 PDT 2014 --  "You haven't had enough coffee until you can thread a sewing machine while its running."
Fri Oct 17 10:22:09 PDT 2014 --  Pretend Obama is Bush and he named Karl Rove as Ebola Czar. That's what just happened.
Fri Oct 17 05:34:45 PDT 2014 --  I am the vine,you are the branches;he who abides in me and I in him,he bears much fruit,for apart from Me you can do nothing. John-15-5
Wed Oct 15 17:34:39 PDT 2014 --  If your sense of "how it all works" involves a "religion" part, and a separate "everything else" part, it's time to re-think your worldview.
Wed Oct 15 17:38:00 PDT 2014 --  "Religion" is not a subset of some larger body of beliefs. Indeed, everything you understand to be true should somehow connect to God.
Wed Oct 15 17:39:05 PDT 2014 --  If by "religion" you mean your understanding of God and His relationhip to the world, then all of your knowledge is a subset of "religion."
Wed Oct 15 18:20:43 PDT 2014 --  The level of incompetence in the federal government is reaching the Three Stooges level.
Wed Oct 15 12:24:07 PDT 2014 --  Laziness is nothing more than the habit of resting before you get tired.
Wed Oct 15 07:43:35 PDT 2014 --  After the election in 2016 the true ramifications of Obamacare are going to rain down on this nation like a trillion gallons of sewage
Mon Oct 13 04:02:16 PDT 2014 --  There is therefore now no condemnation for those for those who are in Christ Jesus. Romans-8-1
Sat Oct 11 22:49:48 PDT 2014 --  There's this great vegan restaurant here where they give you a menu and you eat that and leave.
Fri Oct 10 13:41:02 PDT 2014 --  I can deal with ignorance or arrogance just not ignorance AND arrogance. I wish the president would just pick one.
Fri Oct 10 13:04:03 PDT 2014 --  The second I get shampoo in my eyes, I’m 100% sure there’s a murderer in my bathroom.
Fri Oct 10 11:33:08 PDT 2014 --  If you put a finger in your ear and scratch, it sounds like Pacman.
Fri Oct 10 12:16:14 PDT 2014 --  There’s no panic like trying to press “End” when you make an accidental call.
Thu Oct 09 15:44:41 PDT 2014 --  Kind of fitting that the best way to carry a pizza is by embracing it in both arms.
Thu Oct 09 13:55:43 PDT 2014 --  All of these #Democrats running for office are running away from #Obama. Are they now #Racist? I think obviously, they are.
Thu Oct 09 11:11:33 PDT 2014 --  If and when this country falls the first ones to be shot will be the "enlightened"intellectuals and media people who defend our enemies
Thu Oct 09 10:49:48 PDT 2014 --  Harvard students polled said America responsible for more world's troubles than Isis Sounds like what Ronnie Van Zant called educated fools
Thu Oct 09 10:05:21 PDT 2014 --  Never seen anyone jogging and smiling, so that’s all I need to know about that.
Wed Oct 08 15:11:15 PDT 2014 --  “Since it is so likely that children will meet cruel enemies let them at least have heard of brave knights and heroic courage.” ~ #CSLewis
Wed Oct 08 17:24:41 PDT 2014 --  Accidentally burned an entire pan of bacon tonight. Guess I don't need a Halloween costume after all because I am a monster.
Thu Oct 09 05:49:31 PDT 2014 --  If the Lord delights in a man's way,He makes his steps firm;though he stumble he will not fall,for the Lord upholds him with His hand. Ps-37
Wed Oct 08 15:26:00 PDT 2014 --  When does hibernation start? Because I am 100% participating in that.
Tue Oct 07 05:51:08 PDT 2014 --  Islamists have burned 185 churches in Nigeria What a peaceful,loving tolerant bunch they are
Tue Oct 07 09:03:36 PDT 2014 --  Bill Clinton now says Obama has cast a LONG Shadow over the Democrat Party. Yes he has and they all voted for it.
Tue Oct 07 14:43:05 PDT 2014 --  I have a condition that keeps me from going on a diet. It’s called being hungry.
Sat Oct 04 09:04:08 PDT 2014 --  Whatever “Estimated Time of Arrival” on the GPS. Challenge accepted.
Sat Oct 04 07:13:44 PDT 2014 --  Mr President does not hacking off a person's head on video convince you Isis is pure evil and should be destroyed to the last man standing
Thu Oct 02 19:47:04 PDT 2014 --  “Isn’t it funny how day by day nothing changes, but when you look back everything has?” ~ C. S. Lewis
Fri Oct 03 07:07:57 PDT 2014 --  Screw the United Nations Israel,go ahead and do what you've got to do.
Fri Oct 03 10:44:46 PDT 2014 --  “If Christianity was something we were making up, of course we could make it easier. But it isn't." ~ C. S. Lewis
Mon Sep 29 02:45:27 PDT 2014 --  Come to Me ,all you who are weary and burdened, and I will give you rest. Matthew-11-28
Sun Sep 28 15:43:15 PDT 2014 --  At this years Food and Wine Festival @MmmhopsBeer has decided to join us at the American Pavilion. pic.twitter.com/htqVHXELno
Sun Sep 28 10:22:05 PDT 2014 --  I’m not sure where you learned to whisper but I’m guessing inside a helicopter surrounded by chainsaws.
Sun Sep 28 10:41:21 PDT 2014 --  Mr President how do you expect to defeat an enemy you won't even define.you defend Islam at America's peril
Sat Sep 27 07:13:31 PDT 2014 --  And you shall know the truth and the truth shall make you free. John-8-32
Sat Sep 27 07:00:33 PDT 2014 --  Dang right Jack pic.twitter.com/NwlJCKjODb
Fri Sep 26 20:16:32 PDT 2014 --  Obama nobody is accusing every Muslim in the world of being a terrorist,how long is it going to take for you to admit that some of them are.
Fri Sep 26 14:31:05 PDT 2014 --  You know you’re getting old when your favorite kind of plans are canceled plans.
Fri Sep 26 13:04:12 PDT 2014 --  There’s nothing scarier than a squirrel who’s not afraid of you.
Fri Sep 26 12:56:40 PDT 2014 --  I'm starting a book about Radical Protestants, kinda like Radical Islamists. Having a hard time finding material.
Fri Sep 26 12:48:28 PDT 2014 --  Workplace beheading, perp stopped with a gun. Can't wait to see what the gun-grabbers do with this one. http://www.caintv.com/woman-beheaded-at-workplace-in …
Fri Sep 26 07:26:03 PDT 2014 --  When Al Gore rides a moped and Leonardo Dicaprio goes around NY on roller skates I'll take global warming seriously
Thu Sep 25 14:02:07 PDT 2014 --  My decision making skills closely resemble that of a squirrel when crossing the street.
Thu Sep 25 03:34:12 PDT 2014 --  The Son is the radiance of God's glory and the exact representation of His being,sustaining all things by His powerful word Hebrews1-3
Mon Sep 15 14:45:02 PDT 2014 --  ISIS not Islamic? It's in their name you big dummy! #PJNET #ccot pic.twitter.com/bYcPCJdhCx
Tue Sep 23 17:12:22 PDT 2014 --  Christ never meant that we were to remain children in intelligence: He told us to be 'as harmless as doves', but also 'as wise as serpents'.
Wed Sep 24 09:04:01 PDT 2014 --  I wanted to lose 10 lbs this year. Only 13 more to go!
Mon Sep 22 11:27:31 PDT 2014 --  Reminiscing with my wife about our honeymoon... Hard to keep the tears back when we think about that trip to Wal Mart... #gitrdone
Mon Sep 22 09:44:41 PDT 2014 --  Whatever you do, work at it with all your heart, as working for the Lord, not for man (Col 3:23) Show Day
Sun Sep 21 10:22:13 PDT 2014 --  My new voicemail: “If you have reached this recording, please hang up and text me.”
Sat Sep 20 15:26:02 PDT 2014 --  Dear sneeze, If you’re gonna happen, happen. Don’t put a stupid look on my face and leave.
Sat Sep 20 21:14:24 PDT 2014 --  Hope and change don't cut it anymore Obama. Come up with something real.
Sat Sep 20 20:15:11 PDT 2014 --  People who say "...because SCIENCE" when trying to explain their position, are simply revealing that they don't know what science IS.
Sat Sep 20 02:36:22 PDT 2014 --  For I know the plans I have for you, declares the LORD, plans to prosper u & not to harm you, plans to give you hope & a future. -Jer 29:11
Fri Sep 19 21:34:00 PDT 2014 --  Rednecks have more fun
Fri Sep 19 12:06:29 PDT 2014 --  I'm all for punishing guilty athletes but why should they be held to a higher standard than politicians and movie stars.
Fri Sep 19 06:51:46 PDT 2014 --  But those who wait on The Lord shall renew their strength,they shall mount up with wings like eagles,they shall run and not be weary Isai-40
Wed Sep 17 07:21:35 PDT 2014 --  God created the earth,He controls the climate on the earth and nothing man can do will change that.
Wed Sep 17 07:09:50 PDT 2014 --  The world has spent seven trillion dollars on climate change and it ain't done a dern thing It's about money and control,not climat
Wed Sep 17 07:07:33 PDT 2014 --  Hey Al you best get off that global warming thing and predict another ice age
Wed Sep 17 07:04:21 PDT 2014 --  Boy that global warming is dumping termination dust all over the north west.
Sun Sep 14 14:43:03 PDT 2014 --  Is it rude to throw a breath mint in someone’s mouth while they’re talking?
Sun Sep 14 10:13:09 PDT 2014 --  "We never find out the strength of the evil impulse inside us until we try to fight it." #CSLewis
Sat Sep 13 07:18:32 PDT 2014 --  When it comes to Nancy Pelosi. There are no words that I can think of, that would be sufficient to describe the Delusion.
Sat Sep 13 05:08:17 PDT 2014 --  Yea though I walk through the valley of the shadow of death,I will fear no evil,for Thou art with me Psalm-23
Fri Sep 12 14:31:28 PDT 2014 --  I don’t think I meet the height requirement to ride your emotional roller-coaster.
Thu Sep 11 15:17:31 PDT 2014 --  I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else. #CSLewis
Tue Sep 09 09:25:59 PDT 2014 --  I will stand with the Muslims should the political winds shift in an ugly direction. Pg-261 paperback-The audacity of hope by Barack Obama
Sun Sep 07 05:05:23 PDT 2014 --  @CharlieDaniels The Lord is near to those who have a broken heart,and saves such as have a contrite spirit. Psalm134
Sat Sep 06 12:24:07 PDT 2014 --  Today’s Horoscope: You’re gullible
Sat Sep 06 11:13:46 PDT 2014 --  "You can't see anything properly while your eyes are blurred with tears." ~ #CSLewis ~ A Grief Observed
Fri Sep 05 13:04:11 PDT 2014 --  At the end of the day, life should ask us, ‘Do you want to save the changes?’
Fri Sep 05 10:12:52 PDT 2014 --  Obama saying we are taking this problem in stages. First stage? Denial
Thu Sep 04 06:35:22 PDT 2014 --  I predict in November, there will be a great disturbance in the FORCE.
Thu Sep 04 09:22:51 PDT 2014 --  TBT. With President Bush Senior. He took off his Presidential cuff links and gave them to me. pic.twitter.com/xJbivojtmU
Mon Sep 01 04:51:27 PDT 2014 --  I am the light of the world.Whoever follows Me will never walk in darkness,but will have the light of life. John-8-12
Sun Aug 31 15:14:39 PDT 2014 --  "Feelings, feelings, and feelings. Let me try thinking instead." ~A Grief Observed - #CSLewis
Sun Aug 31 04:48:55 PDT 2014 --  This is the day The Lord has made;let us rejoice and be glad In it. Psalm-118
Sat Aug 30 07:01:27 PDT 2014 --  Ask and it will be given to you;seek and you will find;knock and the door will be opened to you. Matthew-7-7
Fri Aug 29 13:15:11 PDT 2014 --  The #ProchoiceBroadcastingService, aka @PBS, ignores that most women oppose late-term #abortion. #AfterTiller pic.twitter.com/6qIbQHza1T
Fri Aug 29 06:19:50 PDT 2014 --  Therefore if the Son makes you free you shall be free indeed. John-8
Thu Aug 28 18:49:54 PDT 2014 --  A 99 pack of beer...your Check Liver Light just came on.... pic.twitter.com/HbKvQ55Jav
Wed Aug 27 11:14:10 PDT 2014 --  Why is Prayer Important? http://ow.ly/2MvUXh 
Wed Aug 27 15:26:00 PDT 2014 --  Why are doctors so afraid of apples anyway?
Wed Aug 27 19:57:27 PDT 2014 --  "We all agreed that forgiveness is a beautiful idea until we have to practice it." #CSLewis
Thu Aug 28 05:22:15 PDT 2014 --  Oh, Maggie, I wish I'd never....heard your so-o-ong.... #RodStewart #earworm #TagYoureIt
Mon Aug 25 14:00:22 PDT 2014 --  This group of St. Louis County residents headed down to Ferguson. But they weren't going to protest http://dailysign.al/YVlRN1 
Mon Aug 25 06:19:13 PDT 2014 --  Isis threatens the homeland and this bunch of idiots are still trying to take our guns away. Insanity rules the District of Columbia.
Mon Aug 25 04:54:51 PDT 2014 --  Free men and Isis cannot live together in peace on planet earth. One has to go.
Mon Aug 25 03:48:13 PDT 2014 --  Come to Me,all you who are weary and heavy burdened,and I will give you rest. Matthew-11
Sun Aug 24 12:03:36 PDT 2014 --  I stand with Israel.
Sat Aug 23 08:40:54 PDT 2014 --  The Lord my God lights my darkness - Psalm 18:28 (please retweet).
Sun Aug 24 05:50:27 PDT 2014 --  Look to The Lord and His strength,;seek His face always. 1st Chronicles-16
Sat Aug 23 15:26:07 PDT 2014 --  Chapstick is an entire industry based on you losing the product and buying more.
Sat Aug 23 13:00:21 PDT 2014 --  Christian? Yeah. Perfect? Nope. Forgiven? Yeah. Worthy? Nope. Accepted? Yeah. Deserving? Nope. Loved? Yeah.
Sat Aug 23 12:06:19 PDT 2014 --  No one, NO ONE, in the World is afraid of Obama. Well one exception, the Republicans.
Sat Aug 23 11:50:58 PDT 2014 --  Preseason arrogance pic.twitter.com/laFuoq1UxZ
Sat Aug 23 07:09:41 PDT 2014 --  If the world doesn't take it to Isis,Isis is going to bring it to us.
Sat Aug 23 05:45:03 PDT 2014 --  I delight greatly in The Lord,my soul rejoices in my God.For He has clothed me with garments of salvation, Isaiah-61
Fri Aug 22 19:14:27 PDT 2014 --  Jesus came to set us free both from justifying our sin and justifying ourselves.
Fri Aug 22 08:18:11 PDT 2014 --  The phrase “Don’t take this the wrong way.” has a zero percent success rate.
Fri Aug 22 06:37:55 PDT 2014 --  In the same way,let your light shine before men,that they may see your good deeds and praise your Father in heaven. Matthew-5-16
Thu Aug 21 21:18:41 PDT 2014 --  What we are doing by not dealing with Isis right now is like letting a nest of rattlesnakes mature under your couch
Thu Aug 21 19:00:03 PDT 2014 --  Mercy Rule is available in store at Walmart and online here: http://www.walmart.com/ip/38198859  Let me know what... http://fb.me/4gsLbGy8E 
Thu Aug 21 14:33:02 PDT 2014 --  Personal: If a cop stopped me and said get out of the street and on to the sidewalk? I would answer, Yes sir and comply. That's just me.
Thu Aug 21 10:27:08 PDT 2014 --  #ProgressiveLiberals act like very spoiled, bright children who want to argue every point to no end. What to do? Spank Them.
Thu Aug 21 10:19:53 PDT 2014 --  A #conservative gets mad when you tell them a #lie. A #ProgressiveLiberal gets mad when you tell them the #truth. Interesting isn't it?
Tue Aug 19 19:16:01 PDT 2014 --  I believe this is the reporter toolkit issued to HuffPo journalists. #CanAnyoneConfirm pic.twitter.com/Pdkljup0f7
Tue Aug 19 10:16:52 PDT 2014 --  Guess Who is Behind the Indictment of Rick Perry? George Soros Donated $500K to the Cause http://www.dcclothesline.com/2014/08/19/guess-behind-indictment-rick-perry-george-soros-donated-500k-cause/ … via @DCClothesline PLS RT
Tue Aug 19 04:51:02 PDT 2014 --  Many are the woes of the wicked,but the Lord's unfailing love surrounds the man who trusts in Him Psalm32-10
Mon Aug 18 20:24:06 PDT 2014 --  There are two kinds of people: those who say to God, “Thy will be done,” and those to whom God says, “All right, then, have it your way.”
Mon Aug 18 16:07:26 PDT 2014 --  Al Sharpton. "You're not Looters you are Liberators." Liberating stores from their goods. MLK would be so proud. Who are these people?
Mon Aug 18 06:02:50 PDT 2014 --  As the heavens are higher than the earth,so are My ways higher than your ways and My thoughts than your thoughts. Isaiah-55
Sun Aug 17 18:56:39 PDT 2014 --  God's "no" is not a rejection, it's a redirection.
Sun Aug 17 12:43:06 PDT 2014 --  "God loved us not because we were lovable, but because He is Love. He certainly loved all to the death." #CSLewis
Sun Aug 17 12:19:00 PDT 2014 --  I’m just going to put an “Out of Order” sticker on my forehead and call it a day.
Sun Aug 17 06:40:38 PDT 2014 --  Make a joyful noise unto The Lord all ye lands,serve The Lord with gladness,come before His presence with singing. Psalm-100
Tue Aug 12 17:53:50 PDT 2014 --  If you always talk about grace but never talk about law, sin, or hell, you're actually never really talking about grace.
Sat Aug 16 09:04:13 PDT 2014 --  I live for those really small but special moments in life, like when I see the waiter bringing my food to the table.
Sat Aug 16 06:26:30 PDT 2014 --  pic.twitter.com/cMCa7NPYCP
Sat Aug 16 05:17:03 PDT 2014 --  Jesus said to him,I am the Way the Truth and the Life.No one comes to the Father except through me. John-14-6
Sat Aug 16 04:33:02 PDT 2014 --  I want a government small enough to fit inside the Constitution. - Harry Browne
Fri Aug 15 11:17:02 PDT 2014 --  Shame paralyzes. Only grace can help us begin to walk again.
Fri Aug 15 08:18:05 PDT 2014 --  You’d think the self checkout lanes would have more mirrors.
Fri Aug 15 05:10:56 PDT 2014 --  Wait on The Lord;be of good courage,and He shall strengthen your heart;wait,I say, on The Lord. Psalm/27
Thu Aug 14 11:42:47 PDT 2014 --  "Though I’m forty two years old, I’m only about twelve as a Christian... mention me in your prayers..." ~ #CSLewis
Thu Aug 14 19:08:08 PDT 2014 --  If you don't think this battle is a battle of Good and Evil.Then you are Naive, at the least.When Evil dresses up to look like Good.
Thu Aug 14 10:00:32 PDT 2014 --  Did I say Riots? I mean to say Peaceful demonstrations, with Looting, and burning of private property.
Thu Aug 14 10:05:16 PDT 2014 --  I’ll give up my thesaurus when you pry it from my frigid, frosty, frozen, cadaverous, lifeless, stiff, defunct extremities.
Tue Aug 12 20:09:26 PDT 2014 --  Do believe it, Christian, that your sin is a condemned thing. It may kick and struggle, but it is doomed to die. (Spurgeon)
Tue Aug 12 05:48:45 PDT 2014 --  The Lord is near those who have a broken heart,and saves such as have a contrite spirit. Psalm-34
Tue Aug 12 18:26:03 PDT 2014 --  If the weather is nice this evening, I may go outside and watch other people run.
Mon Aug 11 06:28:50 PDT 2014 --  Therefore since we have been justified through faith,we have peace with God through our Lord Jesus Christ Romans-5
Sat Aug 09 06:58:18 PDT 2014 --  We have a president who handles a bug with a sledge hammer and a grizzly bear with a toothpick
Sat Aug 09 12:53:03 PDT 2014 --  From Gerry P....sprinkles shaker?!! And my Christmas wish list just got one longer....hahaha pic.twitter.com/G8Zrp5sykW
Sat Aug 09 19:00:12 PDT 2014 --  My parents spanked me as a kid. As a result, now I suffer from a psychological disorder called "Respect for Others."
Sat Aug 09 21:19:40 PDT 2014 --  Can we at least enjoy sports in this country without some progressive PC a-hole getting political? Holy stretchy shorts bat man get a life!
Sat Aug 09 09:13:44 PDT 2014 --  WH #petition to help the Christians of Mosul and Iraq who are part of a modern-day Holocaust ---> http://wh.gov/lM2As 
Sun Aug 10 04:15:23 PDT 2014 --  Remember ladies, if you want to find a Prince, you're supposed to kiss a frog. Not sleep with the whole pond.
Sun Aug 10 06:39:49 PDT 2014 --  Delight yourself in The Lord;and He will give you the desires of your heart. Psalm-37
Sat Aug 09 06:49:30 PDT 2014 --  Come to Me,all you who are weary and heavy laden,and I will give you rest. Matthew-11
Wed Aug 06 23:39:16 PDT 2014 --  “To walk out of His will is to walk into nowhere.” ― #CSLewis
Tue Aug 05 14:43:16 PDT 2014 --  There’s no excuse for laziness.. but if you find one, let me know.
Tue Aug 05 13:00:20 PDT 2014 --  Nothin' says, "I can't hunt, I don't fish, and I live in the city," like an Obama sticker on the back of a Prius.
Tue Aug 05 06:37:13 PDT 2014 --  Let Your face shine on Your servant,save me in Your unfailing love. Psalm-31-16
Mon Aug 04 07:11:35 PDT 2014 --  The new Nero. pic.twitter.com/RhkAsRnRoi
Mon Aug 04 06:59:54 PDT 2014 --  Every good and perfect gift is from above coming down from the Father of the heavenly lights James1-17
Sun Aug 03 09:04:51 PDT 2014 --  Go to jewsnews Dennis Miller. 'Nough said.
Sun Aug 03 06:10:25 PDT 2014 --  Let the morning bring me word of Your unfailing love,for I have put my trust in You. Psalm-143
Sat Aug 02 12:42:01 PDT 2014 --  Do you realize that it is only in the gospel of Jesus Christ that you get the verdict before the performance?
Sat Aug 02 12:24:17 PDT 2014 --  Finally in bed. No better time to start thinking about every possible thing that has or ever could happen.
Sat Aug 02 08:22:45 PDT 2014 --  You will never know the fullness of Christ until you know the emptiness of everything but Christ. - Spurgeon
Sat Aug 02 06:40:09 PDT 2014 --  Jesus answered,"I am the Way and the Truth and the Life.No one comes to the Father except through Me." John-14-6
Fri Aug 01 11:33:16 PDT 2014 --  I think I speak for everyone when I say we hate being spoken for.
Fri Aug 01 09:32:58 PDT 2014 --  Remember that time Facebook went down and it was like The Purge except instead of killing people we had to talk to them?
Fri Aug 01 08:18:13 PDT 2014 --  I feel bad for lions at zoos. How would you feel if a bunch of pizzas came to your house, took your picture, and you couldn’t even eat them?
Fri Aug 01 06:31:10 PDT 2014 --  Be joyful always;pray continually;give thanks in all circumstances,for this is God's will for you in Christ Jesus. 1 Thessalonians-16
Wed Jul 30 16:58:06 PDT 2014 --  History is being made as we speak. I wonder how it will be rewritten, so no one will know the truth?
Wed Jul 30 15:26:00 PDT 2014 --  It’s only a matter of time until “Security Cameras of Wal-Mart” is a reality TV show.
Wed Jul 30 07:00:19 PDT 2014 --  Wait on The Lord;be of good courage and He will strengthen your heart;wait,I say,wait on The Lord! Psalm-27
Tue Jul 29 14:43:00 PDT 2014 --  A jealous woman does better research than the FBI.
Tue Jul 29 09:42:28 PDT 2014 --  When was the last time congress passed a law that made us more free?
Sat Jul 26 17:17:04 PDT 2014 --  “Our prayers for others flow more easily than those for ourselves. This shows we are made to live by charity.” ~ #CSLewis
Sat Jul 26 15:26:01 PDT 2014 --  I wish the “Do not ask me again” option existed in real life.
Sat Jul 26 07:42:44 PDT 2014 --  The first thing you could do to transform Washington? Get rid of Unions.
Sat Jul 26 07:03:20 PDT 2014 --  Jesus said to him,"I am the way the truth and the life.No one comes to the Father except through Me." John-14-6
Fri Jul 25 20:38:57 PDT 2014 --  You come in wanting to change these kids lives, but you realize very quickly that they are the ones… http://instagram.com/p/q5jbQhNXbl/ 
Fri Jul 25 08:47:21 PDT 2014 --  . @JohnGGalt It's a damn shame Muslim men so lack basic self-control that women have to be oppressively veiled to avoid rape. #waronwomen
Fri Jul 25 08:18:07 PDT 2014 --  Do angry people know about naps?
Fri Jul 25 06:40:56 PDT 2014 --  But his delight is in the law of The Lord and in His law doth he meditate day and night. Psalm-1
Thu Jul 24 14:16:51 PDT 2014 --  As a result of Climate Change, The Golden Retriever migration is now taking place one month earlier pic.twitter.com/j1F5kg9cwJ
Wed Jul 23 07:11:14 PDT 2014 --  The Lord your God is with you,He is mighty to save.He will take great delight in you,He will quiet you with His love Zephaniah-3-17
Wed Jul 23 06:46:39 PDT 2014 --  Hanson a cover "by the original 3 Brother trio" with no mic on there #AnthemWorldTour http://bit.ly/1obdHJp 
Wed Jul 23 06:09:50 PDT 2014 --  That moment just after you click "Update" when you notice you didn't uncheck the box by which you agree to be carpet-spammed for life.
Wed Jul 23 01:09:00 PDT 2014 --  "Your real, new self will not come as long as you are looking for it. It will come when you are looking for Him." ~ #CSLewis
Mon Jul 21 16:22:13 PDT 2014 --  Might be extreme, but we have to do something about this. I have said it before....if you get home tonight and 6... http://fb.me/35t6EyjOR 
Mon Jul 21 22:29:39 PDT 2014 --  Such a peaceful religion. Did you know that there is not one mention of mercy in the Koran. Not one. Just... http://fb.me/2vhw6aHGU 
Mon Jul 21 15:09:11 PDT 2014 --  This is so stinkin' true pic.twitter.com/Ffea5MHcBR
Mon Jul 21 11:07:10 PDT 2014 --  You bunch of antisemetic muck rakers in the media should learn how to tell the truth about what is happening in Israel and who started it.
Mon Jul 21 06:15:24 PDT 2014 --  The weapons we fight with are not the weapons of the world.On the contrary,they have Devine power to demolish strongholds. 2 Corinthians-10
Sun Jul 20 20:52:10 PDT 2014 --  In the meantime... How to tell if your dog's involved in a sex scandal pic.twitter.com/utuJJGhMzQ
Sun Jul 20 20:37:43 PDT 2014 --  I'm on a new reality show called "Nude and Horrified" It's just me in a changing room trying on bikini's.
Sun Jul 20 09:59:49 PDT 2014 --  "Provocation doesn't make me ill-tempered: it only shows me how ill-tempered I am." ~ #CSLewis
Sun Jul 20 07:43:29 PDT 2014 --  Th Campaigner,proliferator and excuse maker in Chief.
Sun Jul 20 07:39:02 PDT 2014 --  I'm sick and tired of empty suits and wimps. Show me a real man with the courage of his convictions and I'll show you a leader.
Sun Jul 20 07:29:08 PDT 2014 --  Trust in The Lord with all your heart and lean not on your own understanding Proverbs-3-5
Sat Jul 19 15:26:09 PDT 2014 --  How much whiskey goes into cookies? I’m new to this whole baking thing.
Fri Jul 18 12:48:34 PDT 2014 --  In our idolatry we’ve substituted many things for Jesus. In his love He substituted Himself for us.
Fri Jul 18 09:01:05 PDT 2014 --  We are so instinctively and profoundly self-centered that we don't think we are.
Fri Jul 18 09:04:31 PDT 2014 --  Translation Save your Confederate money boys cause the Souths gonna rise again pic.twitter.com/qMND4ymhhB
Fri Jul 18 06:55:47 PDT 2014 --  For God so loved the world that He gave His one and only Son,that whoever believes in him will not perish but have eternal life. John-3-16
Thu Jul 17 20:24:03 PDT 2014 --  #IStandWithIsrael.
Thu Jul 17 20:21:20 PDT 2014 --  Scuse me,,,if common sense was dynamite there's not enough in Washington to blow the down off a thistle.
Thu Jul 17 12:24:01 PDT 2014 --  If you’re having second thoughts, you’re two ahead of most people.
Thu Jul 17 09:02:33 PDT 2014 --  “One of the reasons why it needs no special education to be a #Christian is that #Christianity is an education itself.” ― C.S. Lewis
Thu Jul 17 08:07:05 PDT 2014 --  Progressive means always screwing up and never accepting the blame for it.
Thu Jul 17 06:35:56 PDT 2014 --  In Your unfailing love You will lead the people you have redeemed.In Your strength You will guide them to Your holy dwelling. Exodus-15
Wed Jul 16 18:57:21 PDT 2014 --  "We make a living by what we get but we make a life by what we give"
Wed Jul 16 06:55:12 PDT 2014 --  This debacle happening at the Mexican border is not about compassion and caring,it's about greed and politics.
Wed Jul 16 06:28:15 PDT 2014 --  Anybody who enables children to travel unassisted for days on end in the hands of a scumbag coyote for political gain is a sorry SOB .
Wed Jul 16 06:06:40 PDT 2014 --  I have set The Lord always before me.Because He is at my right hand I will not be shake . Psalm-16
Tue Jul 15 12:19:21 PDT 2014 --  Bed is always the comfiest right at the time you are supposed to be getting out of it.
Wed Jul 16 03:45:05 PDT 2014 --  Commit to the LORD whatever you do, & your plans will succeed. -Prov 16:3
Tue Jul 15 03:19:13 PDT 2014 --  And we know that all things work together for good to those who love God,to those who are called according to His purpose. Romans-8
Sun Jul 13 09:00:22 PDT 2014 --  Just posted a photo http://instagram.com/p/qZawMutVO4/ 
Sun Jul 13 07:55:16 PDT 2014 --  Therefore there is now no condemnation for those who are in Christ Jesus. Romans-8
Fri Jul 11 09:04:22 PDT 2014 --  #BOOM! @TheLastShipTNT On Demand: http://www.tntdrama.com/shows/the-last-ship.html … pic.twitter.com/MmAHs9a9KO
Sat Jul 12 14:36:03 PDT 2014 --  @FeldmanAdam #UncomfortableFacts: 1.) The word YOU used means baby. 2.) pic.twitter.com/HPt86SdHM6
Sat Jul 12 17:39:20 PDT 2014 --  Let's Change Some Things http://nblo.gs/YomsH 
Sat Jul 12 15:26:06 PDT 2014 --  I’d like to hang out, but that would get in the way of me being home and doing absolutely nothing.
Sat Jul 12 13:05:05 PDT 2014 --  "If you are on the wrong road, progress means doing an about-turn and walking back to the right road." ~ #CSLewis
Sat Jul 12 10:09:03 PDT 2014 --  Daily #redneckjokes: #YMBAR...if your favorite cologne is Deep Woods Off.
Sat Jul 12 07:16:02 PDT 2014 --  I made a typo on the passage today's bible verse was taken from it is Romans 8-27 Sorry Bout that.
Sat Jul 12 06:32:30 PDT 2014 --  And we know that all things work together for good,to those who love God,to those who are called according to His purpose. Romans-3-28
Fri Jul 11 06:18:17 PDT 2014 --  But thanks to God!He gave us victory through our Lord Jesus Christ. 1 Corinthians-15
Thu Jul 10 10:01:44 PDT 2014 --  No matter what you do, stay humble. Amateurs built the Ark, professionals built the Titanic.
Thu Jul 10 06:06:27 PDT 2014 --  What then shall we say to these things?If God is for us,who can be against us. Romans-8-31
