Sat Aug 29 02:01:42 PDT 2015 --  Napatawa mo ako ha! Pati officemates ko. #ALDUBMaiDenHeaven https://twitter.com/_CrisPy27/status/637546387345793025 …
Tue Aug 25 06:22:03 PDT 2015 --  In Switzerland, you can rent fake police cars to park near your house so burglars stay away.
Tue Aug 25 15:26:08 PDT 2015 --  " @TopSecretFact: Depression is a disease. It's not being lazy, and a person who suffers from depression can't just get over it." #happened
Tue Aug 25 15:24:04 PDT 2015 --  pag lumabas na si haring araw kailangan ko na maglabaaaaaa pero kung wala kailangan pa din...waley na ako damit eh huhu
Tue Aug 25 15:22:03 PDT 2015 --  Eng gende nemen telege.. #ALDUBAngLihimNiLOLA pic.twitter.com/F9fR8Mzqcd
Tue Aug 25 15:20:54 PDT 2015 --  Hi ate @JustSarahG God bless po. TC. ILY. IMY. #Forever
Tue Aug 25 15:19:36 PDT 2015 --  Thank You Lord, Ilove You always po.
Tue Aug 25 15:18:33 PDT 2015 --  " @Gemini_ht: As your best friend, it's #Gemini job to embarrass you." Am I?
Tue Aug 25 15:17:27 PDT 2015 --  Good Morning! Rise and shine.... As if I have something more to say...
Tue Aug 25 15:15:24 PDT 2015 --  Bakit naman ang aga ng tatay ko manggising jusmee 5am? Yun pala.uuwi.lang sila Manila >_<
Tue Aug 25 12:19:24 PDT 2015 --  " @Notebook: Pretending to be happy when you are in pain is just an example of how strong you are as a person." but I.don't think so.
Tue Aug 25 11:48:22 PDT 2015 --  antok pleass dumalaw ka na :( yung eyebags ko luggage na eh
Tue Aug 25 11:47:39 PDT 2015 --  Done watching other girls doing their dubsmash, now I'm certain why Maine is a hit. The camera obviously loves her and her strong charisma.
Tue Aug 25 11:45:18 PDT 2015 --  " @Notebook: I may legally be an adult but don’t be fooled, I have no idea what the hell im doing" what am I doing right now? Any idea?
Tue Aug 25 10:49:57 PDT 2015 --  yung dina-DL ko ano? Kanina ka pa...please lang makisama ka... >_< #nagugutomnaakoeh
Tue Aug 25 10:08:19 PDT 2015 --  " @Gemini_ht: When #Gemini connect with someone mentally, everything else falls in place." but it didn't worked out.
Tue Aug 25 10:07:20 PDT 2015 --  and I don't know what other reaction I'll do other than laughing *silently* ate @mainedcm lupet ng amo mo pic.twitter.com/7vAX7kIJes
Tue Aug 25 10:01:38 PDT 2015 --  SMB......
Tue Aug 25 09:03:48 PDT 2015 --  susmee! tama na! pic.twitter.com/ia83SvzLEy
Tue Aug 25 08:43:18 PDT 2015 --  pag dito din wala pa @heinnah_me #AlamKoNa :(
Tue Aug 25 08:32:39 PDT 2015 --  In the end we'll still realize everything happens for a reason. He's there. He knows everything. I'll just put everything in His hands :D
Tue Aug 25 08:22:36 PDT 2015 --  oh my! 11pm na pala di ko namalayan
Tue Aug 25 08:11:57 PDT 2015 --  " @Klarissedguzman: Hmm @mateoguidicelli https://twitter.com/rainyrdizon/status/636181267172560896 …"
Tue Aug 25 08:09:19 PDT 2015 --  What Doesn't Kill You Makes You Stronger ?
Tue Aug 25 08:08:00 PDT 2015 --  hayy...payapa na :D *exhale ng mahaba*
Tue Aug 25 08:07:20 PDT 2015 --  lol ano ba yun? bat naging question mark? hahaha lecheee mali ng pindot..
Tue Aug 25 08:05:12 PDT 2015 --  " @PINOY_QUOTES: Best friends make life so much better."
Tue Aug 25 07:24:41 PDT 2015 --  Zeph, asan lupalop ka? Bket awards ni Coach background mo? © pic.twitter.com/7DBNghHj5U
Tue Aug 25 07:30:22 PDT 2015 --  Final...
Tue Aug 25 07:16:34 PDT 2015 --  
Tue Aug 25 05:24:20 PDT 2015 --  Spotted! While traversing welcome rotonda, q. c. #latepost #SarahG #ToyotaVios pic.twitter.com/Cne94lkF7a
Tue Aug 25 05:21:44 PDT 2015 --  Purple sinigang??? pic.twitter.com/NFD51cfLhk
Tue Aug 25 05:21:33 PDT 2015 --  " @ShitHappensDre: Life is too short to be normal. Stay weird." I am.
Tue Aug 25 05:18:38 PDT 2015 --  Ayoko na ng BV huhuhuhu nakakainis! Gusto ko ng mainis sa sarili ko..Iwasan mo na May! Last mo na yan okay?
Tue Aug 25 05:14:33 PDT 2015 --  Uulitin ko na lang po tweet ko via print screen photo! # JusticeForTeamSarah pic.twitter.com/NeM9muSwiS
Tue Aug 25 05:09:16 PDT 2015 --  Kailan pa ho kami gumawa ng storya? At anong storya naman po yun? My gas abelgas! Naloka ako dun! #JusticeForTeamSarah
Sun Aug 23 15:45:34 PDT 2015 --  Wala eh, napaka selfless ni Sarah Geronimo! I really admire this girl. #WeLoveYouCoachSarah
Tue Aug 25 03:58:08 PDT 2015 --  HINDI KAMI PIKON. TUMATANGGAP KAMI NG PAGKATALO. ANG TANONG LANG NAMAN NAMIN, NA SAAN NAPUNTA ANG MGA BOTO NAMIN ??? #JusticeForTeamSarah
Tue Aug 25 04:02:12 PDT 2015 --  Yung kami pa ang nagmumukhang masama !! Ang tanong lang naman namin ay NA SAAN NAPUNTA ANG MGA BOTO NAMIN? Yun lang. #JusticeForTeamSarah
Tue Aug 25 05:04:47 PDT 2015 --  Napaka absurd naman po nito CL pati na din dun sa kapalitan nyo ng tweet! pic.twitter.com/xhdqi6mMLf
Tue Aug 25 05:02:43 PDT 2015 --  Wow! Nanuod at natulog lang ako saglit paggising ko at pag open ko ng twitter ganoon agad mababas ko?
Tue Aug 25 04:43:43 PDT 2015 --  grabe ikaw na talaga ate @mainedcm galing! Effortless na lang eh dubsmash pa more..haha https://www.facebook.com/MMMNG/videos/vb.1818482875/10203362442261297/?type=2&theater …
Tue Aug 25 02:37:05 PDT 2015 --  Kahit sino pang makilala mo, wag mong kakalimutan yung mga kaibigan mong naunang magpakatotoo sayo.
Mon Aug 24 20:58:26 PDT 2015 --  Natabunan na ang showtime, malapit lapit na rin ang asap, pati ba naman ang the voice pinapamigay nyo rin? Ang generous nyo naman. :D
Tue Aug 25 02:33:38 PDT 2015 --  " @ShitHappensDre: I notice everything, I just act like I don't."
Tue Aug 25 01:40:19 PDT 2015 --  Kami ang Super twins. Hahaha! #ALDUBLOVEONTOP @mainedcm @aldenrichards02 @EatBulaga @allanklownz @rodriguezruby pic.twitter.com/kreFuB0J7H
Tue Aug 25 02:30:15 PDT 2015 --  Lagnat na naman? Hayss... :(
Sun Aug 23 06:26:02 PDT 2015 --  Retweet: kung wala kayo na-recieved na confirmation for Zephanie. #JusticeForTeamSarah #JusticeForZeph pic.twitter.com/cBMYf6QiIB
Tue Aug 25 01:40:07 PDT 2015 --  Do not start a trending topic related to that show on sat and sunday. We respect the kids & their coaches except the useless voting system!
Tue Aug 25 01:51:00 PDT 2015 --  Tsk! Tsk! Be responsible with your tweets **** ikaw pa naman ang _______ng______tapos ikaw pa nangunguna sa ganyan.
Tue Aug 25 00:05:46 PDT 2015 --  Votes can be assumed to be manipulated since we can lay all our evidences but about that decision "issue" I believe S can stand for herself!
Tue Aug 25 00:05:26 PDT 2015 --  Pa-isa lang...isang hirit lang talaga tapos lip seal na aketch!
Mon Aug 24 23:58:53 PDT 2015 --  «------ Mouth shut kaya nga nagbabasa na lang ng ako ng mga tweers ng AlDub haha
Mon Aug 24 20:19:07 PDT 2015 --  Who actually believes that story about TVK staff telling Coach Sarah to pick Kyle over Francis? Fav - You believe it RT - No.
Mon Aug 24 23:10:59 PDT 2015 --  Favorite ko din yung isaw saka yung hawhaw Pero ang pinaka-favorite ko, walang iba kundi IKAW :"> #ALDUBLOVEONTOP
Mon Aug 24 23:00:16 PDT 2015 --  RT. KUNG HAVEY NA HAVEY SA INYO ANG "PANCIT ANTON" AT "ICE KENJIE". WAHAHAHA. IBA TO!! @aldenrichards02 @mainedcm #ALDUBLOVEONTOP
Mon Aug 24 23:19:40 PDT 2015 --  " @EatBulaga: Nidora: Ba't di ka na lang doon sa Massachusetts? Tidora: Ayoko don mahirap ispell! #ALDUBLOVEONTOP"
Mon Aug 24 22:49:06 PDT 2015 --  Maine: Sayo ba galing yung unang box? (Ng mikmik at Hawhaw) Alden: YES! =) CONFIRM GUYS GALING KAY ALDEN! YIKIEE!! #ALDUBLOVEONTOP
Mon Aug 24 22:54:23 PDT 2015 --  " @aubreycarampel: Tidora and Nidora, ang original pabebe girls! #ALDUBLOVEONTOP pic.twitter.com/iZP0YrZAjx" wahahahaha
Mon Aug 24 22:30:54 PDT 2015 --  Ayaw na ni Lola NiDora sa Massachusetts dahil mahirap i-spell. HAHAHA #ALDUBLOVEONTOP
Mon Aug 24 21:36:27 PDT 2015 --  Huwag na sana magkalat pa ng kung anu-anong story esp wala namang proof. Sa palpak na voting system magreklamo.
Mon Aug 24 21:33:47 PDT 2015 --  " @YayaDubs: While watching Alden. #ALDUBLOVEONTOP pic.twitter.com/hojij8huMf" itag si @aldenrichards02 lol
Mon Aug 24 20:49:55 PDT 2015 --  FUN FACT:LAHAT KAMING ADMIN DITO SA FANPAGE NA 'TO AY BOYS!MABUHAY ALDUB BOYS!HAHAHAHA! #ALDUBLOVEONTOP
Mon Aug 24 20:48:50 PDT 2015 --  Usapang CLUMSINESS? May aaminin na ako guys... Actually yung lupa talaga ang 1st Kiss ko lol #ALDUBLOVEONTOP
Mon Aug 24 20:47:45 PDT 2015 --  " @aldubmaiden: Pili ka na sa kanilang dalawa bae @aldenrichards02 Hahaha! @mainedcm #ALDUBLOVEONTOP pic.twitter.com/WKw1ZY20C0" haha
Mon Aug 24 20:43:45 PDT 2015 --  " @dhesloves: they can make a wonderful fam #ALDUBLOVEONTOP pic.twitter.com/YhIdhNbOY2" hoooongkyut...kyuti patootie hihi
Mon Aug 24 18:53:48 PDT 2015 --  Pilipino Star Ngayon: Fans ni Sarah sumisigaw ng Hustisya... #JusticeForTeamSarah pic.twitter.com/nW07ZCFyWe
Mon Aug 24 20:15:52 PDT 2015 --  Gusto ko na magpalit ng DP pero galit pa din ako..mag-aantay pa muna siguro ng ilang araw na humupa toh...
Mon Aug 24 20:13:38 PDT 2015 --  11:11 inaantok ako..hayyy huwag ganun!
Mon Aug 24 20:09:02 PDT 2015 --  " @ILoveAlDub: FUN FACT: In reak life, Maine and Alden ARE BOTH CLUMSY! Kalurks! Sobrang destiny! #ALDUBLOVEONTOP pic.twitter.com/CF0yo6cDcP"
Mon Aug 24 20:04:04 PDT 2015 --  Gusto ko lahat ng song playlist ng AlDub can someone lists all of it ng ma-DL. #ALDUBLOVEONTOP
Mon Aug 24 20:00:59 PDT 2015 --  " @AlDub_ForLife: I'm ready na for Candy Party later! :D *MikHaw* #ALDUBLOVEONTOP pic.twitter.com/bESkkWXKLh"
Mon Aug 24 19:56:46 PDT 2015 --  Forever is long time, but i wouldn't mind spending it by your side! #ALDUBLOVEONTOP pic.twitter.com/Hds10k3ng6
Mon Aug 24 19:57:42 PDT 2015 --  Ai Ai Delas Alas Confirms AlDub Will Be Part Of MMFF Movie SEE MORE: http://on.pep.ph/sCoDJk  #ALDUBLOVEONTOP pic.twitter.com/x6K4hoUD66
Mon Aug 24 19:48:49 PDT 2015 --  Nagpeklat na nga ng tuluyan yung talsik ng mantika sa tuhod ko huhu
Mon Aug 24 19:33:44 PDT 2015 --  " @iraxsg: Wag niyo kasi kaming ginagalit. Kbye " haha kayo mo yan dear....
Mon Aug 24 19:07:36 PDT 2015 --  sino na ang nag unfollow sa twitter account ng "The Voice" ? RT this kung inunfollow nyo... #JusticeForTeamSarah
Mon Aug 24 19:29:26 PDT 2015 --  " @tikisoka: Cause I'm DreaMAINE of you tonight... For tomorrow ALDEN holding you tight... #ALDUBLOVEONTOP (di ako nakaisip nyan ha)" galing!
Mon Aug 24 19:26:55 PDT 2015 --  This is a must read hihi great analyzation. Hi ate @mainedcm nabasa mo na po ito? http://petibstruggles.com/2015/08/21/beyond-katulong-syndrome-and-why-aldub-is-the-biggest-phenomenon-today/ …
Mon Aug 24 19:13:19 PDT 2015 --  We deserve an explanation! What we need is an acceptable reason! Oha! Oha! Pak! Pak! Pak! - Hugot pa more?
Mon Aug 24 18:55:12 PDT 2015 --  Bampira pa din yung mata ko..sobrang pula..nakakailang patak na ako ng gamot at hilamos ng maligamgam na tubig eh.
Mon Aug 24 18:37:06 PDT 2015 --  2/3 1. Yung walang Confirmation sa mga votes at may confi nga pero voting is closed, 2. Yung syntax o keywords na zeph at zephanie! Gulo...
Mon Aug 24 18:27:28 PDT 2015 --  Paano di magrereklamo eh may kasabayan kang nagvote, nauna ka pa nga magsend. Sa kanya pasok na sayo wala pang reply gang ngayon!!
Mon Aug 24 18:03:16 PDT 2015 --  Maglilinis muna ako!
Mon Aug 24 17:58:47 PDT 2015 --  Pare-state po: Magiging magjowa na lang ang AlDub yung MGA BOTO namin sa The Voice hindi pa rin dumadating confirmation! #ALDUBLOVEONTOP
Mon Aug 24 17:39:00 PDT 2015 --  Popsters tambay na lang tayo sa FB page ng EB this weekend , Let's have an Aldub kalyeserye marathon. #JusticeForTeamSarah #ALDUBLOVEONTOP
Mon Aug 24 17:55:02 PDT 2015 --  " @PurpleAsher: Magiging magjowa na lang sa totoong buhay ang #AlDub hindi pa nakkarelease ng statement ang The Voicet @TheVoiceABSCBN" haha
Mon Aug 24 17:48:02 PDT 2015 --  Buti na lang talaga nandyan yung mga nagkalat at ini-exposed na pictures ni Lola NiDora LoL harot eh #ALDUBLOVEONTOP pic.twitter.com/2UtuVUrl1z
Mon Aug 24 17:43:39 PDT 2015 --  Yung prod sa finals para saan yun? PAMPALUBAG LOOB? Palibhasa alam nila na di natin matatanggihan si ate Sars pwes sa YT kami mag-aabang!
Mon Aug 24 17:36:35 PDT 2015 --  To my followers who are not a Sarah G fan, pasensya. CoZ i may stil b tweeting bout THE VOICEt issue. What they did to SG was just too much.
Mon Aug 24 17:39:09 PDT 2015 --  Pwede bang ilipat na sa Hollywood si ate Sarah? Int'l tho' Haha Kesa ginaganyan siya she deserves a better treatment :P
Mon Aug 24 17:37:49 PDT 2015 --  Yung sinasabi kong napansin ko noong nakaraan while watching the other station. Mas nakitaan ko ng pagkagenuine sumagot sa interviews sila.
Mon Aug 24 17:34:54 PDT 2015 --  Seeing how controlled and so much manipulated abs and their artist too feeling sorry for them. Buhay nila kontrolado ng management. Hayys.
Mon Aug 24 17:32:14 PDT 2015 --  Yung TVP takte lang yung pagkakabalita.Why not explain and report why we are all FURIOUS! Wagas kasi yung headline nyo nganga naman content!
Mon Aug 24 17:29:47 PDT 2015 --  I'll be firm about not watching #TheVoiceKot, AlDub lang talaga panunuorin ko sa Sat. kung may manunuod kindly cut ate Sarah's part hihi
Mon Aug 24 15:29:16 PDT 2015 --  I hate how true this is pic.twitter.com/NLUh76Gxcq
Mon Aug 24 10:48:25 PDT 2015 --  Convo last Sat: Him: Reezabels bakit parang feeling ko magkikita na kami? Me: Aba ewan ko sayo! Nerbyos much? Him: Hindi naman. Weh????
Mon Aug 24 16:30:54 PDT 2015 --  Tuesday na! Wala pa ring Confirmation! Hindi kayo makapagsalita?! Ganyan talaga pag nagsisinungaling! NATATAKOT KASI DI ALAM ANG SASABIHIN!
Mon Aug 24 17:09:52 PDT 2015 --  Attention: May special production number si S sa DaBoys Finale. Tsk, ano akala nyo kay S ? Pangdagdag ng ratings nyo? #JusticeForTeamSarah
Mon Aug 24 08:49:29 PDT 2015 --  @nicabaldono Of course! There is a special production number being planned... she has to comment on performances, and come on. She loves us.
Mon Aug 24 08:46:05 PDT 2015 --  @robi_aporbo You know what, she is 27 years old. She's a grown up. She can handle it.
Mon Aug 24 16:48:20 PDT 2015 --  Any speculations on what's inside that secret diary? Perhaps that old photo of AlDub in the Candy Mag Fair event? hahaha #ALDUBLOVEONTOP
Mon Aug 24 17:22:19 PDT 2015 --  " @GODs_Graces: Trust in the LORD with all your heart & lean not on your own understanding. -Prov 3:5"
Mon Aug 24 13:14:49 PDT 2015 --  Ngayon ko lang na-realize. Sarah G always choose the underdogs, the people who may not have a chance at all. #TeamSarahForever
Mon Aug 24 05:03:32 PDT 2015 --  TVP so dissapointing. Last na yata yan eh. I’m sure it will affect their ratings.
Mon Aug 24 16:08:16 PDT 2015 --  So this is how TVK2 works now huh? @TheVoiceABSCBN Ang dumi nyo lumaban!! http://ln.is/www.artikulouno.com/Z93ge … #JusticeForTeamSarah
Mon Aug 24 17:21:22 PDT 2015 --  Thank You Lord :D Always and always... I love You po..
Mon Aug 24 17:20:50 PDT 2015 --  Good Morning!
Mon Aug 24 17:18:26 PDT 2015 --  " @jakodeleon: Ang totoong dahilan ng break-up ng One Duh-rection #ALDUBLOVEONTOP #OneDirection pic.twitter.com/WGcppEk0YQ" Lol I cannot.
Mon Aug 24 15:45:25 PDT 2015 --  The premise is not for Zeph to win the TVK! It's so unacceptable that her votes is LESS THAN 10% OF OVERALL VOTES!!! #JusticeForTeamSarah
Mon Aug 24 15:40:09 PDT 2015 --  Customs stops random inspection on balikbayan boxes http://bit.ly/1V5C4Xs  pic.twitter.com/D43aMGOHj7
Mon Aug 24 17:17:06 PDT 2015 --  " @Gemini_ht: #Gemini has no problems staying single until the right person comes around." is it a bad thing? Lol
Mon Aug 24 14:53:50 PDT 2015 --  “ @VivaArtists: Winning team @JustSarahG w/ top composers Thyro And Yumi back in the recording studio pic.twitter.com/3JNjCEeR7x”
Mon Aug 24 13:23:34 PDT 2015 --  e sabi ko di ako manonood pero kasi sarap ulitin ng "pak pak pak, 360 ganun" ni SG
Sun Aug 23 20:11:19 PDT 2015 --  Nagkasabwatan ang telco at abs sa voting mechanics... Pinapa block nila ang boto na papasok sa team Sarah! #tamabaako #JusticeForTeamSarah
Sun Aug 23 06:27:39 PDT 2015 --  Coach SARAH GERONIMO YUN. Among other coaches, sya ang may may pinaka malakas na fan base tapos ganyan? Ano ba @TheVoiceABSCBN!? #TVK2Semis
Sun Aug 23 10:03:22 PDT 2015 --  Ang Popsters at ibang individual fans, nanonood ng concert ni Sarah sa front seat pa.... Text pa kaya di kayanin... #JusticeForTeamSarah
Sat Jul 11 12:31:17 PDT 2015 --  This is Hyperion, the tallest tree in the world. Its location is a closely-guarded secret. pic.twitter.com/LyqotyQtJz
Mon Aug 24 17:12:14 PDT 2015 --  " @jeniebeans_SG: 08.24.15. #TVPatrol #JusticeForTeamSarah pic.twitter.com/5m3sSv5OsZ"
Mon Aug 24 08:31:57 PDT 2015 --  08.24.15. #TVPatrol #JusticeForTeamSarah pic.twitter.com/mjqRpHKyqu
Mon Aug 24 08:41:07 PDT 2015 --  Different Timezone ugh. Now writing a story about Semis. #ThisMustBeWritten
Mon Aug 24 17:09:28 PDT 2015 --  " @Gemini_ht: #Gemini has a strong dislike towards anything boring."
Sun Aug 23 23:54:23 PDT 2015 --  Just submitted another new song for Sarah Geronimo @JustSarahG to VIVA. I hope she will like this new one. On to the next!
Sun Aug 23 22:32:58 PDT 2015 --  Asan na ang mga Hindot na nag aaway Kay Sarah G ko??Hala Mag Silabasan kayo mga animal kayo!!!wow Beastmode?hahahaha im Backkkkkkkkkk-la
Sun Aug 23 23:34:35 PDT 2015 --  Tingnan nyo yung time ng tweets same 24mins ayieee @aldenrichards02 @mainedcm pati sa oras #ALDUBTULOYANGFOREVER pic.twitter.com/Kgq5vdmi2f
Sun Aug 23 23:47:22 PDT 2015 --  Parang ang sarap gumawa ng banner tapos magwelga sa harap ng ABS with this hashtag #JusticeForTeamSarah
Sun Aug 23 23:34:17 PDT 2015 --  I want #TeamSarah artists as guests for her concert. Klang, Yuki, Jason, Lyca, Darren, Musika, Kyle, Kyle E, Zeph, Kristel, Mandy, etc.
Sun Aug 23 23:04:48 PDT 2015 --  RT. KUNG BENTA SA INYO ANG "COTTON KENJI" HAHAH. @mainedcm @aldenrichards02 #ALDUBTULOYANGFOREVER
Sun Aug 23 23:33:51 PDT 2015 --  Jusme! Ang tweet ko copy paste then naging tweet na ng iba lol ako na lang magke-credits para sa sarili ko (c) to the owner of the tweet lol
Sun Aug 23 23:14:58 PDT 2015 --  Sarap ng monday lalo na pag ganito yung mga Banat! @aldenrichards02 @mainedcm #ALDUBTULOYANGFOREVER pic.twitter.com/eOVww0FJUL
Sun Aug 23 23:14:21 PDT 2015 --  " @mainedcm: Irrt ko kasi benta sya sakin hahahaha https://twitter.com/aldubnaticsss16/status/635694225271615488 …"
Sun Aug 23 23:12:39 PDT 2015 --  " @aldenrichards02: #ALDUBTULOYANGFOREVER for the win!!! 🏻"
Sun Aug 23 23:12:28 PDT 2015 --  " @mainedcm: Cotton Kenji pa more! Waley?" HAVEY hahaha #ALDUBTULOYANGFOREVER
Sun Aug 23 23:10:13 PDT 2015 --  Asan na si ate Maine? Haha lol nawala? #ALDUBTULOYANGFOREVER
Sun Aug 23 23:09:14 PDT 2015 --  Huh??!!! Hahaha EB Juan For All All For Juan #ALDUBTULOYANGFOREVER
Sun Aug 23 22:55:55 PDT 2015 --  Lola Nidora manghingi ka ng Bossing Savings! #ALDUBTULOYANGFOREVER
Sun Aug 23 22:57:05 PDT 2015 --  Wahaha grabe toh si Lola ni Dora split screen kiss lang naman yun haha #ALDUBTULOYANGFOREVER
Sun Aug 23 22:54:19 PDT 2015 --  Maine: Ano first name ni Kenji? Alden: Ano? Maine: Cotton Cotton Kenji
Sun Aug 23 22:53:35 PDT 2015 --  Omg!!! Gian of Team Sarah The Voice kids 2 is here in Marble Island, Romblon. At magpeperform lang naman sya para sa Batang Pinoy 2015 🏻🏻
Sun Aug 23 22:51:37 PDT 2015 --  When she's happy, he is also happy. :) Pero bat parang hindi happy si Kuya? Haha ©tto #OTWOLAchieve pic.twitter.com/qQh5Q1S5gF
Sun Aug 23 22:52:24 PDT 2015 --  Byeee Frankieeee have a safe trip pabalik sa Italy haha #ALDUBTULOYANGFOREVER
Sun Aug 23 22:49:25 PDT 2015 --  Kawawa naman si Frankieee haha di makasingit haha #ALDUBTULOYANGFOREVER
Sun Aug 23 22:45:44 PDT 2015 --  MAINE na talaga???? My gosssh fave nga ni ate @mainedcm yung candies hihi #ALDUBTULOYANGFOREVER
