Fri Aug 28 08:00:18 PDT 2015 --  pic.twitter.com/HxBJSgxHCK
Sun Jan 04 06:18:05 PST 2015 --  Omg! Just found out someone broke into my store!! Beyond scared http://chicago.suntimes.com/news-chicago/7/71/259450/thieves-crash-van-best-buy-lincoln-park …
Wed Dec 31 22:02:13 PST 2014 --  Happy 2015 everyone!!! So wheres my hoverboard?
Sun Dec 28 15:10:16 PST 2014 --  VIDEO: @DezBryant Sets Club Record With 16th TD Of Season http://oak.ctx.ly/r/293i1  pic.twitter.com/EOFmh7K9VR
Sun Dec 28 14:58:42 PST 2014 --  SOURCES: @JJWatt too good for NFL...now an Avenger! pic.twitter.com/w1PhpNylQK
Sun Dec 28 08:57:35 PST 2014 --  Happy birthday to the one and only Mr. @TheRealStanLee! pic.twitter.com/16RIlTpW2w
Thu Dec 25 06:02:06 PST 2014 --  #2BrokeGirls wishes all of its fans (naughty & nice) #happyholidays! http://bit.ly/1xbuDWI  pic.twitter.com/Xcd5mi02xd
Thu Dec 25 18:52:14 PST 2014 --  I was saying Booooourns #LALvsCHI
Thu Dec 25 09:49:36 PST 2014 --  Happy Holidaze pic.twitter.com/vB78VNVyzA
Thu Dec 25 12:59:43 PST 2014 --  Merry xmas all. Hope your day is safe but full of fun
Wed Dec 24 21:58:39 PST 2014 --  Happy birthday to the Jesus you me are the same
Wed Dec 24 13:24:17 PST 2014 --  Kobe Bryant On Christmas? #Lakers pic.twitter.com/uPFpkTjKnH
Mon Dec 22 17:00:57 PST 2014 --  Andy Dalton asked the wrong person for advice on how to beat the Broncos... pic.twitter.com/leFwig9yj2
