Fri Aug 28 07:20:24 PDT 2015 --  ビール→カクテル→日本酒という黄金の系統で見事にグロッキー。
Tue Apr 21 18:22:57 PDT 2015 --  ライオンみたいな髪型にカットした猫ちゃん 　https://twitter.com/BabyAnimalPics/status/479030985028542464/photo/1pic.twitter.com/jkoWdOC36E 
Mon Apr 20 22:24:24 PDT 2015 --  伊達政宗忍者隊もこう申しておじゃる。　　　　　　　　　　　　　　　　ＲＴ　　　　　 @ricky0363 黒脛巾組 奉行 福島県に来てください！ 半額旅行券が6月１日に発売になりますよ！ http://mainichi.jp/select/news/20150421k0000m040040000c.html … …
Sun Apr 19 18:35:54 PDT 2015 --  【万能川柳 今日の秀逸句】老後だが老後のために稼いでる（こだま岳人） #万能川柳 #川柳
Mon Apr 20 06:45:42 PDT 2015 --  県が新たな観光振興策　観光客の宿泊代金の一部助成へ https://youtu.be/AXpDjFdsXA4 
Mon Apr 20 05:36:35 PDT 2015 --  半田沼お花見状況、視察に行ってきました。写真手前は８分咲きくらいでしたが、対岸はこれからという感じでした。３枚めはその対岸の状況です。枝垂桜は、これから開花というところです。４枚めは、去年の４月２９日の３枚めとほぼ同じ場所のものです。 pic.twitter.com/jdMUowX8nI
Mon Apr 20 05:02:55 PDT 2015 --  昨日初勝利した福島ホープスが、ほばら大泉球場で２回も公式戦をやるのはとてもうれしい。まずは、６月２１日武蔵ヒートベアーズだ。埼玉出身でもホープスを応援するぞ。
Mon Apr 20 04:55:32 PDT 2015 --  ラーメンは中華料理が発祥だか、日本オリジナルのものであるから中華系和食だと思う。
Mon Apr 20 03:58:23 PDT 2015 --  最近、野菜不足だなと思ってる方、青汁がおすすめです。ファンケルの（でなくてもいいけど）ケールが入っている奴がいいですよ。これ飲んで一年くらい風邪ひいてませんし（少なくとも熱は出てないです。）、体が少し軽くなりました。
Sun Apr 19 19:38:02 PDT 2015 --  半田沼桜開花速報。今年も悪天候にもかかわらず行ってきました、偵察に。銀山側のソメイヨシノは７から８分咲というところでしょうか。半田山側は、まだまだこれからという感じでした。枝垂れ桜はつぼみでこれから開花するところでした。 pic.twitter.com/x5lRtawKwt
Sat Apr 18 04:43:34 PDT 2015 --  2015.04.18 伊達市ふる里桜まつり 伊達市おもてなし隊｢伊達政宗と愛姫｣ pic.twitter.com/bODJTGxboX
Sat Apr 18 22:31:52 PDT 2015 --  伊達市の春は桜から桃ステージに入りました。 pic.twitter.com/LwikWAfdxX
Sat Apr 18 22:13:38 PDT 2015 --  SL福が満開ふくしま号 会津若松でも大勢の人出八重たん、赤べぇのお出迎え ジュース、赤べぇサブレの振る舞いがありました。 #SL福が満開ふくしま号 pic.twitter.com/23DBChqT4A
Sat Apr 18 18:39:44 PDT 2015 --  SL福が満開ふくしま号 撮り鉄さん大集合 間もなく猪苗代 #福が満開ふくしま pic.twitter.com/4D0GgfysDj
Sat Apr 18 18:24:25 PDT 2015 --  東京電力福島第一原発沖に来ました。 pic.twitter.com/OXARYmbudQ
Sat Apr 18 17:57:02 PDT 2015 --  @macleymk 20年前から続いている、福島東高校と福島高校による、野球の定期戦です。桜は東高の校章、梅は福高の校章。そこから桜梅戦です。福高は梅桜戦と呼びます。
Sat Apr 18 07:18:49 PDT 2015 --  須賀川市 釈迦堂川の鯉のぼり pic.twitter.com/JVvTVrvEB1
Sat Apr 18 07:28:33 PDT 2015 --  明日から夜勤→休日→夜勤→休日→遅番→休日→夜勤→休日という辺鄙なローテーションに入ります。
Sat Apr 18 06:56:18 PDT 2015 --  １１１６号車に屋根つけてください。伊達市さん。
Sat Apr 18 06:22:26 PDT 2015 --  伊達市の新名所誕生です。イベントの時は、なかにも入れます。伊達市の旧５町全域をカバーしていた福島電気鉄道の１１１６号車に会いに来てください。 pic.twitter.com/mBgeDhOFz0
Sat Apr 18 00:43:48 PDT 2015 --  仕事終わってお披露目された保原の１１１６号車見に来た。写真撮りに来てる方多い。いや、いちサポーターとしては感無量です。 pic.twitter.com/7cLFhYq6lD
Fri Apr 17 04:45:38 PDT 2015 --  夜の南湖神社もまた良い感じ pic.twitter.com/uZS3jlJoaJ
Thu Apr 16 05:31:39 PDT 2015 --  あさってお披露目される、1116号車の現役時代とリニューアル前、そして今を比べてみましょう。 pic.twitter.com/HRV0c8rMq0
Thu Apr 16 03:03:39 PDT 2015 --  福島の名峰・霊山“にぎわいを取り戻したい” - NHK2013/11/15　http://www.nhk.or.jp/nw9/marugoto/2013/11/1115.html …　大阪からの参加者「判断できる大人なので、自分たちは。彼らがちゃんとこれだけの線量があると発表してくれているし。」 pic.twitter.com/G67RU5AVbC
Wed Apr 15 17:17:15 PDT 2015 --  おかえりー。１１１６号車。 pic.twitter.com/Snfm2n9OmB
Wed Apr 15 05:00:40 PDT 2015 --  今週の土曜日１０時にお披露目されるかつての信達軌道を走っていたチンチン電車１１１６号車が、リニューアルして保原公民館のとなりの駐車場にすでに到着しています。蚕の生産で繁栄したこの地を支えていた電車です。 pic.twitter.com/2yvMQ6TyUI
Wed Apr 15 00:46:37 PDT 2015 --  迷子犬？4月15日14:00、伊達市保原、道路ど真ん中をお散歩…車の渋滞をつくっていたため保護。 ヨークシャテリア♂、首輪なし。県北保健所、伊達警察署、伊達市役所には届け出済み、私の方で一時預かりしてます！見覚えある方ご連絡ください！ pic.twitter.com/lqC67QNt8C
Tue Apr 14 22:51:49 PDT 2015 --  天気予報お見事、正解。午前中の快晴からこの天気、夏のような天気だ。
Tue Apr 14 22:26:43 PDT 2015 --  うおーカミナリだ！天気予報当たりすぎｗｗｗｗｗｗ
Tue Apr 14 21:24:36 PDT 2015 --  速報 リニューアル中だったチンチン電車１１１６号車が、今日 協三工業から帰って来たみたいです。お披露目は今週の土曜日、１０時からです。保原公民館のとなりの駐車場に見に来てください。 pic.twitter.com/TJexWpkXfn
Tue Apr 14 17:26:18 PDT 2015 --  桜が散りはじめるとこいつらの出番だ。全国２位の収穫量を誇る桃たち、信達地方の主役と言ってもいいだろう。 pic.twitter.com/psplbjgdNF
Mon Apr 13 19:54:37 PDT 2015 --  りけんは仕事をゲットした。
Mon Apr 13 08:06:08 PDT 2015 --  保原帰ってきたら 、まだ薬師様ライトアップしてたよ。夜中の０時に夜桜見物出来るってすごい。 pic.twitter.com/nt43Bp5FNN
Sun Apr 12 07:38:51 PDT 2015 --  pic.twitter.com/eFpeRm4WTZ
Mon Apr 13 06:54:56 PDT 2015 --  イッツラーメンタイム。遅番終わってラーメン食いたくなって福島市のくさびに来ました。今日は丸得盛味噌豚骨麺の大盛りだー。 pic.twitter.com/fFutobrjbL
Sun Apr 12 06:46:47 PDT 2015 --  イルカがうち上げられたことに関して、マスコミは地震との関係に一切触れないのは不気味でしょうがない。なぜ、地震とは関係ないと思いますとかっていう専門家のコメントを出さないんだろう?
Sat Apr 11 07:59:00 PDT 2015 --  よし、明日も楽しい仕事だ。気合い入れていこう。
Sat Apr 11 07:39:45 PDT 2015 --  2015ふくしま山車フェスタ 2 pic.twitter.com/0WBpdiQET6
Sat Apr 11 07:39:58 PDT 2015 --  2015ふくしま山車フェスタ 3 pic.twitter.com/RtIF7MLliP
Fri Apr 10 18:55:04 PDT 2015 --  【定期CM】みづの作のオリジナルLINEスタンプ第１弾「たまごねこたち」絶好調販売中！ よかったら使ってやってくださいませー（*´ω｀）！ #LINEスタンプ #LINEスタンプ宣伝部 https://store.line.me/stickershop/product/1048155/ja … pic.twitter.com/Y0wtkQiIEu
Fri Apr 10 07:59:54 PDT 2015 --  必ず地震は直前に多くなるはずだから。３.１１の時がそうだった。そしたら皆さん注意してください。
Fri Apr 10 07:52:10 PDT 2015 --  RT>いやこれは、リアルに警戒した方がいいかも。前からあの近辺でもう一回大きな地殻変動が起きると東海大の地震学の権威が言ってたし。
Thu Apr 09 21:35:03 PDT 2015 --  クジラじゃなく、イルカだけど 数が数だけに、地震は要注意。3.11の前にも茨城に打ち上がったからね。これで大きな群発地震が起こったら要警戒 「茨城の海岸：数キロに、イルカ約１５０頭が漂着」http://www.asahi.com/articles/ASH4B3FHKH4BUJHB006.html … pic.twitter.com/Qzpdld61lh
Fri Apr 10 07:16:06 PDT 2015 --  信達地方はつなぎ目が無い３段階で花が楽しめるから素晴らしい。梅が終わった頃に桜が満開になり、桜が終わる頃に桃が満開になる。出来すぎていますこのタイミング。写真は自宅近辺の桃とその後ろに満開の桜。バックは伊達市のシンボル霊山。昨日撮影。 pic.twitter.com/vkBmRkji7i
Thu Apr 09 17:46:49 PDT 2015 --  ベストカー5/10号は本日発売 巻頭スクープはホンダS660特集!! ワイドボディとタイプR計画に迫る!! 三本和彦氏の70歳からのカーライフ、水野和敏氏のミニバン比較試乗も掲載!! http://www.kodansha-bc.com/bc/newmagazine/  pic.twitter.com/2U4CoYrKIi
Thu Apr 09 06:20:49 PDT 2015 --  今日行った丸森はとても素敵なとこでした。特に、国民宿舎あぶくま荘付近は、素晴らしいですよ。ただアクセスが福島側から行くと、峠を越えるのはお勧めできないので、阿武隈川沿いに行くんですか、道が所々細くなって走りにくいのが難点です。 pic.twitter.com/QE9etn3dqv
Thu Apr 09 02:37:54 PDT 2015 --  今日から二本松・霞ヶ城公園のライトアップです。5分咲きくらいのようですよ～(*‘ω‘ *)デート場所に悩んでるカップルはぜひ夜10時まで。※写真は昨年 pic.twitter.com/1UFcbjX85E
Thu Apr 09 01:02:53 PDT 2015 --  いやなんて素晴らしいいんだ。福島(特に信達地方)最高!!!俺の写真のテクは相変わずですが(指が写ってしまったけど写真これしかないので御勘弁)。梁川五十沢からの阿武隈川と遠くに吾妻連峰、桜は国見の県北浄化センターわきの桜。 pic.twitter.com/GU1BVlu5dX
Thu Apr 09 00:48:29 PDT 2015 --  この水ですね〜(〃▽〃) http://twitter.com/nao0037/status/497160540976713728 … " @punch_ra: @nao0037 福島市水道局が製造・販売「福島の水」がモンドセレクション2015で金賞受賞！ 本日付の福島民報より。 pic.twitter.com/J7ayeo3eS4"
Thu Apr 09 00:39:16 PDT 2015 --  保原ロータリークラブさんのホームページから　 ４月１８日（土曜日）、保原公民館わきの路面電車が復活します。ＡＭ１０時からイベントも行われます。お楽しみに。写真は最新の協三工業さんでの状況。俺はサポーターなのにいけない。（泣） pic.twitter.com/p0cIzW2P4r
Wed Apr 08 20:58:45 PDT 2015 --  福島ＤＣの梁川亀岡八幡宮、里見庵、大枝城址などは桜が見頃だない。 pic.twitter.com/2xqU43K0Fm
Wed Apr 08 23:18:26 PDT 2015 --  楽してネットで稼ぐみたいなアカウントがフォローしてくるんだけど、そんなの絶対ないです 。経済の仕組みを勉強すればそれはわかるはず。(ネットで稼いでる方はそれ相当の技術持ってます。お金を稼ぐには、努力して技術を身に付けるか、かなりの強運の持ち主(宝くじ系ですね)かのどっちかです。
Wed Apr 08 23:06:34 PDT 2015 --  保原自宅付近にて。満開の桜の前には、スタンバイOKの桃がひかえてます。既にちらほら咲いてます。背景は伊達市のシンボル霊山 。 pic.twitter.com/UPCTKTw0nw
Wed Apr 08 20:13:08 PDT 2015 --  丸森から帰る途中、阿武隈川沿いの私設道の駅でたけのこカレーなるものを食す。 pic.twitter.com/e63YfZgbt0
Wed Apr 08 18:53:05 PDT 2015 --  ここで昼食おうと思ってたんだけどな。 pic.twitter.com/AuW706oegY
Wed Apr 08 18:25:17 PDT 2015 --  丸森の不動尊公園に来た。夜勤明けの峠道はちょっと疲れたけど来てよかった。オーサムawesome、エクセレントexcellentです。確かスペル合ってたよな。 pic.twitter.com/mPWHW3OI70
Wed Apr 08 17:01:59 PDT 2015 --  松坂峠なう。半田山が遠くに、梁川の街を眼下に見る。 pic.twitter.com/oHL5P3wU2O
Wed Apr 08 16:16:29 PDT 2015 --  これから、松坂峠越えて丸森の筆甫行ってみっかな。夜勤明けだけど、天気いいし。
Tue Apr 07 17:09:39 PDT 2015 --  ウソだろ…ほぼ廃墟の温泉宿【喜楽旅館】が衝撃的過ぎる！ - NAVER まとめ http://matome.naver.jp/odai/2141921733851872501 … 営業許可があること自体が信じられないレベル…。 pic.twitter.com/hCcHOo3Ap0
Wed Apr 08 07:41:49 PDT 2015 --  焼き手羽先とビール。 pic.twitter.com/2oMI8PI1x5
Wed Apr 08 05:14:18 PDT 2015 --  宮城県大河原町の一目千本桜は今日からライトアップ、寒いけどすごいね。 pic.twitter.com/ZmqWeS8Rop
Thu Apr 02 06:18:27 PDT 2015 --  新社会人へ pic.twitter.com/DzuHgqoMxQ
Wed Apr 08 04:53:52 PDT 2015 --  来年、国見の４号線沿いに道の駅ができるらしいよ。こりゃ楽しみだ。 pic.twitter.com/94NxzbjOu0
Wed Apr 08 03:51:19 PDT 2015 --  保原の花見スポットの穴場見つけました。柱田の高野(こうや)です。掛田から３９９を下ってきて保原総合運動公園の脇を通る道に入りしばらくすると、右の山際に桜並木が見えるのがそれです。ＪＡ伊達みらいを右折するとそこに辿りつきます。昨日撮影。 pic.twitter.com/qAud7NwAkT
Wed Apr 08 03:02:40 PDT 2015 --  遠足ログ:福島県相馬市「百尺観音」。仏師荒嘉明氏が30年の年月を費やし一人で彫り続けたものの完成を見ずに他界してしまったという悲しき大仏。写真じゃ伝わらないでかさ。感じます中国感。　pic.twitter.com/AwyfGQ2xhf
Tue Apr 07 17:21:11 PDT 2015 --  おはようございます。 2015年4月8日で水曜日です。 pic.twitter.com/9Rz18tVBry
Tue Apr 07 07:04:29 PDT 2015 --  今日、岩代で見かけたお宅。さぞかし植木屋さんは大変だろう。 pic.twitter.com/tojnh7E2aL
Tue Apr 07 05:39:07 PDT 2015 --  納豆好きに朗報です。(特に大粒好きの方) 道の駅川俣で売っている増田屋の納豆がヤバイです。創業100年の老舗が、櫟(くぬぎ)炭火で室(むろ)を20時間管理保温し、完熟させた至極の一品。食べてやみつきになりました。 pic.twitter.com/SWCQqRI1yA
Tue Apr 07 03:47:02 PDT 2015 --  今日、岩代の合戦場の桜に行ってきました。まだ花は咲いていませんでしたが、つぼみは今にも開きそうな感じでした。来週くらいが見頃のようです。あのあたりは、そこらかしこに見ごたえのある桜があっていいですよ。道の駅さくらの郷もあります。 pic.twitter.com/95zD4Xy15j
Tue Apr 07 03:21:09 PDT 2015 --  今日の夜はかなり寒いそうですのでみなさん風邪に注意です。
Tue Apr 07 02:12:20 PDT 2015 --  会津へようこそ！ ふくしまDCオープニング・駅前物産市 4/4(会津若松駅) pic.twitter.com/YD5C2kkiIm
Mon Apr 06 21:51:14 PDT 2015 --  道の駅 福島東和に来た。あたたら恋カレーなるものを食す。 pic.twitter.com/FtXGZ9tr5U
Mon Apr 06 20:46:06 PDT 2015 --  次は道の駅とうわをせめるぞ。
Mon Apr 06 20:36:29 PDT 2015 --  ベンジャミンさんのツイート見て来た。川俣の道の駅なう。ベンジャミンさんオススメのしゃものメンチカツは絶品です。もう一品は、やはりしゃものつくねです。 pic.twitter.com/wYGgeJtIfE
Mon Apr 06 16:43:40 PDT 2015 --  よし 、今日はタイヤ交換すっぺ。
Mon Apr 06 09:10:17 PDT 2015 --  もはや青汁なしの俺はない。
Mon Apr 06 06:53:27 PDT 2015 --  ちなみに３日に１日休肝日がある。ま、妻のためにやってる。
Mon Apr 06 06:49:21 PDT 2015 --  晩酌できない夜は、酪王のカフェオレが俺を癒してくれる。
Sun Apr 05 14:44:40 PDT 2015 --  おはようございます。 今日から始業式の皆さん、新学期おめでとうございます。 皆さんに、数多くの素敵な出逢いがあります様に。 お仕事の方は、初心を忘れずに共に頑張りましょう。 今日も、よろしくお願い致します。 pic.twitter.com/9LukZtXjRo
Sun Apr 05 08:06:06 PDT 2015 --  Foto di @The_GagBag pic.twitter.com/6jfhenMvMa
Sun Apr 05 00:29:51 PDT 2015 --  4/4福島DC県北オープニングセレモニーより 福島駅東口広場にある花時計前での記念撮影。 pic.twitter.com/xUWZyjtO7E
Sat Apr 04 04:51:10 PDT 2015 --  保原薬師堂なう pic.twitter.com/76ZrO1zUob
Sat Apr 04 03:55:56 PDT 2015 --  怪奇月食上演中 。
Fri Apr 03 18:28:23 PDT 2015 --  保原の薬師堂に来ました。今日辺りから見頃です。 pic.twitter.com/75Dh5sUHD0
Fri Apr 03 18:03:24 PDT 2015 --  保原中央病院の移転場所。 pic.twitter.com/prR9iOyfgo
Fri Apr 03 17:52:35 PDT 2015 --  伊達氏発祥の高子城址。近くには、個人の家の桜が満開でした。 pic.twitter.com/pH7iV96bTC
Fri Apr 03 17:06:16 PDT 2015 --  伊達市の観光名所のひとつ、高子沼は今日もバス釣りで賑わってます。その沼底には政宗の金の錬金所があったとか。それを、豊臣政権になっての領地替えで金は出ることを悟られないために沼底に沈めたということらしいです。桜はこんな感じ時です。 pic.twitter.com/hUL0ygWijz
Fri Apr 03 14:49:22 PDT 2015 --  ヘルシーランド福島に写真撮りに来た。なうこんな塩梅。 pic.twitter.com/ipQrZgYaIO
Fri Apr 03 07:07:19 PDT 2015 --  まじで、桜咲くの早すぎるんだけど。１３日から何日かけてばっぱじっちたちと花見やるんだけど（介護職だから仕事ですが）、それまで桜がどのくらい残ってるんだか。
Fri Apr 03 06:20:28 PDT 2015 --  いつだって選べる道は少なかった 。時には道は１本しかなかった。その、少なかった可能性の中から自分で選んだ結果が僕をここまで連れてきた 。 だからこそ僕はその選んだ道を…選ばなくちゃならなかった道を大切にしたい F Fより pic.twitter.com/hMpWybfGJA
Fri Apr 03 05:52:01 PDT 2015 --  伊達市に、福島ＤＣの不手際についてメールだけどクレームいれといた。行政っていうのは、時々突っついとかないと怠慢になったり横柄になったりするから、今後も続けていく。たまには直接行くことも必要かも。この場合はクレームというよりお話をしに行く感じで、でも痛いとこは突っつく。
Fri Apr 03 05:40:36 PDT 2015 --  次の候補は、インプレッサのスポートかＳ６６０だな。冬のこと考えたら、インプレッサが有利かな。登録者乗ったら軽乗りたくなくなるね。
Fri Apr 03 05:35:51 PDT 2015 --  ただ、２０００ｃｃのくせに（１６００ｃｃもある）３ナンバーなんでうちの入り口狭いから入れる時にちょっと神経使う。（庭が舗装してあり車が何台か止められる。）でも、ステータス感はあるよな。
Fri Apr 03 05:31:21 PDT 2015 --  いや、やっぱ俺ってスバリストなんだなって思った。自家用の二回目の修理にスバルのディーラーに車出して、今回の代車はインプレッサのＧ４。担当に、次インプレッサも考えてるの一言で実現。軽でＧ４ならまずまず。コーナリングがＡＷＤ（４ＷＤ）とは思えません。狙ったライントレースできます。
Fri Apr 03 04:52:47 PDT 2015 --  ＲＴ＞いや、すばらしい。ちょっと落ち込んでいたが、頑張ろうという気になりました。
Fri Apr 03 04:48:38 PDT 2015 --  幸運を得たいのならば、 まず自分の出来る 最大限の努力をしろ ということだ。 そのうえで 俺は結果を受け入れる。 行き着く先には 死しかないということなら、 その時初めて俺は観念する。 しかしそれまでは諦めない。 （東野圭吾） pic.twitter.com/nI6T7kGXHj
Fri Apr 03 04:02:13 PDT 2015 --  国王と側近の図 pic.twitter.com/8lMXTXDRpg
Thu Apr 02 02:37:17 PDT 2015 --  宵の明星と桜光の織り成す逢魔が刻 pic.twitter.com/778jAVYwTF
Wed Apr 01 20:35:45 PDT 2015 --  RT>おい、これ日本でも出して。
Wed Apr 01 19:44:04 PDT 2015 --  ホンダ、北米で今秋発売の新型シビックを初公開: 　【ニューヨーク共同】ホンダは１日、乗用車「シビック」の１０代目となる新型を、北米で今秋から順次発売すると発表した。主な顧客の若年層を意識したスポーティーな外観が特色で、セダンと... http://dlvr.it/9CpP41 
Wed Apr 01 20:22:05 PDT 2015 --  今日から北斗星が臨時で復活します。8月まで、月の３分の１程度、カシオペアの運行されない日に運行されます。福島は、定期運行より約２時間４０分早い１９時５０分に到着です。
Thu Mar 26 18:44:13 PDT 2015 --  福島市民家園です。室内の写真は江戸時代後期の村役人相当の農家のお屋敷。外観を写した写真は江戸時代後期の一般的農家のお家です。全般的に屋内は暗いし、窓が少ないです。民家園はとてもいい観光スポットです。 pic.twitter.com/q4X1WsJ9sT
Wed Apr 01 08:43:13 PDT 2015 --  この前引退した北斗星が、臨時で今日からまた走り出すって嬉しいけど複雑。
Wed Apr 01 08:21:20 PDT 2015 --  ああ、方言ってすばらしい。
Wed Apr 01 08:02:03 PDT 2015 --  使用例、「明日飲み会なのにお金ないよ。なじょすっぺ。」
Wed Apr 01 07:48:28 PDT 2015 --  なじょすっぺっていう方言は最近のマイブームです。
Wed Apr 01 07:18:20 PDT 2015 --  手作りのブドウジュースのお酒おいしい。
Wed Apr 01 06:42:28 PDT 2015 --  RT>それにしてもディスティネーションキャンペーン始まったのに、伊達市の対応の悪さはひどいな。被害は被ってないけどまじで今後のために、軽く伊達市にクレームつけとく。こういう一部のやる気内人達は同じこと繰り返すからね。
Tue Mar 31 19:08:51 PDT 2015 --  伊達氏スタンプコレクション スタンプ報告所は、伊達市観光物産協会（阿武隈急行保原駅構内） 午前１０時～午後６時ではあるが、毎週水曜は定休日・・・ 本日4月１日も水曜日！ 初日から不手際続きで申し訳ない・・・ http://www.date-shi.jp/stamp.html 
Tue Mar 31 18:47:05 PDT 2015 --  お知らせです！ 伊達市スタンプコレクションですが、御朱印帳は伊達市内各支所で本日より配布の予定ですが、まだ各支所に到着していないようです。 本日、梁川支所なら確実に受け取れるようです。ご迷惑をおかけします。
Tue Mar 31 07:39:18 PDT 2015 --  いかん、Twitterお休みと言っておきながら、ついリツイートしてしまった。
Tue Mar 31 07:18:24 PDT 2015 --  皆さん今日もお疲れ様でした。 今宵も皆さんに、幸福な夢が訪れます様に祈ります。 おやすみなさい。 また明日もよろしくお願いします。 pic.twitter.com/xYHDtN6iqU
Tue Mar 31 07:14:22 PDT 2015 --  今日Twitterお休み。
Mon Mar 30 07:25:43 PDT 2015 --  なんだとー。4月18日は早番で仕事だぞー。なじょすっぺ。 pic.twitter.com/3jkExEXcn8
Mon Mar 30 07:16:34 PDT 2015 --  よし 、週末はタイヤ交換しよ。
Mon Mar 30 06:50:03 PDT 2015 --  この時間で7℃とはなんと暖かくなったものか。動物の動きも活発になりだすから特に夜間は猫やたぬきの飛び出し事故に注意。でもまだ早いかな。
Mon Mar 30 06:40:39 PDT 2015 --  うまいものは必ずと言っていいほど塩分か脂分か糖分のどれかが高い。塩分の気になる今日このごろ。キュウリの浅漬けは漬かってる水捨てれば、ま、いいとしよう。
Sun Mar 29 19:58:50 PDT 2015 --  昨日から思い立ってブログを書き始めました。福島のいろいろを書いていきます。最初のエントリは、はじまりの美術館について書きました。よろしければどうぞ。／ はじまりの美術館 - 常磐の最果てから http://rikenkomatsu.hatenablog.com/entry/2015/03/29/232532 …
Sun Mar 29 17:44:55 PDT 2015 --  対外試合初勝利です！ 打線も繋がってきました。 開幕まで2週間弱…！ ご声援よろしくお願いします！！ http://fb.me/77EwfptgY 
Sun Mar 29 06:03:19 PDT 2015 --  なんだよ、フルーティアって団体オンリーかよ。
Sat Mar 28 20:22:35 PDT 2015 --  まじか…。 きっぷのみの発売しないなんて(TT) pic.twitter.com/pGnjqy5hin
Sun Mar 29 04:09:40 PDT 2015 --  こりゃ見なきゃ損ですよ。なんと、一般初公開!!!!６００年の時を超えて 、あの伊達政宗公も拝んだかもしれない梁川八幡神社の御尊像(応神天皇)御開扉です。４月11日から。４月11日は政宗ゆかりの公園オープンイベントもあります。 pic.twitter.com/D3is23e6Ux
Sat Mar 28 22:56:29 PDT 2015 --  よし(^-^)2連勝
Sat Mar 28 22:15:15 PDT 2015 --  高校野球のテレビ観戦。俺、埼玉出身なので浦和学院を応援。妻、投手がイケメンなので県岐阜商業応援。
Sat Mar 28 20:02:58 PDT 2015 --  RT>しかも普通電車の運転台(インパネ)がこれです。一昔前の電車かのはこちら。 pic.twitter.com/pVfBAird2w
Sat Mar 28 09:35:04 PDT 2015 --  @macleymk こんばんは。インパネすごいですよね。拡大！w pic.twitter.com/wzc9vmzEBI
Sat Mar 28 07:22:13 PDT 2015 --  今日は綺麗な半月だ。月がドンブリに見えて牛丼食いたくなってきたのは、やっぱおれだけかな?
Fri Mar 27 08:09:46 PDT 2015 --  福島交通飯坂線でも４月からNORUCAが使えるようになるらしい。阿武急沿線住民の希望としては、将来的には阿武急でも使えるようにしていただけないだろうか。福島交通は、阿武急の株を20％保有しているのだからありえない話ではないと思う。そしたら、電車で飯坂温泉行くよ、俺は。
Thu Mar 26 07:03:10 PDT 2015 --  今年は、福島県文化センターに、永ちゃんも来るし、オリビアも来るけど、あそこ音響悪いんだよねー。N馨聴きに行ったけど、クラッシック聴くとその悪さがよくわかります。郡山市民文化センターでウィーンフィル聴いたけど 、あそこはまだ音響いいです。
Thu Mar 26 05:59:47 PDT 2015 --  鎌田の牛角で送別会終了だが、一人がつぶれて待機なうw。若い奴にありがちな己の限界を知らん。
Wed Mar 25 06:46:09 PDT 2015 --  豪華客船「マリナー・オブ・ザ・シーズ」　横浜に初入港（カナロコ by 神奈川新聞） - Yahoo!ニュース http://headlines.yahoo.co.jp/hl?a=20150325-00132915-kana-l14.view-000 … ロイヤルカリビアンも日本をターゲットにしてきたようだな。２２万トンのオアシスオフシーズも来てください。
Wed Mar 25 05:25:49 PDT 2015 --  さきほど撮影した、噴火する桜島と月です。 pic.twitter.com/lrXaSJFMQ0
Wed Mar 25 04:24:44 PDT 2015 --  アジアチャンピオンになったフリーブレイズって郡山が本拠になってるけど、八戸がメインで郡山のサブ感は否めないよな。試合の開催数とってみてもね。だからイマイチ郡山は盛り上がってない気がする。八戸はそこそこ盛り上がってるみたいだけど。
Wed Mar 25 00:48:11 PDT 2015 --  青森県内、および福島県内のスーパースポーツゼビオ @XEBIO_Co_Ltd 各店にて！ フリーブレイズ優勝セール！！！！多くの皆様のご来店を、心よりお待ちしております！！ http://www.freeblades.jp/user_data/newslist?sorce=http://www.freeblades.jp/news/2015/03/2015mar25-ssxsale.php#kijihonbun … pic.twitter.com/D84658tuZh
Tue Mar 24 06:09:54 PDT 2015 --  RT>まじかーーーーーーーー。オリビア行きたいけど、出費が飲み会、ライブに車の修理ext.諦めよかな。
Tue Mar 24 01:42:27 PDT 2015 --  オリビア・ニュートン・ジョン、5月に福島公演「Pray For Fukushima」の開催が決定 - RO69 http://tinyurl.com/m67otak 
Tue Mar 24 05:14:04 PDT 2015 --  それにしても、今年の選抜高校野球は群雄割拠で面白すぎるぞい。聖光がいないのが残念だが。
Tue Mar 24 05:11:14 PDT 2015 --  週末はまたあったかくなるみたいだ。
Mon Mar 23 05:45:32 PDT 2015 --  梁川の粟野延命地蔵尊の梅が見頃を迎えました。国道349号線バイパス沿いです。 pic.twitter.com/Vyu7hDT1DG
Mon Mar 23 04:10:28 PDT 2015 --  これから２４日にかけて日本海側や山沿いの広い範囲で雪が降り、北日本や北陸では風も強まる見込み。気象庁は暴風雪などに警戒し、落雷や突風などにも十分注意するよう呼びかけ。 http://nhk.jp/N4IP4Co1  番組で紹介していい場合は #nhk24 をつけてください。
Mon Mar 23 01:12:45 PDT 2015 --  早番終わって、早くも晩酌です。今日はコイツだ。去年の福島産の梨を使った氷結。
Sun Mar 22 05:18:36 PDT 2015 --  昨日のほばら大泉球場での福島ホープスの試合が、初めての実戦だったとは知りませんでした。次の試合では、古田さんのように「代打 、俺!」をやってもらいたいもんです。 pic.twitter.com/bgDrh9aL6Z
Sat Mar 21 06:10:20 PDT 2015 --  ほばら大泉球場スタイル。寝っ転がって観戦できるのもいいね。 pic.twitter.com/KMNL7SOOJi
Sat Mar 21 05:49:50 PDT 2015 --  岩村監督保原にまた来てください。 pic.twitter.com/YhcxZhCCP2
Sat Mar 21 05:49:44 PDT 2015 --  写真集。 pic.twitter.com/rKwhF1m32n
Sat Mar 21 05:49:28 PDT 2015 --  ホープスのユニフォームはホームとアウェイと練習用が混在してて統一感がなかったです。 pic.twitter.com/wkO0LHIMDD
