Sat Aug 29 09:05:23 PDT 2015 --  Is "potential possibilities" redundant?
Sat Jul 04 17:24:00 PDT 2015 --  Such negativity
Sat Jul 04 15:49:59 PDT 2015 --  Working through Independence Day: The Katie Damron Story
Sat Jul 04 10:56:53 PDT 2015 --  "Stand here and watch my purse."
Fri Jul 03 23:51:58 PDT 2015 --  Fantastic Mr. Fox is such an underrated film.
Fri Jul 03 21:36:54 PDT 2015 --  So I finished Holly Madison's book and I think the biggest Playboy surprise was that Hugh Hefner has a hired scrapbook staff.
Fri Jul 03 21:16:19 PDT 2015 --  #TweetSomethingYouGetAlot Is Jan your stepmother?
Fri Jul 03 20:03:16 PDT 2015 --  The time Katie fell off of the back of the golf cart at golf lessons @damronkatie
Fri Jul 03 15:46:05 PDT 2015 --  First criticism of Apple Music: well, it's not working currently and that's a major drag
Fri Jul 03 13:45:51 PDT 2015 --  I would like every second of my life back that was wasted while debate opponents safely removed my USB during the jumping of evidence.
Fri Jul 03 12:41:38 PDT 2015 --  iTunes released New Hollow's single a day early. I haven't even listened to it yet and I'm over the moon.
Fri Jul 03 10:31:28 PDT 2015 --  @damronkatie All hail the one and only Glamazon Queen of Poky!
Fri Jul 03 10:28:52 PDT 2015 --  Okay I actually like Apple Music, but ask me again in 3 months when I have to actually start paying.
Fri Jul 03 00:07:51 PDT 2015 --  Trace is my fave Cyrus
Fri Jul 03 00:07:39 PDT 2015 --  Metro Station has a new album
Thu Jul 02 23:57:25 PDT 2015 --  Navigating Apple Music
Thu Jul 02 17:47:44 PDT 2015 --  pic.twitter.com/NP3BpJX8Pt
Thu Jul 02 17:25:41 PDT 2015 --  Katie Damron saved my life
Thu Jul 02 17:25:06 PDT 2015 --  ummmmm, @damronkatie is the only reason I still have a Twitter
Thu Jul 02 17:08:04 PDT 2015 --  You've got to be the right person to wear/pull off Clubmaster Ray-Bans.
Thu Jul 02 12:59:49 PDT 2015 --  (It actually worked out though because my makeup wasn't finished)
Thu Jul 02 12:56:59 PDT 2015 --  Ethan and I have been tweeting excitement about meeting up for like 13+ hours and then he texts me he's running late #glamazonfriends
Thu Jul 02 10:53:56 PDT 2015 --  Leaving my house with wet hair because I lost my standards long ago
Thu Jul 02 09:47:05 PDT 2015 --  . @Al_Pal_Alllred If the color of the pony on your Ralph Lauren shirt doesn't match the rest of your outfit, is that a problem?
Thu Jul 02 09:35:41 PDT 2015 --  I just read a tweet about Naughty Boy and now I'm even more excited to see Ethan lol
Thu Jul 02 07:25:34 PDT 2015 --  Is it 2 yet? I'm pretty sure its 2 ya its def 2 @damronkatie (Needless to say im v excited)
Thu Jul 02 00:41:48 PDT 2015 --  My dentist chirped me pretty hard about not regularly flossing, but I can't even manage to take my ponytail out before bed so....
Thu Jul 02 00:36:04 PDT 2015 --  I was ready to go to bed and then I heard a bit of an Adam Lambert song and now I'm wide awake.
Thu Jul 02 00:13:09 PDT 2015 --  "He's wearing a silk shirt and has plucked brows. What was he addicted to? Tangerines?!"
Wed Jul 01 23:13:34 PDT 2015 --  It's after midnight and Jan and I are watching #RichKids.
Wed Jul 01 20:56:14 PDT 2015 --  SAME. SAME. S A M E. https://twitter.com/callmeecig/status/616449469094084608 …
Wed Jul 01 19:28:06 PDT 2015 --  I hate when people complain about how long a book is.
Wed Jul 01 15:27:47 PDT 2015 --  I just broke my watch. Everyone take about ten steps away from me.
Wed Jul 01 14:02:08 PDT 2015 --  In case you were wondering, I make the best strawberry lemonade on the face of the planet.
Wed Jul 01 09:59:34 PDT 2015 --  @damronkatie would you say its a mouthful
Wed Jul 01 09:42:22 PDT 2015 --  I have the funniest tweet about going to the dentist but I cannot fit it in 140 characters for the life of me so never mind.
Wed Jul 01 08:51:36 PDT 2015 --  Happy Canada Day. On this day last year, the star of the show, Claude Giroux, was arrested for groping a cop.
Tue Jun 30 22:48:08 PDT 2015 --  I need a drink. Bleach on the rocks.
Tue Jun 30 22:08:26 PDT 2015 --  I typically spend the last 18 minutes of my shift at work trying to remember where I parked my car.
Tue Jun 30 21:26:26 PDT 2015 --  I judge people by how they pronounce "New Orleans"
Tue Jun 30 20:01:31 PDT 2015 --  I LOVE WHEN @mclachlansierra FANGIRLS
Tue Jun 30 18:00:36 PDT 2015 --  rethinking the level of shade in my last tweet...
Tue Jun 30 17:56:36 PDT 2015 --  Like are you really angry because our fax machine isn't working or are you angry because you're carrying an ugly purse?
Tue Jun 30 17:51:23 PDT 2015 --  Everyone is being a bad attitude Sally
Tue Jun 30 17:48:42 PDT 2015 --  Save me
Tue Jun 30 13:11:24 PDT 2015 --  Tis the season for shorty shorts! Otherwise known as the quiet revenge I take on my 93 pound grandmother.
Tue Jun 30 10:43:31 PDT 2015 --  "Is the complimentary internet free?" Yes, but your stupidity comes at a high cost, sir.
Tue Jun 30 00:33:40 PDT 2015 --  Going to bed with full makeup on because I have no self respect
Tue Jun 30 00:05:54 PDT 2015 --  Hextall is love. Hextall is life.
Mon Jun 29 21:26:52 PDT 2015 --  and so it was, a great agreement was reached between the races pic.twitter.com/6c1HqPAvin
Mon Jun 29 21:15:06 PDT 2015 --  Reasons not to give a baby keys: 1. Germs 2. They could hit the automatic start button & your car could be running for hours w/o you knowing
Mon Jun 29 20:53:36 PDT 2015 --  First of all, I didn't know Kate and Rooney Mara were sisters....
Mon Jun 29 20:27:17 PDT 2015 --  Current mood: fat Betty Draper, Mad Men season 5
Mon Jun 29 16:12:15 PDT 2015 --  NBC did the right thing by cutting ties with Donald Trump. The comments he made about immigrants from Mexico are inexcusable.
Mon Jun 29 16:01:39 PDT 2015 --  Think of all the super cool* new fans Boston just got that are following Zac Rinaldo. *cool is used loosely here
Mon Jun 29 12:44:30 PDT 2015 --  Ron Hextall is a divine being sent to Philadelphia to redeem the Flyers. So much good is happening in Philly rn. I can't contain the happy.
Mon Jun 29 12:18:03 PDT 2015 --  It seems like Shaq is in every commercial.
Mon Jun 29 10:40:20 PDT 2015 --  Every drug scene from Mad Men kills me.
Mon Jun 29 09:15:44 PDT 2015 --  I like reading, cooking, Oprah, and hockey. In other words, I'm already a 36 year old Canadian mother of three.
Mon Jun 29 08:51:47 PDT 2015 --  I'm reading Holly Madison's book which tells about life in the Playboy Mansion. Playboy culture is a lot different than I expected.
Mon Jun 29 05:03:47 PDT 2015 --  :Deletes Facebook: :Never uses a computer again: :Moves to India: :pigeon arrives with a note: :Opens Note: :Candy Crush Request:
Sun Jun 28 23:23:52 PDT 2015 --  "How come only 12 year old boys like me?" Because you have dedicated yourself to making Vines of you lip synching poorly. That's why.
Sun Jun 28 23:21:19 PDT 2015 --  Same. You make Twitter worth it for me. https://twitter.com/callmeecig/status/615401285123112961 …
Sun Jun 28 22:11:30 PDT 2015 --  
Sun Jun 28 17:58:58 PDT 2015 --  what community service have i done besides give fashion advice to my family and lighten peoples souls with my hilarity
Sun Jun 28 00:34:12 PDT 2015 --  Ethan is 30x the glamazon I'll ever be.
Sun Jun 28 00:33:46 PDT 2015 --  Okay Ethan looked so good in drag that it actually pains me to see the photos. Loved it.
Sun Jun 28 00:15:24 PDT 2015 --  Fishnets and Fasting: The Ethan Likness Story
Sat Jun 27 15:26:46 PDT 2015 --  We can actually put Hextall's name in the pledge of allegiance now.
Sat Jun 27 14:15:55 PDT 2015 --  hextall informs the rest of the nhl to... pic.twitter.com/eEQ1rwZQxJ
Sat Jun 27 14:54:36 PDT 2015 --  Yes.
Sat Jun 27 12:50:59 PDT 2015 --  Dropping out of school to pursue watermelon carving
Sat Jun 27 10:02:42 PDT 2015 --  Can't wing my eyeliner. I'm useless.
Sat Jun 27 01:41:10 PDT 2015 --  ...hm. Ok. Yeah.
Sat Jun 27 01:11:41 PDT 2015 --  2:11 AM. I don't have enough money to buy the book I want. Please send help. Or funds. Or the energy to just go to bed. Or funds.
Fri Jun 26 22:35:33 PDT 2015 --  ...and I left my nail painting skills in KC
Fri Jun 26 22:25:01 PDT 2015 --  Oh yeah, I'm back in Idaho.
Fri Jun 26 18:04:30 PDT 2015 --  @damronkatie I'm current sitting at a restaurant on my phone and I don't feel at all alone!!!
Fri Jun 26 16:57:04 PDT 2015 --  "You're never alone when you have your phone!" -Advice I actually just gave someone
Fri Jun 26 12:18:50 PDT 2015 --  GET ME TO DRY WEATHER MY HAIR IS GOING TO FALL OUT
Fri Jun 26 11:53:45 PDT 2015 --  Boys in KC don't have long hair. What a drag.
Fri Jun 26 10:47:13 PDT 2015 --  *patiently waiting for public comment on same sex marriage from Governor Otter*
Fri Jun 26 09:55:20 PDT 2015 --  @damronkatie this is why the world should love them.
Fri Jun 26 09:55:53 PDT 2015 --  Stopping mid handbag shopping to rejoice in the marriage freedom and likely impending marriage of my OTP
Fri Jun 26 09:54:35 PDT 2015 --  LENA AND JACK CAN GET MARRIED (because they were holding out for equality for all before committing)
Fri Jun 26 09:50:23 PDT 2015 --  . @jackantonoff Get on it, yo...
Fri Jun 26 09:52:34 PDT 2015 --  Someone teach me how to rock the micro handbag trend
Fri Jun 26 07:37:53 PDT 2015 --  I hope this means you and Portia can now claim me as a dependent https://twitter.com/theellenshow/status/614441312159338496 …
Fri Jun 26 07:44:53 PDT 2015 --  everybody thank macklemore
Fri Jun 26 07:10:15 PDT 2015 --  #SCOTUS tho
Fri Jun 26 06:15:16 PDT 2015 --  I got no sleep because the most wicked storm was going on all night. It was like from the hurricane scene in The Devil Wears Prada.
Fri Jun 26 06:06:47 PDT 2015 --  If Ruth Bader Gisnburg doesn't announce the gay marriage decision with a "LETS GET SICKENING" and a death drop, it won't be real
Thu Jun 25 20:06:39 PDT 2015 --  Zayn is pursuing a life of being a "normal 22 year old" by sitting front row at LV with Kanye West. That's my ideal normal.
Thu Jun 25 18:57:31 PDT 2015 --  (I should have added 'fit' to my Ethan tweet. He is my fav fab fit friend.)
Thu Jun 25 18:45:20 PDT 2015 --  Also, I saw a sign for an E-Cig outlet and I know it's not my fav fab friend E-Cig, but it gave me the feels bc I miss him.
Thu Jun 25 18:43:47 PDT 2015 --  There's a Waffle House next to a Steak 'n Shake. Heaven is on the K-7
Thu Jun 25 17:54:07 PDT 2015 --  Me: "Hey Braden, text mom 'I have a synergy kombucha bottle laying around. Save it please" Braden: [see picture] pic.twitter.com/muPlxw5JXR
Thu Jun 25 14:01:25 PDT 2015 --  Mom: "For not doing your chores, you are sentenced to death by public stoning." Braden: "Mom, this isn't Seattle or Denver."
Thu Jun 25 13:14:46 PDT 2015 --  The photo of the Clintons at Disneyland when Chelsea was young is close to my heart.
Thu Jun 25 12:37:54 PDT 2015 --  All I'm saying is that if I could only wear dresses for the rest of my life, I would thrive.
Thu Jun 25 12:35:57 PDT 2015 --  Okay but Alex Ovechkin was with Justin Bieber in Vegas.
Thu Jun 25 07:32:55 PDT 2015 --  It's kinda like that one scene from Sisterhood Of The Traveling Pants...
Wed Jun 24 23:32:39 PDT 2015 --  I just had to Olivia Pope my way out of my own mess.
Mon Jun 22 06:00:42 PDT 2015 --  Imagine being rich enough to know you were allergic to horses
Wed Jun 24 16:14:57 PDT 2015 --  I like irrationally spending lots of money to remind myself that I'm an adult capable of making my own terrible decisions
Wed Jun 24 18:54:07 PDT 2015 --  Had an actual dream I was shrieking at senate about birth control & title X funding and they were like"ok fine, you have a great point Lena"
Wed Jun 24 18:31:07 PDT 2015 --  No but seriously where's John Paul so many things remind me of him
Wed Jun 24 11:25:40 PDT 2015 --  With foot always in public. Germs are real and people are gross. https://twitter.com/jsporter43/status/613773456459628544 …
Wed Jun 24 10:49:37 PDT 2015 --  KC. When are you flying out to stay with me?? https://twitter.com/callmeecig/status/613764711092371456 …
Wed Jun 24 10:43:39 PDT 2015 --  Zayn is the reason I vow never to cut my hair. It clearly ruins your life.
Wed Jun 24 10:27:15 PDT 2015 --  zayn went full slytherin pic.twitter.com/hRukFokSxc
Wed Jun 24 07:59:30 PDT 2015 --  Checking bank app before shopping because I'm responsible. Not checking after because I don't hate myself.
Wed Jun 24 07:38:10 PDT 2015 --  It can get pretty easy for your brows to start looking accidental
Tue Jun 23 20:27:15 PDT 2015 --  Summer gave her notice. She found a new job. Someone scrape me off the floor. This is the worst news ever.
Tue Jun 23 19:37:11 PDT 2015 --  Stadium lights are the equivalent of Disneyland for moths
Tue Jun 23 19:10:34 PDT 2015 --  Greatest Fears Include: 1: The Crucifixion of Yeezus 2: A @taylorswift13-led dictatorship 3: Preston Vawdrey stealing more of my style
Tue Jun 23 18:24:49 PDT 2015 --  90 days till #Flyers preseason hockey.
Tue Jun 23 18:02:27 PDT 2015 --  It just now occurred to me that when people have been offering me cokes, they don't just mean coke.
Tue Jun 23 15:30:01 PDT 2015 --  I just picked out like a million new books to read
Tue Jun 23 12:07:25 PDT 2015 --  Flyers Cap Hits w/commentary. pic.twitter.com/fxXgg5UGyU
Tue Jun 23 07:37:51 PDT 2015 --  If Claude Giroux gets traded, I will sink into the depths of the earth never to return.
Mon Jun 22 18:34:34 PDT 2015 --  *ugh*
Mon Jun 22 18:06:06 PDT 2015 --  Listening to a woman talk about her horse's contagious snot.
Mon Jun 22 17:53:17 PDT 2015 --  Also, I have yet to encounter any glamazons in KC. You pretty much just wear Jayhawks t-shirts and call it good.
Mon Jun 22 17:45:28 PDT 2015 --  Parent/coach fight in the dugout. Little league baseball is so important.
Mon Jun 22 17:37:05 PDT 2015 --  the umps at wyco
Mon Jun 22 15:28:18 PDT 2015 --  "She would know that if she went to KU."
Mon Jun 22 13:44:42 PDT 2015 --  Hi (when) Katie (are) how (you) you (transferring) doing (to) today (KU)?
Sun Jun 21 20:42:20 PDT 2015 --  In other news, I'm a pro at grilling shrimp, making pear ricotta crostini w honey walnut drizzle, and frying plantains and sweet potatoes.
Sun Jun 21 20:40:15 PDT 2015 --  Wait where's my brother? I finally had a million dollar idea I need him to execute.
Sun Jun 21 17:20:11 PDT 2015 --  Wyatt (8): Mom, I will never be embarrassed to hold your hand. Except for maybe when I'm at football or baseball. Or when my bros are over.
Sun Jun 21 11:56:52 PDT 2015 --  Cicadas are my enemy
Sun Jun 21 10:53:50 PDT 2015 --  Instead, let's try and dismantle endemic/systemic racism and sexism, k?
Sun Jun 21 10:32:23 PDT 2015 --  My dad is in McCall with my cousins and I wish I could party with them...
Sun Jun 21 10:03:14 PDT 2015 --  Happy Father's Day to the Dadmiral.
Sat Jun 20 23:51:01 PDT 2015 --  Whoa I've been hearing people complain about their iPhones restarting randomly and I thought it was a myth until it just happened to me. Oh.
Sat Jun 20 23:15:13 PDT 2015 --  Automobiles, cell phones, indoor plumbing, the internet....these are good human made inventions, but the greatest of all is the ceiling fan.
Sat Jun 20 22:33:17 PDT 2015 --  Debating drunk tea partyists (and winning)
Sat Jun 20 22:29:48 PDT 2015 --  Okay but Josh won Nationals so....
Sat Jun 20 20:39:55 PDT 2015 --  I'm having all of the experiences.
Sat Jun 20 20:38:05 PDT 2015 --  Experiences experiences experiences experiences experiences experiences
Sat Jun 20 11:22:04 PDT 2015 --  Generally California stoppin
Sat Jun 20 10:29:19 PDT 2015 --  Bat signaling Aleigh bc all the hot guys in Piper are at the Ralph Lauren store rn
Sat Jun 20 09:21:39 PDT 2015 --  It's culturally acceptable to have sweat marks here in Kansas because it is approximately 1.6 billion degrees and 78% humidity at all times.
Sat Jun 20 07:30:08 PDT 2015 --  Mardi Gras beads?
Sat Jun 20 06:38:57 PDT 2015 --  I keep having the same (ish) super vivid dream and I can't tell if this is a premonition or if I've peaked creatively.
Sat Jun 20 01:49:14 PDT 2015 --  After a struggle I've ended up wearing black boots, black jeans, a black shirt and a black jacket. Really stepping out of my comfort zone.
Fri Jun 19 20:08:29 PDT 2015 --  Feels alert: Lena just posted a photo of her and Jack on Insta
Fri Jun 19 18:06:01 PDT 2015 --  #JoshMansfield https://twitter.com/speechanddebate/status/612037168140152832 …
Fri Jun 19 18:07:19 PDT 2015 --  I'm not gonna lie I just teared up in Josh's honor #nats2015
Fri Jun 19 18:10:17 PDT 2015 --  And this ladies and gentlemen is what a IMPROMPTU National Champion looks like!!!! #JoshMansfield pic.twitter.com/LGFINtNz3x
Fri Jun 19 18:18:21 PDT 2015 --  #joshmansfield2016
Fri Jun 19 19:19:00 PDT 2015 --  Remember the first tournament Josh & I debate together at and I told him winning doesn't matter. I lied. It matters. Especially at Nats.
Fri Jun 19 17:04:31 PDT 2015 --  #JoshMansfield #TheChamp
Fri Jun 19 17:34:07 PDT 2015 --  The biggest congrats of all time to #JoshMansfield for taking first at Nationals. Proud is an understatement!
Fri Jun 19 17:14:45 PDT 2015 --  CONGRATS TO JOSH FOR TAKING FIRST IN NATIONALS IMPROMPTU!!!!!!!!!!!!!!!!!!!!!!!!! #JoshMansfield #Nats15
Fri Jun 19 12:27:06 PDT 2015 --  "I've got my $450 purse and my $450 truck."
Fri Jun 19 11:16:51 PDT 2015 --  I guess #JoshMansfield is trending now pic.twitter.com/JVNr0reIib
Fri Jun 19 08:17:27 PDT 2015 --  Congrats, good luck, and big love to one of my best friends making it all the way to finals in impromptu at nationals #JoshMansfield
Thu Jun 18 19:57:34 PDT 2015 --  Yes, Ruth B from Vine can sing. But have you noticed her eyeliner?
Thu Jun 18 11:18:59 PDT 2015 --  Hi, KC
Thu Jun 18 08:36:39 PDT 2015 --  For the record, I look v tan in airport lighting
Thu Jun 18 08:06:01 PDT 2015 --  In other news, I'm totally watching #ThankYouAndSorry at my gate
Thu Jun 18 08:01:47 PDT 2015 --  Please stop using voice to text when you're in public.
Thu Jun 18 07:56:39 PDT 2015 --  Leave it to me to wear strappy sandals when I have to go through security
Mon Jun 15 20:02:11 PDT 2015 --  Kongrats to the Hawks man!!!! Crawford a monster
Wed Jun 17 23:52:41 PDT 2015 --  Still packing for a trip I'm leaving for in 4 hours
Wed Jun 17 22:21:41 PDT 2015 --  Goodnight moon, goodnight drake, goodnight the six, goodnight running
Wed Jun 17 20:55:11 PDT 2015 --  Sorry I only tweet about grammar, Ethan, and Claude Giroux.
Wed Jun 17 20:12:46 PDT 2015 --  I've spent the better part of today wondering if I really know the difference between "alright" and "all right"
Wed Jun 17 18:03:12 PDT 2015 --  "I'm meant to be revising" is the most British phrase ever. It's so British that just reading it makes me crave tea & crush on Prince Harry.
Wed Jun 17 12:35:40 PDT 2015 --  I'm leaving for KC for 9 days tomorrow at like 8 AM. I have to leave for work in an hour. Have I packed yet? No.
Tue Jun 16 23:28:31 PDT 2015 --  None of the couples from this season of Married At First Sight stayed together. I don't believe in love anymore.
Tue Jun 16 23:07:27 PDT 2015 --  When I first met Ethan he had to much hair gel. Now he has too much diva. But I like him that way! pic.twitter.com/MjG9yQAcaT
Tue Jun 16 22:55:53 PDT 2015 --  Congratulations to one of my closest friends on finishing out a fantastic debate career. I'm so proud. Ethan Likness, you are a supernova.
Tue Jun 16 21:36:04 PDT 2015 --  Next level disappointing
Tue Jun 16 20:46:47 PDT 2015 --  Had to hide in the back room at work to die of laughter from E-Cig's Naughty Boy tweet. I think I need CPR.
