Sat Apr 25 13:19:01 PDT 2015 --  بين يوم و ليلة فية ناس بتيجيّ... و ناس تغيبيب و الي انهردا حبيبي بكرة الاقية غريب
Mon Mar 23 06:47:15 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Mon Mar 23 05:46:36 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Mon Mar 23 04:39:43 PDT 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Mon Mar 23 03:31:47 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Mon Mar 23 01:27:56 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Sun Mar 22 21:21:02 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Sun Mar 22 20:25:00 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Sun Mar 22 19:47:15 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Sun Mar 22 18:43:30 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Sun Mar 22 18:10:15 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Sun Mar 22 17:28:20 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Sun Mar 22 16:41:28 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Sun Mar 22 15:49:29 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Sun Mar 22 12:25:36 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Sun Mar 22 09:20:39 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Sun Mar 22 07:19:28 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Sun Mar 22 06:18:24 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Sun Mar 22 05:17:13 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Sun Mar 22 04:16:43 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Sun Mar 22 02:15:06 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Sun Mar 22 01:15:52 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Sat Mar 21 23:14:51 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Sat Mar 21 21:17:06 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Sat Mar 21 20:18:01 PDT 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
Sat Mar 21 19:18:47 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Sat Mar 21 18:19:14 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Sat Mar 21 17:20:17 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Sat Mar 21 15:21:21 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Sat Mar 21 14:20:43 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Sat Mar 21 13:22:28 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Sat Mar 21 12:21:18 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Sat Mar 21 11:15:02 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Sat Mar 21 09:21:08 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Sat Mar 21 08:20:41 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Sat Mar 21 07:20:03 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Sat Mar 21 06:20:06 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Sat Mar 21 05:19:08 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Sat Mar 21 04:16:36 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Sat Mar 21 03:16:46 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Sat Mar 21 01:17:02 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Sat Mar 21 00:16:46 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Fri Mar 20 23:14:13 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Fri Mar 20 22:16:51 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Fri Mar 20 20:30:02 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Fri Mar 20 19:44:42 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Fri Mar 20 18:47:45 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Fri Mar 20 17:31:26 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Fri Mar 20 15:20:09 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Fri Mar 20 14:20:12 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Fri Mar 20 11:19:05 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Fri Mar 20 10:18:44 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Fri Mar 20 07:19:17 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Fri Mar 20 06:20:18 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Fri Mar 20 04:18:00 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Fri Mar 20 02:17:15 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Fri Mar 20 01:19:41 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Thu Mar 19 23:22:49 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Thu Mar 19 22:22:28 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Thu Mar 19 21:22:16 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Thu Mar 19 19:22:28 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Thu Mar 19 18:24:50 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Thu Mar 19 15:28:39 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Thu Mar 19 14:29:49 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Thu Mar 19 13:29:58 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Thu Mar 19 12:31:13 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Thu Mar 19 11:32:20 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Thu Mar 19 10:32:44 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Thu Mar 19 09:33:58 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Thu Mar 19 08:31:56 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Thu Mar 19 07:30:54 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Thu Mar 19 05:34:43 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Thu Mar 19 04:28:02 PDT 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Thu Mar 19 03:29:03 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Thu Mar 19 02:31:55 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Thu Mar 19 01:30:28 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Thu Mar 19 00:30:45 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Wed Mar 18 23:33:05 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Wed Mar 18 22:27:43 PDT 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
Wed Mar 18 21:24:11 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Wed Mar 18 20:23:27 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Wed Mar 18 18:37:17 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Wed Mar 18 16:26:11 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Wed Mar 18 15:26:33 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Wed Mar 18 14:26:18 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Wed Mar 18 13:28:22 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Wed Mar 18 11:27:30 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Wed Mar 18 10:27:13 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Wed Mar 18 07:25:52 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Wed Mar 18 05:30:04 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Wed Mar 18 04:35:09 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Wed Mar 18 03:44:48 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Wed Mar 18 02:55:06 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Wed Mar 18 01:59:14 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Wed Mar 18 00:58:23 PDT 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Wed Mar 18 00:00:29 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Tue Mar 17 22:44:12 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Tue Mar 17 21:27:32 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Tue Mar 17 20:20:53 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Tue Mar 17 19:22:08 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Tue Mar 17 18:23:25 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Tue Mar 17 17:26:03 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Tue Mar 17 15:28:31 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Tue Mar 17 13:21:44 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Tue Mar 17 09:21:56 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Tue Mar 17 08:20:16 PDT 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Tue Mar 17 07:20:47 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Tue Mar 17 06:19:21 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Tue Mar 17 05:19:03 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Tue Mar 17 04:18:45 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Tue Mar 17 03:16:40 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Tue Mar 17 02:18:08 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Tue Mar 17 01:17:43 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Tue Mar 17 00:18:44 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Mon Mar 16 21:17:42 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Mon Mar 16 19:19:13 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Mon Mar 16 18:19:28 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Mon Mar 16 16:22:58 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Mon Mar 16 15:22:51 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Mon Mar 16 13:22:14 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Mon Mar 16 11:21:38 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Mon Mar 16 10:22:55 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Mon Mar 16 07:21:34 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Mon Mar 16 06:22:03 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Mon Mar 16 05:19:39 PDT 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
Mon Mar 16 04:17:42 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Mon Mar 16 02:16:24 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Mon Mar 16 01:15:32 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Mon Mar 16 00:15:46 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Sun Mar 15 23:15:34 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Sun Mar 15 20:17:59 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Sun Mar 15 19:19:15 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Sun Mar 15 17:22:28 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Sun Mar 15 16:22:07 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Sun Mar 15 15:21:09 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Sun Mar 15 14:20:55 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Sun Mar 15 13:19:51 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Sun Mar 15 12:19:44 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Sun Mar 15 11:19:11 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Sun Mar 15 09:19:10 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Sun Mar 15 07:17:43 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Sun Mar 15 06:17:14 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Sun Mar 15 05:16:15 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Sun Mar 15 03:10:16 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Sun Mar 15 02:17:05 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Sun Mar 15 01:17:02 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Sun Mar 15 00:17:06 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Sat Mar 14 23:18:10 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Sat Mar 14 22:18:27 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Sat Mar 14 21:18:20 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Sat Mar 14 18:21:13 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Sat Mar 14 17:21:48 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Sat Mar 14 16:23:00 PDT 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
