Sat Aug 29 07:41:52 PDT 2015 --  Quote of the Day http://nyti.ms/1MUaoSD  pic.twitter.com/wN4lACE8jJ
Sat Aug 29 07:33:44 PDT 2015 --  Liberals promise this "free" or "affordable" what that really means is "taxes"
Fri Aug 14 21:17:47 PDT 2015 --  it is so damn hot
Fri Aug 14 20:36:42 PDT 2015 --  @ChocolateThund9 @ana_sauvignon she drinking boxed water bruh its not just nice, its fucking lit
Fri Aug 14 20:28:17 PDT 2015 --  Jfc https://twitter.com/mermaid_ashlynn/status/631297589728514049 …
Fri Aug 14 20:01:18 PDT 2015 --  Talk nerdy to me
Fri Aug 14 19:23:46 PDT 2015 --  pic.twitter.com/BZ77Sndvc9
Fri Aug 14 18:22:18 PDT 2015 --  pic.twitter.com/3rhEwCLsGL
Fri Aug 14 17:35:26 PDT 2015 --  The red line is the size of @SeaWorld's parking lot. The green line is where Orcas spend their entire lives pic.twitter.com/AjJP9uzCSv
Fri Aug 14 17:36:32 PDT 2015 --  when you can't even yell at him in Spanish because he likes it
Fri Aug 14 17:16:01 PDT 2015 --  F.B.I. tracking path of classified email from State Department to Hillary Clinton http://nyti.ms/1DTX4fs  pic.twitter.com/1LWgKgWJRx
Fri Aug 14 16:19:46 PDT 2015 --  @jonbellion @Skrillex fuck me up
Fri Aug 14 16:07:54 PDT 2015 --  Gee, didn't see that coming https://twitter.com/complexmusic/status/632324742985478144 …
Fri Aug 14 16:02:13 PDT 2015 --  I tell him to pick a place to eat because I'm indecisive and he gives me more options...
Fri Aug 14 15:46:01 PDT 2015 --  I call him daddy like daughters
Fri Aug 14 15:24:20 PDT 2015 --  Closing chapters and opening new ones
Fri Aug 14 15:33:13 PDT 2015 --  pic.twitter.com/Nai1f9Fwbb
Fri Aug 14 13:58:06 PDT 2015 --  StemExpress Cuts Ties with #PlannedParenthood http://natl.re/yb6Din 
Fri Aug 14 13:53:02 PDT 2015 --  my boobs are about to pop the buttons on my dress & it's upsetting me bc I just bought it
Fri Aug 14 13:47:34 PDT 2015 --  museum date
Fri Aug 14 11:45:25 PDT 2015 --  If ur boyfriend doesn't sneakily touch ur butt in public then why are u dating him?
Fri Aug 14 11:48:28 PDT 2015 --  this dress makes me look like a politicians daughter
Fri Aug 14 11:38:21 PDT 2015 --  @Pacific_Tomb @ana_sauvignon Find time in between sex to come tweet about the great sex?
Fri Aug 14 10:56:20 PDT 2015 --  my bf just told me he'd go to jail with me, like.. I appreciate the unconditional love & all but I need you to get me out.. Not join lol
Fri Aug 14 10:51:07 PDT 2015 --  feed your soul.
Thu Aug 06 09:01:18 PDT 2015 --  I pray the lord my soul to take
Sun Aug 02 16:19:18 PDT 2015 --  tea is great
Sun Aug 02 09:14:06 PDT 2015 --  Yesterday this guy burned and stopmed on the Confederate Flag at the rally being held at Stone Mountain. pic.twitter.com/waPwh43SeT
Thu Jul 30 07:02:17 PDT 2015 --  "I swear you've worn that shirt before" there's this magical thing that exists: pic.twitter.com/KuJqVrwq1S
Sun Aug 02 13:50:24 PDT 2015 --  I have done absolutely nothing today and it has been absolutely amazing.
Sun Aug 02 13:47:45 PDT 2015 --  the weeknd blaring & rain pouring >>
Sun Aug 02 13:45:01 PDT 2015 --  5 days of work then 8 days of vacation with my significant other. I'm ready.
Tue Jul 21 19:37:23 PDT 2015 --  She changed the game pic.twitter.com/0AdNTBIXPf
Sun Aug 02 13:26:14 PDT 2015 --  Nah, Frank, it's cool, take your time. I'll just listen to channel orange again for the ten billionth time, no problem.
Sun Aug 02 13:04:38 PDT 2015 --  Frank is never going to drop his album.
Sun Aug 02 12:51:48 PDT 2015 --  you're the sweetest, sweetest song, I could hear your song forever.
Sun Aug 02 12:13:39 PDT 2015 --  at this point, Frank might actually drop his album before my computer finishes downloading windows 10... Jfc man
Sun Aug 02 11:49:25 PDT 2015 --  *actually sips tea*
Sun Aug 02 11:32:00 PDT 2015 --  Classical music played in restaurants increases the amount people spend on wine.
Sun Aug 02 11:17:50 PDT 2015 --  pic.twitter.com/E1DcQAs4Pk
Sun Aug 02 10:47:05 PDT 2015 --  your anger is only hurting you, it's not phasing my peace in the slightest.
Sun Aug 02 10:38:24 PDT 2015 --  you feel like infinite intimacy slipping along my tongue
Sun Aug 02 08:26:38 PDT 2015 --  Not a Sunday goes by that I don't want to do the praying and the singing in my bare skin under the sun.
Sun Aug 02 10:32:23 PDT 2015 --  get a plant, listen to some jazz.
Sun Aug 02 10:22:03 PDT 2015 --  I've been craving Popeyes.. But I've also been craving these gains. We meet again, fruit.
Sun Aug 02 10:17:26 PDT 2015 --  smoke on the skin to get those pretty eyes rollin'
Sun Aug 02 10:15:54 PDT 2015 --  mouth open, you're high
Sun Aug 02 10:11:34 PDT 2015 --  Saze blessed. He gotta teach me how....
Sun Aug 02 10:09:08 PDT 2015 --  Republicans want to defund Planned Parenthood. If they did, the US abortion rate would go up http://econ.st/1HaaezF  pic.twitter.com/Ln7YBgtn7h
Sun Aug 02 10:01:39 PDT 2015 --  Biblical
Sun Aug 02 09:40:44 PDT 2015 --  Sundaze pic.twitter.com/wCtWJdaThd
Sun Aug 02 09:09:25 PDT 2015 --  Church was great
Sun Aug 02 08:58:36 PDT 2015 --  You're amazing.. https://twitter.com/ana_sauvignon/status/627864359155339264 …
Sun Aug 02 08:49:23 PDT 2015 --  Tell me it's not lol https://twitter.com/sykotix/status/627868749123702784 …
Sun Aug 02 08:48:35 PDT 2015 --  Really wish Meek would give it a rest. He's been murdered twice off diss tracks & his hairline is despicable, how much worse could it get.
