Sat Aug 29 03:33:52 PDT 2015 --  at least it's light out, thank god
Fri Apr 03 19:47:06 PDT 2015 --  its the only thing i draw well! triangles! - @WalkTwoEarths
Sun Mar 22 14:45:14 PDT 2015 --  It would be nice to meet new kinds of trees eventually. Are they all so climbable? Do they all have tiny holes filled with tiny creatures?
Sun Mar 22 19:41:12 PDT 2015 --  I sniffed a leaf.
Wed Mar 25 15:32:21 PDT 2015 --  Do not yell at trees. I am almost certain they do not like it. Talk to them in calm, gentle whispers. Be nice. I am a bear.
Sat Mar 28 05:02:54 PDT 2015 --  When I do something wrong, I really think everyone in the forest sees it even though I am usually by myself. Then I put my paw on my nose.
Thu Apr 02 11:22:31 PDT 2015 --  I bet it would be nice to sleep in the sun, the warmth covering your belly and soothing your toes. I want to sleep in the sun. I am a bear.
Thu Apr 02 13:24:36 PDT 2015 --  Lysander is such a slimy bully type, but for some reason there's this sexual chemistry between us that's never really addressed?
Thu Apr 02 06:03:20 PDT 2015 --  The pills they've been having us take? They're meant to placate us!
Thu Apr 02 07:38:10 PDT 2015 --  Yes, it's true. Astrophysicist Neil deGrasse Tyson to be UMass Commencement speaker on May 8 http://www.umass.edu/newsoffice/article/renowned-astrophysicist-neil-degrasse … pic.twitter.com/hAIoHx9yMA
Wed Apr 01 18:33:11 PDT 2015 --  anyone wanna have a frank turner party where we drink and listen to his music and consequently sit on the floor crying
Wed Apr 01 18:24:11 PDT 2015 --  sometimes i think about that scene from planes trains and automobiles and cry a little on the inside. and the outside. and on the internet
Wed Apr 01 18:23:03 PDT 2015 --  its okay if you dont like me, i dont particularly like me either
Wed Apr 01 18:21:44 PDT 2015 --  me: holds out left hand resident: hands ucard to my right shoulder
Wed Apr 01 12:50:25 PDT 2015 --  Too bad they burned all of the books from the Before Time. I'm sure a lot of them might have had lessons that could've helped.
Wed Apr 01 09:01:43 PDT 2015 --  found @YikYakApp !!!! pic.twitter.com/iMuNxb10c9
Wed Apr 01 08:34:58 PDT 2015 --  ranto the @yikyakapp bus just in time to see them driving away towards amherst college
Tue Mar 31 22:07:13 PDT 2015 --  1am yikyak is really not the place to go for emotional support
Tue Mar 31 21:39:09 PDT 2015 --  i suffer from cronic "don't give a fuck" face
Tue Mar 31 14:12:40 PDT 2015 --  "Society functions because you are all exactly the same. Except the one friend who's the same, but racially ambiguous."
Tue Mar 31 06:49:46 PDT 2015 --  "Why can't you just accept your place in Society?" the Leader roars. "It's because I'm Special!" I shout back.
Mon Mar 30 20:14:39 PDT 2015 --  "i dont like our wine glasses at home! theyre too small!" - @WalkTwoEarths
Mon Mar 30 08:31:39 PDT 2015 --  Ever notice how Vampires & dead people, who sit up in their caskets, do so with a straight back? They must have good abs.
Mon Mar 30 06:49:57 PDT 2015 --  *shows up 48 minutes late to a 50 minute class* so whatd i miss
Sun Mar 29 21:59:51 PDT 2015 --  " @neiltyson: Wanna find a planet, this chilly Spring night? Find the gibbous Moon, by Jove, and Jupiter's nearby & bright." @caseywiener
Sun Mar 29 21:45:41 PDT 2015 --  my kneecaps are named mark and marvin
Sun Mar 29 12:36:20 PDT 2015 --  A good short story needs to be explicitly sexual, violent, or completely plotless. preferably all three.
Sun Mar 29 00:37:46 PDT 2015 --  Had my hair straightened and I look like a young Nathan Fillion
Sat Mar 28 07:17:03 PDT 2015 --  "Wait!" I cried. "I have to go back for Harpa. I'm the only one she has left. Other than our mom."
Fri Mar 27 18:08:40 PDT 2015 --  pro tip do your makeup before you drink, eyeliner is scary
Thu Mar 26 21:20:57 PDT 2015 --  if i ever get a tinder this will be my first photo pic.twitter.com/GUmaf9w6Ve
Tue Mar 24 23:05:09 PDT 2015 --  New Research Posits Imminent Collapse of Universe in Tens of Billions of Years.
Thu Mar 26 08:52:08 PDT 2015 --  Zebiday passes me a bowl of stew. "Lannister and I are going to trying to find the ruins from the Before Time tomorrow. Want to come?"
Wed Mar 25 18:53:26 PDT 2015 --  There's one every 100 years.
Wed Mar 25 18:38:25 PDT 2015 --  who the fuck are these people
Wed Mar 25 16:24:10 PDT 2015 --  i hate when my neighbour sings but i prefer it to the "music" she's playing now
Wed Mar 25 13:54:04 PDT 2015 --  i am like chocolate....too bitter to be any good unless you add a bunch of milk and sugar
Wed Mar 25 13:34:37 PDT 2015 --  want to eat a bunch of tortillas SO BADLY
Wed Mar 25 10:09:51 PDT 2015 --  there is nothing so pit-of-your-stomach revolting as a video of a selfie not realizing your camera was on video
Wed Mar 25 08:43:22 PDT 2015 --  Luckily my dad taught me how to fight using his old pocketknife. I'm ready to take on the Securitymen and their thermo-guns.
Wed Mar 25 07:43:18 PDT 2015 --  presentations on the environment are so upsetting and make me so fucking depressed
Wed Mar 25 07:26:40 PDT 2015 --  these people are suck idiots they had to call oit to set up their goddamn projector. same one we use every fucking day
Wed Mar 25 07:04:11 PDT 2015 --  one if my greatest fears is the electric stapler in the lederle library
Wed Mar 25 03:40:05 PDT 2015 --  Just told some people I am working with in the UK that we have Senators who don't believe in Climate Change. They all thought I was joking.
Tue Mar 24 23:48:37 PDT 2015 --  my eyes feel all wiggly i wyen can i go to bed
Tue Mar 24 23:22:34 PDT 2015 --  trying to finish this so i can go to bed but its just mefalling asleep while sitting upright
Tue Mar 24 23:04:05 PDT 2015 --  Casey Wiener is the best boyfriend ever, I am glad to be with him.
Tue Mar 24 20:21:17 PDT 2015 --  when someone tells you their phone accidentally autocorrected their "hahaha" to "HAHAHA" it's like, damn, I thought we had something special
Tue Mar 24 19:01:45 PDT 2015 --  If I were ever abducted by aliens, the first thing I’d ask is whether they came from a planet where people also deny science.
Tue Mar 24 19:15:53 PDT 2015 --  ...when a freshman calls you "ma'am"
Tue Mar 24 15:51:30 PDT 2015 --  neighbour PLEASE stop singing PLEASE
Tue Mar 24 14:32:36 PDT 2015 --  the neighbour is channeling judgemental girl and skyping as loud as she can i really dont want to hear this
Tue Mar 24 12:23:57 PDT 2015 --  just tell me if we're presenting tomorrow so i know if im pulling an allnighter or not stupid group project
Tue Mar 24 11:43:00 PDT 2015 --  did that thing where i lost track of all the shit i needed to do and its all due back to back...i'm pretty sure i won't be sleeping tonight
Tue Mar 24 07:32:43 PDT 2015 --  that moment you realize that YOU'RE the bad group member who forgets deadlines and does a half-assed job...sry polisci, you're last priority
Tue Mar 24 07:07:27 PDT 2015 --  professor, you have an exam due in an hour and youre holding a faculty meeting during your office hours? what the fuck
Tue Mar 24 06:01:26 PDT 2015 --  apparently i have a takehome exam due in two hours that i completely forgot about over break. fuck
Mon Mar 23 20:53:24 PDT 2015 --  telling my stories when @WalkTwoEarths has a face mask on is the best cause shes trying so hard not to laugh
Mon Mar 23 20:39:30 PDT 2015 --  His eyes flash grey in anger.
Mon Mar 23 19:50:30 PDT 2015 --  transported a mouse from frank to durfee after dinner. really hoping it's okay. i figure if it survives the night it'll be fine
Tue Jun 11 17:00:23 PDT 2013 --  RT if you love taking naps
Mon Mar 23 11:08:40 PDT 2015 --  CuzI'mnotsupposedtowantu.CuzI'mnotsupposedtowantu. CuzthesecondthatIsawustartedfuckingwmy head. AndIhatethewaythatuknowuandmeareright
Mon Mar 23 07:45:57 PDT 2015 --  you know a someone has an easy major when her water bottle, phone case, and fingernails are all the exact same color
Mon Mar 23 06:31:42 PDT 2015 --  my guest lecturer is the guy from parks and rec who's always shouting
Sun Mar 22 21:40:01 PDT 2015 --  what's the point of being an adult if you can't do mature adult things like buy a liter and a half plastic jug of coconut rum
Sun Mar 22 21:03:58 PDT 2015 --  gyah i just want to be 21 already
Sun Mar 22 19:46:43 PDT 2015 --  i hate polisci because every project leads back to climate change and i get depressed because it's so awful and there's nothing i can do
Sun Mar 22 11:51:30 PDT 2015 --  Anthem sighed. "The rich Academics have always been the Leaders." "So this is like a plutocracy?" I ask. "What's that?" Anthem replied.
Sun Mar 22 14:05:43 PDT 2015 --  It's World Water Day! For every RT this gets, @LifeWaterUK will give 100 gallons of clean water to someone in need. #cleanwaterforall
Sun Mar 22 06:43:43 PDT 2015 --  my mom still uses a portable cd player
Sat Mar 21 14:35:43 PDT 2015 --  they'd better #RenewAgentCarter i need more
Sat Mar 21 14:20:49 PDT 2015 --  My mom will never understand me, or the way I need to lead a guerilla revolution of teenagers.
Fri Mar 20 21:10:07 PDT 2015 --  today's one of those days i wish i had an easy major and no homework ever
Fri Mar 20 11:26:04 PDT 2015 --  Yup. They happened today. Total Solar Eclipse & the March Equinox. A Cosmic Ballet choreographed by the forces of gravity.
Fri Mar 20 11:05:07 PDT 2015 --  "But why are you doing this?" I shout at the Colony Leader. He smiles a serpent smile. "For the Greater Good, Miss Neverwoods."
Fri Mar 20 09:24:35 PDT 2015 --  Snow back east. "Exceptional" drought out west. Still, no weather-caster may utter the phrase "climate change." pic.twitter.com/Vel2Un7AJD
Fri Mar 20 03:20:46 PDT 2015 --  Even Orwell didn't think the conversations we'd ban would be essential to human survival. http://grnpc.org/IgeJf  pic.twitter.com/SPYk1YDSGX
Thu Mar 19 18:18:07 PDT 2015 --  another A+ pun from @caseywiener
Thu Mar 19 18:00:12 PDT 2015 --  spent the day with this random guy from my building, just as friends. it was aight @caseywiener
Thu Mar 19 08:28:29 PDT 2015 --  They'd told us failing The Test means become an Other. Turns out, failure means death.
Tue Mar 17 19:15:12 PDT 2015 --  Almost forgot to wish a happy St. Patrick's Day to President Barack O'Bama.
Tue Mar 17 17:06:19 PDT 2015 --  Repeal of the ACA would let insurers write their own rules again, and wipe out coverage for 16 million Americans.
Tue Mar 17 17:05:45 PDT 2015 --  Making college more affordable is an investment in our kids and economic growth. Cuts to Pell Grants hold our kids back.
Tue Mar 17 17:05:06 PDT 2015 --  Our nation's future - jobs & economic growth - depends on investments made today. The GOP budget fails Americans on these principles.
Tue Mar 17 17:04:32 PDT 2015 --  Budgets reflect our priorities. They should help families get ahead, educate our kids, and spark small business growth.
Tue Mar 17 14:12:31 PDT 2015 --  I just set a tortilla on fire and all I could do was laugh as my dad tried to extinguish it with WATER and it just created more flames.
Mon Mar 16 07:16:09 PDT 2015 --  "Why is there no adult supervision here?!" I ask quietly. "There is." Ermias answers. "They're watching. All of this is part of The Test."
Sun Mar 15 19:45:01 PDT 2015 --  The obligatory gang of good-looking bullies approached me. "So," Lysander smirked. "Little Valentine thinks she's getting into Leaderstock."
Sun Mar 15 12:39:49 PDT 2015 --  The end of democracy will occur when government falls into the hands of lending institutions and moneyed incorporations. – Thomas Jefferson
Sun Mar 15 01:38:19 PDT 2015 --  it wasn't that funny but i'm gonna laugh anyways cause laughter is fun and tbh i'm a bit of a hedonist
Sun Mar 15 00:55:12 PDT 2015 --  jane the virin is a great show but fuck does it feed my paranoia everyone is a liar except jane herself how do people trust i dont get it
Sat Mar 14 19:58:13 PDT 2015 --  Maybe this mysterious orphan we've never met before knows something about the Before Time.
Sat Mar 14 20:00:25 PDT 2015 --  if i have kids i'm totally referring to them as "the asset" so they'll think they're spies until they realize that their life is a lie
Sat Mar 14 19:24:47 PDT 2015 --  i just hope that someday someone will look at me the way our cat looks at my mom when she comes home from work
Sat Mar 14 16:50:30 PDT 2015 --  my dad spends the entire day upstairs quietly at his computer. minute i start watching TV he comes downstairs to make noise and talk to me
Sat Mar 14 16:36:22 PDT 2015 --  let’s play a game called WHY IS THIS HOUSE SO FUCKING COLD
Sat Mar 14 14:53:49 PDT 2015 --  tmlt yes i am aware that im a mathematically elitist asshole
Sat Mar 14 14:49:28 PDT 2015 --  Anthem takes my hand. "I know we're only 17, but I want to marry you." I wish I could say yes and kiss him, hard. I wish so many things.
Sat Mar 14 14:52:10 PDT 2015 --  " @jarpad: I just head about Pi Day. Haha. 3.14.15. Awesome. I just math-nerded out a little bit." real math nerds wait all year for today
Sat Mar 14 13:44:12 PDT 2015 --  Harpa's grown up a lot in the time since I've been gone.
Sat Mar 14 12:00:04 PDT 2015 --  i'm so into this pic.twitter.com/Tqp0uB4dIW
Sat Mar 14 11:01:01 PDT 2015 --  You’re curious -- I can feel it. How many digits of Pi before the numerals 0123456789 appear in sequence? 17,387,594,879
Sat Mar 14 09:55:12 PDT 2015 --  Best Pi-Day Ever: 53 minutes & 58 seconds after 6 o’clock, March 14, the year 1592: 3/14/1592; 6:53:58
Sat Mar 14 10:05:12 PDT 2015 --  Best Pi-Day of the future: 6 minutes & 53 seconds after 2 o’clock, May 9 (or Sept 5), the year 3141: 3141/5/9; 2:6:53
Sat Mar 14 10:15:06 PDT 2015 --  Get your Geek on. Time to fit all the digits of Pi into a single tweet: Pi in base Pi = 10
Sat Mar 14 10:25:14 PDT 2015 --  The Bible’s best estimate for Pi: 3.0 (1 Kings 7:23)
Sat Mar 14 09:36:09 PDT 2015 --  Pi, written with enough digits to show all numerals in base 10: 3.14159265358979323846264338327950
Sat Mar 14 08:42:21 PDT 2015 --  god why is this town so boring
Fri Mar 13 23:58:34 PDT 2015 --  whenever i go home i always pass out on the couch cause im too tired to go to bed. well not tonight
Fri Mar 13 20:41:01 PDT 2015 --  omfg the yik yak here is so fucking depressing nobody cares about your prom drama
Fri Mar 13 20:22:52 PDT 2015 --  okay, starting to get excited about spamming everyone i know with pictures of my cats
Fri Mar 13 19:43:28 PDT 2015 --  everyone's so excited for me to get a smartphone im like eh whatever ill set it up sometime i guess
Fri Mar 13 06:21:18 PDT 2015 --  Crazy Pi-Day nears. But only if you write the month first, the day second, and a two-decimal truncated year third. 03/14/15
Fri Mar 13 10:33:49 PDT 2015 --  "Wait!" I call. "We need to pause the rebellion. Right now, I need to go save Ermias." "We understand," Elletra says. "Priorites."
Fri Mar 13 13:22:57 PDT 2015 --  I feel my heart beating hard in my chest.
Thu Mar 12 16:41:43 PDT 2015 --  linear algebra will be the death of me learn from my mistakes don't take this class save yourself
Thu Mar 12 15:25:45 PDT 2015 --  found it! and so this thrilling saga comes to its timely conclusion
Thu Mar 12 15:03:41 PDT 2015 --  maybe roommate hid it to trick me into cleaning my room. probably not because @WalkTwoEarths isn't that type of devious, but you never know
Thu Mar 12 15:02:33 PDT 2015 --  how do i lose things in this room when there are literally three places to put things? i give up
Thu Mar 12 14:48:46 PDT 2015 --  welp phone is lost somewhere in this room on silent and we all know my room is to say the least disorganized so looks like i'm off the grid
Thu Mar 12 07:21:12 PDT 2015 --  The closest I get to that action movie "confidently walking away from an explosion" feeling is when I zip up my jacket on the first try
Thu Mar 12 05:51:58 PDT 2015 --  woke up at 7:30, realized it was actually 8:30 and I was already missing class, checked my email and class was cancelled. good start today
Wed Mar 11 12:35:43 PDT 2015 --  Why is being a grown up so hard? Where are all the adults? I just want apple juice.
Tue Mar 10 13:52:39 PDT 2015 --  the neighbours were having sex and now i can hear him crying long story short i wish these walls were thicker
Tue Mar 10 13:41:39 PDT 2015 --  Ongoing research continues to demonstrate conclusively that your IQ is an excellent predictor of your score on an IQ test.
Tue Mar 10 08:10:44 PDT 2015 --  You'd think it'd be difficult to be a teenage girl in the wilderness come a certain time of month, but luckily that's not an issue at all.
Tue Mar 10 07:25:58 PDT 2015 --  normally i don't like hearing other people's music in the library, but this guy's playing kesha so we cool
Mon Mar 09 21:00:10 PDT 2015 --  i won't name names but some of these wellness people are like the human embodiment of ipecac
Mon Mar 09 19:40:29 PDT 2015 --  my roommate has been watching the trailer for the longest ride continuously for the past twenty minutes at least
Mon Mar 09 16:23:49 PDT 2015 --  I wonder why the poor Laborers haven't risen up in rebellion before and then I realize: they've been waiting for a leader. Me.
Mon Mar 09 19:23:14 PDT 2015 --  Now I watch all the freshman hangout on school nights and think "Jeez. I barely have time to get dinner anymore. How are you having fun?"
Mon Mar 09 14:26:21 PDT 2015 --  I wonder what a gov’t “Of the people, by the people, & for the people" means given advertising’s power to sway an electorate.
Mon Mar 09 00:54:45 PDT 2015 --  Gorgeous #AgentCarter art from @Khallion! Know Your Worth @HayleyAtwell #PeggyCarter pic.twitter.com/0HWxDN6QH9
Sun Mar 08 21:20:18 PDT 2015 --  shay doesnt get drunk she gets happy (thats cause she's classy)
Sun Mar 08 19:24:04 PDT 2015 --  shut up computer battery, my brain's at 12% too but you don't see me threatening to shut down
Thu Sep 19 18:27:16 PDT 2013 --  Q imprisons Riker in Data's debut novel, "The Werewolf Wolf" - the tale of a wolf who's bitten by a werewolf, based on a drawing by Geordi.
Sat Jan 11 11:54:09 PST 2014 --  Picard puts his life on the line to protect a sacred book. O'Brien's uncle shows up drunk and confused and keeps demanding to fight Quark.
Wed Jun 18 22:24:59 PDT 2014 --  Picard's production of MacBeth becomes far too real. Having torn apart the warp core, Geordi now thinks the weird noise is coming from Data.
Tue Jun 24 21:15:58 PDT 2014 --  All missions are put on hold until Worf locates his contact lens. The crew nervously waits in silence as he angrily crawls the corridors.
Sun Mar 08 18:44:50 PDT 2015 --  I don't like when my friends are sad. My heart literally crumbles.
Sun Mar 08 18:54:58 PDT 2015 --  i miss my cats
Sun Mar 08 16:06:52 PDT 2015 --  can we have a snow day tomorrow
Sun Mar 08 12:40:40 PDT 2015 --  I smell the honeysuckle on the wind. It reminds me of home. A home that doesn't exist anymore.
Sun Mar 08 11:22:01 PDT 2015 --  maybe one of these years i'll do some homework
Sun Mar 08 10:44:31 PDT 2015 --  A subspace rumple disables the Enterprise and blinds the crew. Data & Geordi's plan to build the perfect girlfriend backfires explosively.
Sat Mar 07 22:49:58 PST 2015 --  so apparently daylight savings...i get 4 hours of sleep instead of 5 i could cry rn
Sat Mar 07 20:07:59 PST 2015 --  Shit thats good. We gotta make these
Sat Mar 07 19:58:37 PST 2015 --  Out on the town with Roommate. She has ordered a grateful dead. Prepare yourselves
Fri Mar 06 07:58:34 PST 2015 --  Colony Leader Benedair smirked. "I bet you're wondering why I, the Leader of this entire Colony, am meeting with you, a teenager."
Fri Mar 06 10:39:41 PST 2015 --  An Other girl approaches me. "Hey, Val. You're a little awkward, but in a weird way, that just makes it easier for me to relate to you."
Fri Mar 06 14:21:20 PST 2015 --  Of course my skin is perfect after spending four months in the wilderness - I wash my face every morning in the river.
Fri Mar 06 15:08:27 PST 2015 --  Vote for Watkins Glen and Letchworth State Park, in the running for Favorite U.S. State Park: http://ow.ly/JYb5S  pic.twitter.com/P98P4qIu0S
Sat Mar 07 11:36:24 PST 2015 --  My ineffectual mother offers me vague, unhelpful advice. Obviously.
Sat Mar 07 13:07:22 PST 2015 --  I gaze at Anthem quizzically. "You were assigned Academic! Why do you want to run away to the Otherlands?" Anthem: pic.twitter.com/JYDyoP8Kg6
Sat Mar 07 15:47:18 PST 2015 --  "But... who are you?" I ask, staring at Baelem. To my surprise, he smiles. "You're telling me you don't recognize your own father?"
Thu Mar 05 20:40:52 PST 2015 --  so fucking relieved i could cry the world is okay sometimes
Thu Mar 05 15:50:23 PST 2015 --  "But what if I use up the 7 arrows in my quiver?" I ask quizzically Baelem laughs. "Don't worry about things like that, Val."
Thu Mar 05 14:56:14 PST 2015 --  "We're training you in hand to hand combat and spear throwing, even though hoverboards and future wall-sized projection screens exist."
Thu Mar 05 14:29:40 PST 2015 --  fire drills are my favourite way to wake up from a nap, what's yours
Thu Mar 05 12:11:34 PST 2015 --  canned mangos are the best thing ever but canned strawberries are kinda meh. i guess it's hit or miss with dollar tree food
Thu Mar 05 07:57:07 PST 2015 --  taking this horrible sas class in the middle of the day. shes so mean this is voluntary why're you yelling at me
Wed Mar 04 19:46:27 PST 2015 --  some people just have really scary looking faces
Wed Mar 04 08:08:30 PST 2015 --  Ermias or Anthem? Now I have to deal with that choice, on top of leading a massive revolution. Life as a teenager is hard.
Wed Mar 04 11:40:37 PST 2015 --  I nervously play with the hem of my grey tunic.
Wed Mar 04 14:28:34 PST 2015 --  girl shows up to group project and literally just sits on her phone the entire time. like seriously
Mon Mar 02 21:43:56 PST 2015 --  In any given year, I cumulatively spend more time ensuring I'm putting each earbud in the correct ear than I spend maintaining relationships
Tue Mar 03 09:09:51 PST 2015 --  Turns out, violence IS the best way to affect sociopolitical change.
Tue Mar 03 13:01:52 PST 2015 --  Maybe we can escape the Colony, farther than the Otherlands. I've heard whispers of a place far north, beyond the System.... "Canada"
Tue Mar 03 21:14:33 PST 2015 --  ...accidentally made a shortcut to desktop on my desktop
Fri Feb 27 13:53:11 PST 2015 --  If you're a feminist and you support my right to do my job free of stigma, harassment and arrest, all I can say is: talk louder. #sexwork
Mon Mar 02 11:25:51 PST 2015 --  "But..back in the Colony, you never noticed me." Anthem gazes at me. "I always noticed you, Val. You're different than the other girls."
Mon Mar 02 12:56:21 PST 2015 --  I'm far too young to understand how to overthrow a government! But none of the adults are doing anything... so I guess it's up to me.
Sun Mar 01 15:09:05 PST 2015 --  the electric stapler in the library is terrifying i don't like it
Sun Mar 01 13:07:08 PST 2015 --  I trust Baelem innately, even though I know nothing about his past or his motivations.
Sun Mar 01 08:38:54 PST 2015 --  I'm glad that even in the wilderness of the Otherlands I'm able to shave my armpits and maintain my eyebrows.
Sat Feb 28 23:07:52 PST 2015 --  casey didnt laugh at my waffle joke so now im sad but also still laughing because its funny
Sat Feb 28 23:07:27 PST 2015 --  *makes high pitched squealing noises about terlertot's thingses* becasue go you gurl
Sat Feb 28 22:41:30 PST 2015 --  so fucking proud of @TaylorBronson omfg go you also @caseywiener sez hai
Fri Feb 27 17:43:10 PST 2015 --  If we were honest about shortcomings of human physiology then "optical illusions” would instead be labeled “brain failures”.
Fri Feb 27 20:43:03 PST 2015 --  Just taught 5 people how to make a crane while intoxicated so I'm pretty cool
Fri Feb 27 23:36:32 PST 2015 --  Movie idea: a gorgeous woman eats M&Ms in the heart of Amish country while juggling work, parenthood and personal fulfillment.
Sun Feb 22 23:36:45 PST 2015 --  A life is like a garden. Perfect moments can be had, but not preserved, except in memory. LLAP
Fri Feb 27 05:41:40 PST 2015 --  Jessum's silly remark lightens the mood and I'm newly grateful for having a friend that can offer a sort of relief from our serious issues.
Fri Feb 27 08:08:56 PST 2015 --  My secrets keep me safe.
Thu Feb 26 23:57:22 PST 2015 --  i feel like at this point if i were to sleep more than six hours in a night my body would reject it and i'd die
Thu Feb 26 21:32:13 PST 2015 --  tonight has ruined my favourite lounge, i will never be returning to field 4 east
Thu Feb 26 21:27:06 PST 2015 --  they are gone, peace at last
Thu Feb 26 21:04:13 PST 2015 --  "well whooptie fucking doo for you" attagirl fighting back
Thu Feb 26 20:59:09 PST 2015 --  "this is my second major, so i don't pay as much attention to its requrements" well aren't you fucking cool
Thu Feb 26 20:56:49 PST 2015 --  "oh yeah, i never did tell you that party trick i have, i'll teach it to you after this" oh man, making plans for later
Thu Feb 26 20:46:53 PST 2015 --  "i wish we were doing real proofs (these aren't real proofs) cause i know how to do those and those are fun" wow impressive
Thu Feb 26 20:44:37 PST 2015 --  bro has just revealed that he does crossword puzzles during class cause the prof goes too slow. wow, i'd bet she's just as impressed as i am
Thu Feb 26 20:42:45 PST 2015 --  oh, bro's wingman just showed up. countering my efforts
Thu Feb 26 20:41:59 PST 2015 --  just kidding i guess they're sophomores. still
Thu Feb 26 20:38:55 PST 2015 --  ugh he keeps coughing loudly at her every time she starts getting a problem wrong. chill out bro
Thu Feb 26 20:36:24 PST 2015 --  "don't judge me it's 11:30 andy!" wooow you're up late aren't you
Thu Feb 26 20:34:29 PST 2015 --  gah he's trying so hard to flirt with her. math is not the answer. im glad to be cockblocking him this is a match made in hell
Thu Feb 26 20:30:51 PST 2015 --  im in the lounge doing math and these annoying freshmen are also doing math but their math is louder like shhhhhhh math is for your insdes
Thu Feb 26 19:09:44 PST 2015 --  death by linear algebra
Thu Feb 26 12:50:09 PST 2015 --  Banksy popped up in Gaza with this: http://mic.com/articles/111430/a-powerful-new-banksy-video-shows-a-side-of-gaza-the-press-can-t … pic.twitter.com/cCEQaNJuyQ
Thu Feb 26 12:41:31 PST 2015 --  you know how people mix skittles and m&ms to fuck with people? if you really wanna mess with someone mix goobers and rasinets
Thu Feb 26 07:08:39 PST 2015 --  I pull the squeaky silver pair of scissors in a jagged line across my long brown hair. I'm a warrior now; I don't need to look like a Child.
Wed Feb 25 20:06:33 PST 2015 --  doing all my homework with clery act videos running silently in the background... @TaylorBronson why are they so fucking long
Wed Feb 25 11:25:43 PST 2015 --  We drank Fieldflower Tonic by the fire, and I felt the liquid burn my throat and warm my belly. Even though it's only ambiguously alcoholic.
Tue Feb 24 20:00:52 PST 2015 --  No. I don't understand. Parks and Rec isn't over. No.
Tue Feb 24 19:59:48 PST 2015 --  #PawneeForever pic.twitter.com/XiE36AORsQ
Tue Feb 24 19:55:34 PST 2015 --  The way Ben looks at Leslie though. #ParksFarewell pic.twitter.com/6cOZ1wHJhU
Tue Feb 24 19:57:21 PST 2015 --  "What makes work worth doing, is getting to do it with the people you love." #ParksFarewell
Tue Feb 24 20:20:00 PST 2015 --  Even with Anthem so close to me, dark hair and clear green eyes, I couldn't stop picturing Ermias, with his light hair and clear green eyes
Tue Feb 24 15:39:08 PST 2015 --  life is't fair, which is why i try to be
Tue Feb 24 12:41:08 PST 2015 --  "What I hear when I'm being yelled at is people caring loudly." - Leslie Knope #ParksFarewell
Tue Feb 24 12:43:00 PST 2015 --  looking forward to #ParksFarewell with @TaylorBronson and by looking forward to i mean dreading the end i'm not ready
Tue Feb 24 12:39:40 PST 2015 --  me; i absolutely can't work overnight because this is the school year security: ...so you'll be working overnight
Tue Feb 24 11:59:29 PST 2015 --  For weeks, Baelem trained me and the rest of the Others to be fighters, even though it felt like only two and a half minutes.
Tue Feb 24 11:36:46 PST 2015 --  US Gov Scientists Recommend Reducing Meat Consumption to Mitigate Climate Change http://m.dailykos.com/stories/1366342 
Mon Feb 23 21:46:39 PST 2015 --  tonight is one of those nights where nobody knows how to do their homework
Sun Feb 22 22:01:36 PST 2015 --  im like a lemur i dont have to drink water i get it all from food
Sun Feb 22 21:35:40 PST 2015 --  i can cut a block of cheese with ONE HAND unlike roomate and @caseywiener
Sun Feb 22 21:25:27 PST 2015 --  just because im dyslexic doesnt mean i dont vole you
Sun Feb 22 21:08:15 PST 2015 --  just sang frank turner for the nieghbours so now thery know how it feels when they sing duing nap time
Sun Feb 22 20:26:02 PST 2015 --  what if high kicks were a dance move youd totally take people out at parties shay and i are practicing
Sun Feb 22 20:24:01 PST 2015 --  at least they cant hear our youtube strobe light
Sun Feb 22 20:22:18 PST 2015 --  roommate: our neighbours must hate us me: they sing during nap time so fuck them
Sun Feb 22 20:21:51 PST 2015 --  anyone else ever noticed how guys wear "shorts" but they're so long they're really capris like yeah nice cargo capris
Sun Feb 22 15:36:19 PST 2015 --  If my Category assignment is wrong... that means l have to decide who I am for myself.
Sun Feb 22 13:03:07 PST 2015 --  “A few more decades of ungoverned fossil fuel use and we burn up.” — Bill McKibben, 1989 http://amzn.to/1F4g9ae 
Sun Feb 22 14:55:11 PST 2015 --  new retainers --> major lithp --> can't pronounce my own name
Sun Feb 22 10:06:50 PST 2015 --  The Colony Leader smiled and leered down at me, with a gaze like a snake or a hawk or the hungry eyes of a wolf.
Wed Mar 06 14:41:35 PST 2013 --  It's amazing how much you can learn about a person just by them telling you all of their secrets.
Sat Feb 21 21:00:41 PST 2015 --  dad: are you guys laughing at me? mom: not this time
Sat Feb 21 19:28:17 PST 2015 --  @goat_2_mountain KATIE. I have a life. Do you think I just sit around and watch Parks and Rec all day?!
Sat Feb 21 19:20:46 PST 2015 --  caught up on parks and rec, i bet @TaylorBronson is jealous
Tue Feb 10 19:00:07 PST 2015 --  I didn't know that I was born to be different.
Tue Feb 10 19:02:17 PST 2015 --  People from This Category haven't gotten along with people from That Category. Well, not since the Civil Schism.
Tue Feb 10 19:02:44 PST 2015 --  It's not Communism if none of us call it Communism.
Tue Feb 10 19:07:13 PST 2015 --  I just feel like there should be MORE beyond this gated community none of us have ever ventured beyond.
Tue Feb 10 19:08:04 PST 2015 --  My sister Harpa played with her hair. In a lot of ways, she reminds me of a metaphor for my childhood innocence.
