Fri Aug 28 20:11:34 PDT 2015 --  pic.twitter.com/Z7xV81ruON
Sun May 10 14:45:05 PDT 2015 --  Thank you Santa Maria Police Department your my mother day fuck you
Sun May 10 14:18:03 PDT 2015 --  I said I am not a mother on more up to my house and I will fuck you up
Sun May 10 14:07:03 PDT 2015 --  I am not a special mother no more. Santa Maria Police Department said fuck you Anna
Sun May 10 13:44:12 PDT 2015 --  Hi happy mothers day to all the special mothers and if ur not a special mother in my eyes ur a special mother thank u Jesus for invitig
Sat May 09 11:41:59 PDT 2015 --  @,T,heBreezyTweet hi. Good morning America n babe wf
Sat May 09 02:34:48 PDT 2015 --  @Cuca__Fres r trying ca @amoore9 @AudrinaPatridllllge @SheIsDash @caseyloza look like fun to me
Sat May 09 00:58:34 PDT 2015 --  Bitch that one that went in my son's Chris Brown's house..I would have beat ur ass..bitch ur stupid!! So some shit like that again..
Sat May 09 00:49:23 PDT 2015 --  pic.twitter.com/oDh9IJOXGp
Sat May 09 00:46:00 PDT 2015 --  Turn it down for wat....these mf are fine Ruhr here!!..Santa Barbara is here!!!
Sat May 09 00:45:22 PDT 2015 --  The girls are going out!!..turn down for wat!!!..turn for wat!!!!..
Thu May 07 21:20:43 PDT 2015 --  King snoop dogg I like.you song babe and new song
Wed May 06 19:01:14 PDT 2015 --  Him verbally attach me curse Mr out and it's on video I'm going so far up u guys will be able to see the moon unself
Wed May 06 18:59:49 PDT 2015 --  Hi everyone sorry it's Micheal Clayton hes the one that said all poor people are not worth the gum on the bottom of his shoe the courts let
Wed May 06 18:12:32 PDT 2015 --  The poor people said thank you and fuck u ur a demion Santa Claus
Wed May 06 18:11:27 PDT 2015 --  Cause I worked hard for my money and welfare won't even give me foodstampts nigga Ya I wear wool suits silk suits and have 2000 pairs shoes
Wed May 06 18:07:23 PDT 2015 --  Michael craft the people here in SM is having a hard time with ur actions toward me I'm not poor I worked for my money I get my SSI early
Wed May 06 08:37:28 PDT 2015 --  Gm everyone yes I'm having a hard day today a professional jump n my face n the court building I'm convinced sm if gonna f me up so I'm goin
Wed May 06 07:36:26 PDT 2015 --  Chris Brown is not a punch he no we don't start fight but if u pick one with us will finish it Chris has me
Mon May 04 19:18:38 PDT 2015 --  Snoop dogg th r s a lot women's in. Ali n states we think ur so great yes a lot more have bad ass kids we give them to much thanks for carin
Mon May 04 17:19:09 PDT 2015 --  World let's keep things n respect Adam came before eve a women cannot run this world n god Saud that'..that's why we er a rib from a man
Sun May 03 16:23:55 PDT 2015 --  Thanks for the fight yesterday guys the fight was Damn good it's been a long time since a good fight u go Brown babe
Sat May 02 19:14:41 PDT 2015 --  Mickel punk ass bitch my little roll dowgs are hot and I am talking about the baby's there hot and your nothing but a snack from hel.
Sat May 02 19:14:38 PDT 2015 --  Let's go head up u no u like to hit wemons u no u no how to jump in my face me and u bitch head up Santa Marie and my roll dowg s betting
Sat May 02 19:14:38 PDT 2015 --  That I will woop your ass! Bitch
Sat May 02 19:06:22 PDT 2015 --  Bye pass your ass mother fucker and it told everyone body in Santa Marie and they won't to see the video your name is not juses it's mickel
Sat May 02 19:06:21 PDT 2015 --  The fallen able the one that's goo g to he'll that's trying to take ppl with him that's u bitch
Sat May 02 19:06:21 PDT 2015 --  Fuck them up that man at the court house is a little bity man that's y I am mad because his baby finger is bigger then his dick the kids
Sat May 02 19:06:18 PDT 2015 --  Will not be lookin at Santa clause at your building u told Me I ant shit there is a hole lot of ppl in Santa Marie that any shit we will
Sat May 02 18:59:08 PDT 2015 --  I am really mad a man jump in my face he wonted to Kim me ass at the court house. Y do men's won't lik me ass I'll make them do then I'll
Sat May 02 10:46:49 PDT 2015 --  hi again the courts let micheal craft attack me a was gonna whoop his ass to vut the guard was the he let me no that his shoes is worth ne
Sat May 02 07:39:08 PDT 2015 --  Onhe did a murder trail n won the boy did stab the boy but micheal brought the family out n the new bring the family cuz I'll beat ur ass
Sat May 02 07:36:45 PDT 2015 --  Michael craft made it perfectly clear this world does not need bliss Mexican poor ppl that can't read or spell he said were useless
Fri May 01 18:38:36 PDT 2015 --  They think I have no back up but the bitch do. All my homes and juses the truth hurts uh sm fuck y'all
Fri May 01 18:37:24 PDT 2015 --  Forcement has threat me now the courts are alieing the turning to get in my face and call me any fillthy word he can think of dawn
Fri May 01 18:35:27 PDT 2015 --  I have to treble out Said Santa Barbara County to help me and the merter of my two kids I Wil call the president Santa Barbara County law in
Fri May 01 18:32:22 PDT 2015 --  I'll make u do it
Fri May 01 18:32:10 PDT 2015 --  Fake ms Michel Clayton u Decker rait your for Christmas stop lying sainten is were u work u a lier u acted me u hit woman's how many u hit
Fri May 01 18:06:11 PDT 2015 --  To call the poop u started it come kik my as mother fucker a pelic man threatrn to fuck me up now a no dick mother fuck jumb in my face
Fri May 01 18:04:59 PDT 2015 --  Bitch your dick is still not going to grow u called me out call me out no bitch your wife is a bitch your kids are bitches or are u going to
Fri May 01 18:03:28 PDT 2015 --  Michael Clayton the district anterny is mad now. I am going to fuck this town now just because u jump up in a woman face and call her a
Fri May 01 17:42:55 PDT 2015 --  About that bitch gel kids are my kids punk do what u do smoker. No fuck with me bitch
Fri May 01 17:41:52 PDT 2015 --  Mark Kirby u ant shit bitch u can't kill no kid your a child mulaster come any place nere my place or Santa Marie I'll fuck u up nigha how a
Fri May 01 17:39:45 PDT 2015 --  I'll fuck u up
Fri May 01 17:39:34 PDT 2015 --  Hi again my mom had six kid s from Kirby one of those kids name is Mark Kirby I hate your guts Mark if say are mess of any of my friends
Fri May 01 17:34:11 PDT 2015 --  Snoop dowg u are one of my roll models for us in Santa Barbara county I am Chad and I do try hard to be good
Fri May 01 17:30:28 PDT 2015 --  pic.twitter.com/jLeJA3qBEZ
Fri May 01 16:34:32 PDT 2015 --  To show the district enterny that Santa Barbara county is fuck over me bad so I will tell la county the dirt about Santa Barbara County
Fri May 01 16:32:49 PDT 2015 --  I have a problem I don't no how I am going to pull this one off I do not won't my son to be tried in sm county or I am going to la
Fri May 01 16:31:37 PDT 2015 --  So in your prayers to night that the bayler in court was standing right there I will get that video from the court bitch
Fri May 01 16:29:02 PDT 2015 --  Kids mickel is not Santa claws he is the devil he has no respect for ppl he is one of those persons who thinks he's good
Fri May 01 16:25:39 PDT 2015 --  Santa Marie court u let that piece of shit call me a bitch face to face I Will add him in the suit TO
Fri May 01 15:46:21 PDT 2015 --  Michael Clayton half of ur baby finger is bigger than ur du k so I guess that means ur wife had a vibrator u wanted to hit ne hit me bitch
Fri May 01 15:05:29 PDT 2015 --  U jump in my face and called me a bitch I will cut us small finger out
Fri May 01 15:04:17 PDT 2015 --  Michael Clayton the investigator drove me home and try to assure me that me n Terence was somebody. But I don't believe it u stood in my f
Fri May 01 11:05:04 PDT 2015 --  Mother fucker I'm somebody and Terrance Richardson is somebody. You are a private investigator. Watch your business go down bitch.
Fri May 01 11:03:29 PDT 2015 --  Michael Clayton called me a bitch in court today. He's short so that mean he ain't got no dock. Everybody in Santa Maria stay away from him.
Fri May 01 07:15:15 PDT 2015 --  August keep singing about real life baby I'm still alive baby the st is hard babe "started from the st people dieing all around me........"
Fri May 01 07:05:22 PDT 2015 --  Wen ur from the st like me n snoop dogg our eyes have seen a lot we don't even have to see your face n still figure u out
Fri May 01 07:00:38 PDT 2015 --  In tell there livev have a Gus day everyone
Fri May 01 07:00:13 PDT 2015 --  Hi gm today is Terence court day pray for me guys pluz let me explain wen ur older from the st ur able to look at a person m tell there who
Thu Apr 30 15:09:56 PDT 2015 --  I'm packing up and leaving here..can't stay here..there's no love..can't stay here Santa Maria, Santa Barbara county..they killed my kids!!
Thu Apr 30 14:28:44 PDT 2015 --  Fuckyou probation say no to CRYSTAL METH you user and I'm sue u. For the number of Tara Marie fuck see. You court
Thu Apr 30 11:15:17 PDT 2015 --  Walgreen u sudnt of fuck with me how dare u u steal the meds. No for a fact I have a friend who works there no wat bitch
Thu Apr 30 10:58:39 PDT 2015 --  Ain't that a birch yall
Thu Apr 30 10:58:28 PDT 2015 --  Santa Barbara County got my travel pass as u can c the want me to die world war really goes on her I need a permit to see the doc in slo
Thu Apr 30 10:50:54 PDT 2015 --  Said no I'm telling the whole world all ur snitches in Jail Fresno up north fuck with me now Santa Maria I'm gonna talk to the head man now
Thu Apr 30 10:49:16 PDT 2015 --  My doc Steven Clark has told me he don't Gi e a Damn of i drop dead Santa Maria police dept. Remember fresno u wanted me to b ur snitch n i
Thu Apr 30 09:51:34 PDT 2015 --  I need my high blood pressure meds n volumes want me to go off again? I have no respect for none of u say no to meth
Thu Apr 30 09:50:27 PDT 2015 --  Santa Barbara County I'm convinced u guys r trying to kill me yes I have high blood pressure bad I have my doc a half hr to get my meds
Wed Apr 29 18:33:18 PDT 2015 --  snoop dog has been a good role model for a long time...ppl refuse to listen to him snoop knows wat ge doin n saying help the niggaaaa out
Wed Apr 29 08:34:09 PDT 2015 --  Bull shit get my pass
Wed Apr 29 08:33:58 PDT 2015 --  I told u state don't fuck with me I have no respect for the. Force n I show u that. Probation told me I don't need a travel pass I said bull
Wed Apr 29 08:32:22 PDT 2015 --  Hi good morning yes I had a big fight yesterday with the state n the bitch won n always will win n probation will never step foot n my hm
Tue Apr 28 11:34:36 PDT 2015 --  We had our conversation this morning Santa Barbara and you failed nothing in this world can stop me to come for you say no to CRYSTAL METH
Tue Apr 28 11:18:33 PDT 2015 --  I didn't forget about u gf u acting to much like me state where's my money
Tue Apr 28 11:16:54 PDT 2015 --  Chris Brown u doing it baby that's right all they want to hear is Chris Brown on the radio n snoop dogg where u at Rick Ross Monica
Mon Apr 27 15:36:00 PDT 2015 --  can you dance with a women like me? Have a couple of drinks with a bitch like me? Let's just party till we can't no o 've no love
Mon Apr 27 12:25:06 PDT 2015 --  Now these kids face a whole new drug CRYSTAL METH that makes your sexually desire rise now what's a kid suppose to do wit dat shit DAMN!
Mon Apr 27 12:23:21 PDT 2015 --  Tired of the underground kids getting raped and getting forced to sell drugs told not to help some one that's just got the shit beat out of.
Mon Apr 27 12:21:48 PDT 2015 --  Hi again please people don't misunderstand me I'm just saying snoop dogg thinks the way I do were tired of the gang banging tired of ppl ..
Mon Apr 27 10:16:40 PDT 2015 --  Talk to snoop dogg about money for the kids need money and hlep and or can or money help the kids please please please please help the kids
Mon Apr 27 08:42:45 PDT 2015 --  Don't look forward a women like me I'm not looking for love but is there live for a women like me? No love no love for a women like me
Mon Apr 27 08:29:53 PDT 2015 --  " @TheBreezyTweet: RT if you love Chris Brown's hair here. pic.twitter.com/lUdgAPikbG"€
Mon Apr 27 06:50:12 PDT 2015 --  And his name is Jesus
Mon Apr 27 06:49:58 PDT 2015 --  You only get one love in a lifetime and I almost lost the sign right before my eyes I'd cross the ocean to climb a mountain to tell u that..
Mon Apr 27 01:42:47 PDT 2015 --  Go go go snoop dogg you are bad babe and. You look good babe really good
Sun Apr 26 17:27:05 PDT 2015 --  Of course Beverly hills..he'll LA was his stomping ground.My grand parents on my mother's side are barried in Santa Barbara..
Sun Apr 26 17:27:05 PDT 2015 --  My days of gang banging we were not puncks. We didn't pull a gun,yea we swung bumper jacks, bats and coke bottles.
Sun Apr 26 17:27:05 PDT 2015 --  We rolled other streets in f u started with a V . My dad's stumping grounds Venice and long beach, of course Hollywood,Englewood,Compton.
Sun Apr 26 17:27:03 PDT 2015 --  Damn opal was born in Santa Barbara too..Damn Damn im a Santa Barbara bitch too!!
Sun Apr 26 14:52:43 PDT 2015 --  Snoop dogg knows wat he a doing saying and trying to do back dogg up where one nation now where all one. Gangster let's hold it down no meth
Sun Apr 26 14:51:18 PDT 2015 --  Hi guys pluz let me help everyone to understand I grew up a with gangsters snoops came after me all were doing trying to break it up.
Sat Apr 25 14:31:28 PDT 2015 --  Why is it that a women support a no good nigga cuz wen the shit hit the fan n he wants to drag u from corner to corner
Sat Apr 25 12:20:05 PDT 2015 --  Fan tap boys working hard. Fan tap is keeping our youth off the streets....These boys that r helping. pic.twitter.com/LvRRnfqcLI
Sat Apr 25 11:55:34 PDT 2015 --  Fan tap babies u niggas look good. I'm proud of u represent Santa Maria we been down for two long
Sat Apr 25 11:43:47 PDT 2015 --  I'm telling u I have some of the finest nephews in the world ladies if I show pics of they girls u guys wud say wtf gotta leave that alone
Sat Apr 25 10:36:34 PDT 2015 --  Hi good morning thank u rhianna that video was gangster that's me....i said state...."bitch better have my money" u think I'm playing state
Thu Apr 23 12:05:58 PDT 2015 --  Entertainment men who has swag snoop...kswiss...Chris Brown.....Rick Ross...men with swag go niggas
Tue Apr 21 16:37:27 PDT 2015 --  High it's me Chas saying high happy birthday day to gangster ppl show a Lot of love yesterday a
Tue Apr 21 15:03:06 PDT 2015 --  It happen boys u messed up lives wanted death for u don't want that now I am Pentecostal we have a church n prison n Jesus will help
Tue Apr 21 15:02:00 PDT 2015 --  It wasn't suppos d to go like this I saw the lost in one of his eyes n I'm afraid 4 him cuz he's looking at the other boy to make decisions
Tue Apr 21 15:01:05 PDT 2015 --  Hi the boys steal don't want to do a speed trail though they don't have a chose n yea catch feelings they did something horrible but
Sun Apr 19 17:44:16 PDT 2015 --  The United states was built up under one nation under God that's not what it is today think about it
Sun Apr 19 12:07:46 PDT 2015 --  Hi homies yes I'm nervous tomorrow's a big day. And my bday remember u guy promised u were going to behave in court. Terence is gone
Sat Apr 18 18:11:50 PDT 2015 --  Somebody wants me to get WiFi.....oh I'm gonna get WiFi but I don't remember my code I'm jus out here floating
Sat Apr 18 09:01:43 PDT 2015 --  @Cuca__Fres ca song good babe
Sat Apr 18 08:32:27 PDT 2015 --  Only Jesus can't get justice
Sat Apr 18 08:32:04 PDT 2015 --  Hi Benediction by August is a true story that really happen it happen to me two dead sdkuds cuz my parents choose have a bday n court
Fri Apr 17 13:14:51 PDT 2015 --  Wish I could go king babe
Fri Apr 17 13:13:08 PDT 2015 --  Yes he a Damn good man and he love kids
Fri Apr 17 09:58:53 PDT 2015 --  Chicago I love you guys and yes home girl via kyana nice #ChicagoSunTimes
Fri Apr 17 09:45:29 PDT 2015 --  Can I get some please king babe
Fri Apr 17 09:43:44 PDT 2015 --  Nice babe soon me
Fri Apr 17 09:41:26 PDT 2015 --  @Cuca__Fres That's work nice
Fri Apr 17 09:37:40 PDT 2015 --  That's really fuck nice king babe
Fri Apr 17 09:34:36 PDT 2015 --  @Cuca__Fresc Nice nice nice babe
Fri Apr 17 09:33:03 PDT 2015 --  Ok ok really really nice pictures king babe
Fri Apr 17 09:31:40 PDT 2015 --  Hi big babe and little babe
Fri Apr 17 09:29:49 PDT 2015 --  Really nice king babe
Fri Apr 17 08:38:16 PDT 2015 --  Hey chi town Damn my friend north London what's up ghettos
Thu Apr 16 15:13:15 PDT 2015 --  Santa Maria police .. remember when we didn't turn it. In
Thu Apr 16 15:10:52 PDT 2015 --  Mjb queen latifa y'all need to come help these fools got these babes out here having sex
Thu Apr 16 15:06:45 PDT 2015 --  Usher you are a ur nothing but a bitch n a women don't want ur sorry ass how u gonna get pusay now I forgot kimh
Thu Apr 16 15:06:45 PDT 2015 --  Santa Maria police department and probation say no to CRYSTAL METH please and fuck you and usher
Thu Apr 16 15:06:45 PDT 2015 --  Usher will fuck you girl wright Kim Kardashian
Thu Apr 16 14:54:17 PDT 2015 --  Fuck you Santa Maria police department and probation you guys kill kids
Thu Apr 16 14:48:19 PDT 2015 --  Santa Maria police .. haha lol I got your asses .. ent forget your snitch .. Anthony richeson lol
Thu Apr 16 14:38:09 PDT 2015 --  Jb f u nada smog is a actor n a rapper n hrs fine n all the girls wat himvgrll no
Thu Apr 16 14:36:27 PDT 2015 --  ***get its me again my dad destroy my life got to dead kids n I'm a nice drug dealer cuz I'm a good drug dealer
Thu Apr 16 14:14:44 PDT 2015 --  Smpd u don't takdkids n put them n the country jail there just turning them out fuck them
Thu Apr 16 14:04:22 PDT 2015 --  Nikia bitch u singing or rap .. you nothing but enterment .. which one are going to fuck next lol
Thu Apr 16 14:01:42 PDT 2015 --  You young rapper lil wayane fuck you get your bitch to put for shit on your on the carpet
Thu Apr 16 13:53:26 PDT 2015 --  Hey what's up Ya I'm on probation that's right n it's my fault cuz of my step father n Ya imma cold birch n I'll fuck n one up
Thu Apr 16 13:53:26 PDT 2015 --  Keyisha cole enough no love ... Sing keyish
Thu Apr 16 04:17:15 PDT 2015 --  I love you little girl stop fuck with me cool yes
Thu Apr 16 04:13:54 PDT 2015 --  Fuck you up little girl song the song for me Anna will fuck you up
Thu Apr 16 04:05:41 PDT 2015 --  Still waiting one TO fuck me no Anna please please NO ok babe
Thu Apr 16 04:00:53 PDT 2015 --  Fuck him up now do not fuck will kids
Thu Apr 16 03:28:14 PDT 2015 --  Hi again this is the time where I have to walk the st n find all the run always try n talk them n to turning them n where probation sleep
Thu Apr 16 02:40:25 PDT 2015 --  Babe run Santa Maria Police and I have money and a home you ain't got shut
Thu Apr 16 02:21:58 PDT 2015 --  Hi again for get something off my chest the 3 Were ag rd n the 6 were diff. It I Rasa. Drugdealer
Thu Apr 16 02:21:02 PDT 2015 --  806 3634120 me Oki
Thu Apr 16 02:21:02 PDT 2015 --  Two n the morning scared the Police ius going to kill u or the niggaaaa to stop saying meth u don't sleep n I'm in probation so can't leave
Wed Apr 15 23:27:49 PDT 2015 --  Xox look good
Wed Apr 15 18:59:09 PDT 2015 --  Runaway kids need love too there's a reason why they run then they get help and it's even worse from the state the life is even worse.
Tue Apr 14 20:59:37 PDT 2015 --  Scooby with them n Scooby was my st. Name from la b I turn 15 in la l co n out mean
Tue Apr 14 19:54:07 PDT 2015 --  @ Hi Babe babes and the girls said hi hi hi hi babe
Tue Apr 14 18:34:08 PDT 2015 --  Mr freeze plz drive careful to ur girls house
Tue Apr 14 12:05:12 PDT 2015 --  @Cuca__Fr esca look good babe really good love
Tue Apr 14 12:00:11 PDT 2015 --  @Cuca__Fresco. My birthday it comes soon
Tue Apr 14 11:21:26 PDT 2015 --  I am still caying
Mon Apr 13 12:45:57 PDT 2015 --  District attorney you took my king from me & my queen from me& now I'm lost can you please get me justice the men are after me cuz of you
Mon Apr 13 12:06:04 PDT 2015 --  District attorney you will pay me
Mon Apr 13 11:12:22 PDT 2015 --  Pay back it's a mother fuck
Mon Apr 13 11:10:27 PDT 2015 --  Hi good morning the district attorney I am caying now but fuck you are all fuck up
Sun Apr 12 13:43:07 PDT 2015 --  Yes Imma good person I will help anyone that hurt yes i believe n Jesus that's who my man is Jesus
