Sat Aug 29 01:14:28 PDT 2015 --  
Fri Aug 28 08:54:18 PDT 2015 --  K, I'm tired of my short hair now. Grow hair, grow!!
Sat Jan 10 14:30:17 PST 2015 --  This is the cutest thing i've ever seen pic.twitter.com/MXAoNeiU7y
Fri Jan 09 20:43:49 PST 2015 --  Then bitches be wondering what they did wrong. I only say all this because I did that shit too. Never again.
Fri Jan 09 20:37:21 PST 2015 --  Like what respectable woman comes over a person's, stranger really, house at this hour, not only that but you gotta sneak in.. lmao yea ok.
Fri Jan 09 20:35:16 PST 2015 --  Let me find out a bitch staying in my house..
Fri Jan 09 19:10:11 PST 2015 --  There are 3 men I'd marry in a heartbeat: Denzel Washington Jamie Foxx Marky Mark.. hubba hubba! lol
Fri Jan 09 17:52:50 PST 2015 --  " @NewsOfTheDead: Brand New Season 5 Trailer: Surviving together. #TheWalkingDead http://youtu.be/z6Ge6Op2mAk "
Fri Jan 09 17:46:10 PST 2015 --  Four Brothers is easily one of my top favorite movies!
Fri Jan 09 15:38:58 PST 2015 --  There are times when I'm sorry just isn't enough.
Fri Jan 09 16:09:02 PST 2015 --  Owee! I'm trying so hard to learn to think things through before speaking. Let me tell ya, this is tormenting for me...
Fri Jan 09 07:55:04 PST 2015 --  You know, I just love being ignored! It's the best thing ever -___-
Fri Jan 09 04:33:56 PST 2015 --  Claro no puedo dormir de noche pero q sueno me da a la hora de irme a trabajar vdd! :/
Fri Jan 09 02:37:12 PST 2015 --  To lay here and wait for my alarm to go off in 10mins while I've already been up for the past hour hurts my heart bad
Fri Jan 09 02:22:53 PST 2015 --  I'm just the idiot who believed you .. smh..
Thu Jan 08 20:28:53 PST 2015 --  " @FemalePains: This is me as a housewife. pic.twitter.com/1BJviw9LKo"
Thu Jan 08 19:18:22 PST 2015 --  Why is a side effect of my medication to make my skin worse. IT'S SUPPOSED TO MAKE IT BETTER -_______-
Thu Jan 08 08:17:09 PST 2015 --  I just met the most adorable babies! I can't wait to have my own
Thu Jan 08 05:35:16 PST 2015 --  The weekend is slow close, I can taste what it feels like to sleep in!
Wed Jan 07 19:59:11 PST 2015 --  I pray that everyone who doesn't have a home, finds a warm place to spend the night! Dallas is crazy cold tonight!
Wed Jan 07 19:24:21 PST 2015 --  Como que ya me voy a dormir, hace mucho sueno! Ya estoy viejita!
Wed Jan 07 13:07:38 PST 2015 --  If you're going to blow up my phone, you clearly see I'm not answering, do yourself a favor & leave a voice mail. Otherwise leave me alone!
Wed Jan 07 03:25:56 PST 2015 --  Too early. Need. More. Sleep.
Tue Jan 06 19:56:19 PST 2015 --  Mad Skillz - 2014 Wrap Up: http://youtu.be/3dhKEmYAUxg 
Tue Jan 06 19:50:14 PST 2015 --  Most nights I just want someone who will stay up all night with me and talk about life. This crazy scary, but hopeful life.
Tue Jan 06 19:45:27 PST 2015 --  " @GMA: Panda's first snowstorm? Panda's first snowstorm! WATCH: http://on.fb.me/1yxZ4Gr  pic.twitter.com/lJy65Gnxli" My hear? My heart!...
Tue Jan 06 16:43:37 PST 2015 --  My favorite emails are ones that let you know that your order has shipped.
Tue Jan 06 17:00:13 PST 2015 --  " @RelatableQuote: when your mascara is $23 there's no time for crying"
Tue Jan 06 12:53:28 PST 2015 --  When my boss talks about the future possibility of moving to Austin for work I swear my heart stops for a moment.
Mon Jan 05 20:28:46 PST 2015 --  There aren't enough hours in a day.. I'm exhausted and still have so much to do...
Mon Jan 05 11:32:09 PST 2015 --  34 Reading Resolutions For 2015 http://www.buzzfeed.com/jarrylee/reading-resolutions-for-2015 … pic.twitter.com/FQ3yBhZ8qb
Mon Jan 05 11:36:10 PST 2015 --  When you get all excited and then they just shoot you down... yea that
Mon Jan 05 04:04:44 PST 2015 --  Temperatures stay well below the seasonal average this week... pic.twitter.com/o4Pl6753zs
Sun Jan 04 21:00:01 PST 2015 --  After all these days off, I sure don't wanna go back to work tomorrow
Sun Jan 04 11:32:03 PST 2015 --  I am so happy my mom is home!
Fri Jan 02 22:35:31 PST 2015 --  Y'ALL I have been sick, laying in my bed watching #TheWalkingDeadMarathon for 3 DAYS! I have no regrets! #maybeone #oktwo lol
Fri Jan 02 17:49:53 PST 2015 --  I can smell clearly now my cold is gone... ..
Tue Dec 30 10:59:41 PST 2014 --  How about instead of being sick at work, I go home and watch #TheWalkingDeadMarathon in my warm bed and pj's Si? Si!
Tue Dec 30 10:48:04 PST 2014 --  8 Reasons Why You Should Marry The Complicated Guy http://elitedaily.com/dating/8-reasons-marry-complicated-guy/891587/ …
Sun Dec 28 20:19:12 PST 2014 --  Why couldn't I have gotten sick when I was off instead of now when I have to go back to work.. :(
Sun Dec 28 19:52:08 PST 2014 --  Jesus, how do you spell street wrong. S-t-r-e-a-t? #BreakingBadMarathon
Sun Dec 28 09:16:17 PST 2014 --  Who has a cold? Me
Fri Dec 26 20:41:02 PST 2014 --  Happy Birthday to me! #25sittingon25mil #notreally #iwish #shesmyperson #lilman #iloveyou! http://instagram.com/p/xGNw0EJUO0/ 
Fri Dec 26 06:04:48 PST 2014 --  I guess I'm the only one who's not happy about it being my birthday. Go away, let me sleep...
Thu Dec 25 10:20:06 PST 2014 --  I really hate that oomf is ignoring me... stop it, I need you..
Tue Dec 23 20:31:41 PST 2014 --  We accept the love we think we deserve.... #ThePerksOfBeingAWallflower
Tue Dec 23 12:18:49 PST 2014 --  Relationship goals or should I say sexting goals 17 Couples Whose Sexting Game Is On Point http://www.buzzfeed.com/hnigatu/couples-whose-sexting-game-is-on-point?utm_term=.xeJav9PZM …
Mon Dec 22 19:05:14 PST 2014 --  I could go on for days and still be misunderstood.. ugh
Mon Dec 22 18:48:44 PST 2014 --  15 Important Reminders For Everyone Going Through A Quarter-Life Crisis http://www.buzzfeed.com/laraparker/things-to-remind-yourself-during-your-quarter-life-crisis?utm_term=.nea9ywYZr …
Mon Dec 22 17:20:27 PST 2014 --  Mofos made me drive all the way to Arlington only to then decide they wanted to go to Cedar Hill
Mon Dec 22 07:35:38 PST 2014 --  Can I just go back home and sleep...
Mon Dec 22 07:33:39 PST 2014 --  So the network is down at work and we can't do anything without it
Mon Dec 22 04:01:23 PST 2014 --  You can either let your circumstances frustrate you or you can say, “This is where God has me, I have the grace to handle it.”
Sun Dec 21 17:20:11 PST 2014 --  Generous Woman Spends $20K To Pay Off All @ToysRUs Layaway Accounts: http://elitedai.ly/136gRXe 
Sun Dec 21 10:23:00 PST 2014 --  I always speak out of anger and without thinking things through. I let my feelings get the best of me..
Sat Dec 20 20:50:00 PST 2014 --  Whoever said alcohol wasn't the answer didn't understand the question... including myself
Sat Dec 20 13:05:01 PST 2014 --  You just a heartbreaker, won't let you break mine cause I'll be smashing windows and cutting them break lines..
Sat Dec 20 11:29:22 PST 2014 --  Last night, I hugged my dad for the first time in over 6 months, the hardest part was having to watch him leave again..
Fri Dec 19 20:39:15 PST 2014 --  Interesting. https://www.youtube.com/watch?v=QluZ-lhAMe0 … http://instagram.com/p/w0L_gDL8b2/ 
Fri Dec 19 19:48:23 PST 2014 --  Lord, please allow my parents to make it back home safely for the holidays.
Fri Dec 19 04:45:56 PST 2014 --  " @RebeccaJarvis: 17 million people expected to shop Christmas Eve. Will you be one of them?" NOPE!
Fri Dec 19 04:44:10 PST 2014 --  It's finally Friday!
Thu Dec 18 18:05:44 PST 2014 --  My hate for Walmart is real!
Thu Dec 18 16:05:33 PST 2014 --  You said you thought you was ready I said let's see, but I ain't mean that, I need some fucking proof...
Wed Dec 17 21:40:37 PST 2014 --  This #90dayfiance episode is ridiculous. It's 2014, accept interracial relationships!!
Wed Dec 17 19:10:20 PST 2014 --  Now I want to watch The Interview just because you're telling me I can't...
Wed Dec 17 16:24:16 PST 2014 --  Does everyone forget how to drive when it starts raining!?
Wed Dec 17 12:51:08 PST 2014 --  I love my job! No doubt about it!
Wed Dec 17 08:57:32 PST 2014 --  Lol this is exactly why I hardly do shit for ppl.. smh
Wed Dec 17 07:21:09 PST 2014 --  I feel a cold coming
Tue Dec 16 11:58:29 PST 2014 --  Can it be 9 o'clock already! #TheHobbitTheBattleofFiveArmies #OneLastTime
Tue Dec 16 10:55:31 PST 2014 --  17 Signs Your BFF Is Actually Your Soul Mate http://tcat.tc/1wUDQlS 
Tue Dec 16 05:32:27 PST 2014 --  "Cause what happens if I fall in love then you cut me loose." #iLied
Tue Dec 16 04:29:54 PST 2014 --  #PinkPrint
Mon Dec 15 20:46:28 PST 2014 --  pic.twitter.com/Wm8fOc7ux3
Mon Dec 15 17:53:16 PST 2014 --  Can the Fonz be my best friend please
Sun Dec 14 20:19:37 PST 2014 --  " @TheRealMikeEpps: I just seen a stripper and she said make rain I said I an't no cloud"
Sat Dec 13 21:02:20 PST 2014 --  I think about my lil bro leaving for college & it breaks my heart. I don't want the day to come. Now I know what he felt when I left.
Sat Dec 13 13:30:10 PST 2014 --  How to deal with depression properly: pic.twitter.com/zmtNtqruc5
Sat Dec 13 12:32:51 PST 2014 --  Beautifully written! An Open Letter To My Daughter's Stepmom http://wp.me/p2n97G-HJ 
Fri Dec 12 21:21:36 PST 2014 --  UNAGI!
Fri Dec 12 16:49:09 PST 2014 --  If you drive a corvette but live down the street from a crack house, your priorities fucked up. js..
Fri Dec 12 09:21:07 PST 2014 --  Damn you Old Navy and your awesome sales!
Thu Dec 11 12:01:00 PST 2014 --  Cant wait for this!!!! http://www.buzzfeed.com/alanwhite/the-new-trailer-for-pixars-inside-out-is-here-and-it-looks-m?bffbuk&s=mobile …
Thu Dec 11 11:56:38 PST 2014 --  WARNING: for the next month or so I will be freaking the fuck out and having a quarter of a century-life crisis...
Wed Dec 10 19:40:09 PST 2014 --  Woman starts non-profit to provide grief counseling to children at no cost to families: http://yhoo.it/1wgDrGY  pic.twitter.com/3htc3nZpD0
Wed Dec 10 19:44:45 PST 2014 --  Random thought of the night: @christinaperri you're so pretty!
Tue Dec 09 21:28:29 PST 2014 --  O Christmas tree , o Christmas tree your leaves are so unchanging...
Tue Dec 09 06:36:33 PST 2014 --  When your job is only 15mins away but it takes you an hour to get there because of traffic
Mon Dec 08 19:52:50 PST 2014 --  If there was one thing you did right by me, you taught me how to hate small talk... I miss our convos pic.twitter.com/gRnhxVdaoc
Mon Dec 08 18:03:26 PST 2014 --  "I crave a love so deep the ocean would be jealous" #realtalk
Mon Dec 08 10:53:28 PST 2014 --  It's really hard to stay mad at someone when they're trying to make up their faults. Like stop I'm trying to be mad at you...
Sun Dec 07 21:47:24 PST 2014 --  Ever see something so dumb, it literally hurts to watch. Smh lol
Sun Dec 07 13:55:56 PST 2014 --  I was already looking forward to it being 8pm so that I could watch TWD but then I remembered I have to wait til February!
Sat Dec 06 08:47:22 PST 2014 --  Football movies are the best! And so is Matthew McConaughey #WeAreMarshall
Fri Dec 05 18:56:01 PST 2014 --  I know I shouldn't be angry but I'm Latin, I can feel whatever I want
Thu Dec 04 20:23:17 PST 2014 --  Books really are better than movies
Thu Dec 04 15:04:24 PST 2014 --  When you can see someone is about to make a HUGE mistake but they're too blind to see it.... smh, I guess...
Wed Dec 03 18:44:30 PST 2014 --  Gym round 2... sure why not
Wed Dec 03 08:15:58 PST 2014 --  People who drop you off at home and wait until you actually get inside safely to drive off are the kinda people you need in your life
Wed Dec 03 06:07:13 PST 2014 --  " @runnersworld: How running helped these people lose 70+ pounds: http://bit.ly/1FMy8S8  #motivation pic.twitter.com/SpCtg5AJNE"
Tue Dec 02 21:34:56 PST 2014 --  Pretty much... http://www.buzzfeed.com/jobarrow/21-times-all-your-fears-about-growing-up-were-summed-up-perf?bffb&s=mobile …
Tue Dec 02 19:55:49 PST 2014 --  B-E-A-UTIFUL! " @HuffingtonPost: These wedding photos from Kenya are so full of color, life and love http://huff.to/1zgHhjM "
Tue Dec 02 19:46:52 PST 2014 --  A Walk to Remember is on!! Easily my second favorite movie after Pride & Prejudice
Tue Dec 02 19:26:02 PST 2014 --  WTF!!! this is why I don't trust phones or technology lmao
Tue Dec 02 16:24:54 PST 2014 --  It's just there's kinda already someone ... too bad he's an idiot
Tue Dec 02 16:21:22 PST 2014 --  I really am picky when it comes to men, poor dude doesn't even know what's coming his way lol. #pleasegoaway
Tue Dec 02 16:13:53 PST 2014 --  Please stop saying 'fabulous' I don't like that word...
Tue Dec 02 12:08:29 PST 2014 --  Check out the new video for our Christmas song, feat. @jimmykimmel http://youtu.be/6xZ3Ezl5-Lk 
Tue Dec 02 07:31:25 PST 2014 --  Man used Olive Garden Pasta Pass to feed homeless: "I understand now why people devote their lives to serving others" http://abcn.ws/1yc10mm 
Tue Dec 02 07:23:37 PST 2014 --  . @LanaDelRey announced her 2015 tour dates with special guest @Courtney Love http://blbrd.cm/nvAPKe  @isalazar06
Tue Dec 02 04:34:53 PST 2014 --  Hey @isalazar06 I miss your pretty face!
Tue Dec 02 04:31:57 PST 2014 --  Mumford & Sons
Mon Dec 01 16:28:14 PST 2014 --  It's so cold in my house, my nipples could cut glass
Mon Dec 01 05:47:35 PST 2014 --  Taking a leap of faith!
Sun Nov 30 19:10:31 PST 2014 --  I can't handle this. what. What. WHAT! MI corazon...
Sun Nov 30 19:01:17 PST 2014 --  and on that i say goodnight . love all of you . and my girl . x
Sun Nov 30 19:04:08 PST 2014 --  That last scene killed me, KILLED ME #TheWalkingDead
Sun Nov 30 19:00:50 PST 2014 --  Okay when Daryl came out, I lost it. #TWDFinale
Sun Nov 30 18:03:32 PST 2014 --  Walking Dead!!!!!
Sun Nov 30 13:42:44 PST 2014 --  My name is Paulina and I am Mexican.... Whats Happening in Mexico. Why we say #YaMeCanse: http://youtu.be/iCH-8PyzztQ 
Sun Nov 30 11:53:38 PST 2014 --  Bored outta my mind!
Sat Nov 29 17:29:33 PST 2014 --  Loving my Note 4!
Fri Nov 28 11:57:21 PST 2014 --  Went to the gym to burn off some of the MANY calories I consumed yesterday only to come home and stuff my face with left overs lol
Tue Nov 25 16:22:28 PST 2014 --  Im really weird when it comes to lending books, Id rather buy you a copy before I lend you mine lol yes @alondra0930 this tweet is about you
Tue Nov 25 15:53:37 PST 2014 --  I love meeting people who inspire you! Just their outlook on life and how passionate they are...Its amazing! I aspire to be like that!
Tue Nov 25 15:51:44 PST 2014 --  I find it strange that the ice cream truck passes by my street at this time when its already dark out..i dont trust that ice cream truck lol
Mon Nov 24 20:12:09 PST 2014 --  There's no mood a good workout with a great friend, can't fix. :)
Sun Nov 23 10:36:54 PST 2014 --  I know happiness is a choice & a state of mind, we decide that, but it really is hard to be happy when you feel your world is falling apart
Sat Nov 22 21:16:02 PST 2014 --  At least now when ppl ask me about you I don't break into a puddle of tears...
Sat Nov 22 16:30:32 PST 2014 --  Hope. It's the only thing stronger than fear. #iHQ
Sat Nov 22 16:30:10 PST 2014 --  pic.twitter.com/8muGge0OjQ
Sat Nov 22 16:16:35 PST 2014 --  I'm so rude and suck at flirting, it's no wonder I'm single lmao. Oh well.
Sat Nov 22 13:44:28 PST 2014 --  Why are ppl STILL SO surprised and butthurt over what/who Eminem raps about. C'mon ppl he's ALWAYS been like this. It's just Em being Em....
Thu Nov 20 10:53:16 PST 2014 --  At this point I think she just wants me to get with anyone and give her grandchildren #iaintreadyforallthat
Thu Nov 20 10:51:58 PST 2014 --  Getting hit on in front of my mom is def the most awkward thing ever lol.
Wed Nov 19 08:08:51 PST 2014 --  Same shit dIfferent day...
Tue Nov 18 21:56:05 PST 2014 --  And a little Kacey Musgraves to end my night! #theslutsong
Tue Nov 18 21:54:33 PST 2014 --  Why you gotta act so funny... lol...typical...
Mon Nov 17 03:36:18 PST 2014 --  Another day...
Sun Nov 16 18:28:57 PST 2014 --  Finally pulled out my onesie from the bottom of my drawer! Love this weather!!!
Sun Nov 16 18:04:01 PST 2014 --  I all I want is nothing more than to hear you knocking on my door...
Sat Nov 15 13:55:10 PST 2014 --  On occasions I miss you and I wish we could talk and laugh like we used to... you are missed...
Fri Nov 14 16:41:06 PST 2014 --  I really dislike when ppl try to tell me what I should or shouldn't feel, bitch fuck you...you don't see me telling you shit..
Fri Nov 14 15:12:08 PST 2014 --  It's Friday and its after 5pm!
Fri Nov 14 04:10:37 PST 2014 --  I'm ready for it to be 5pm!
Thu Nov 13 16:24:02 PST 2014 --  Idk if it's sweet or creepy that you memorized my weekly schedule
Wed Nov 12 18:10:38 PST 2014 --  YES! I love Christmas time! pic.twitter.com/thYyot64UY
Wed Nov 12 16:37:01 PST 2014 --  I'm rooting for complicated, colorful love! " @ThoughtCatalog: I'm Sorry For Staring At You, Interracial Couple http://tcat.tc/1xmEJRd "
Wed Nov 12 16:30:58 PST 2014 --  Saw you there and I thought: Omg look at that face, you look like my next mistake, love's a game, wanna play? #1989
Wed Nov 12 16:18:16 PST 2014 --  I love college because people can cry or sleep anywhere they want and everyone just kind of understands
Wed Nov 12 11:32:16 PST 2014 --  #Capricorn's have small intimate circles of friends. Large groups of friends bring drama which is a Capricorn no no.
Tue Nov 11 20:11:06 PST 2014 --  I still love him and he's still the best!!! http://www.dailydot.com/entertainment/eminem-lana-del-rey-punch-azealia-banks-rap/ …
Tue Nov 11 17:10:50 PST 2014 --  Fucking HILARIOUS! This Is How You Respond To An Unsolicited Dick Pic http://www.buzzfeed.com/rachelzarrell/hot-cheeto-with-the-powder-licked-off …
Tue Nov 11 16:37:19 PST 2014 --  "A soldier does not fight because he hates what's in front of him. He fights because he loves what he… http://instagram.com/p/vR6GXGpUNF/ 
Tue Nov 11 16:09:23 PST 2014 --  I feel so grown up bringing dinner home for my family. I think I'm beginning to like this adult thing :)
Tue Nov 11 03:11:20 PST 2014 --  A big thank you to the men and women who serve our country. #Iamup #veteransday
Mon Nov 10 21:14:14 PST 2014 --  Why must everything make me cry! Get it together Medrano!!!
Mon Nov 10 21:12:31 PST 2014 --  Es true..." @TexasHumor: When all else fails, drop what you're doin' and get Queso."
Mon Nov 10 15:37:53 PST 2014 --  Dear random dude behind me in traffic jamming to his music like there's no tomorrow... THANK YOU, you made my entire day!
Mon Nov 10 03:22:34 PST 2014 --  I need a vacation to recover from my vacation! It's back to the real world, I guess
Sat Nov 08 05:49:56 PST 2014 --  The 3 Words Every Sexual Assault Survivor Needs to Hear http://huff.to/1sRukaT  via @HuffPostWomen
Wed Nov 05 20:40:07 PST 2014 --  I need a drink, a man and a massage. But I'll settle for a drunken massage by a man.
Wed Nov 05 20:39:18 PST 2014 --  Tomorrow night, I'll be falling asleep and most likely in love, in New York City!
Wed Nov 05 17:03:34 PST 2014 --  I am so tired of all of this shit!
Wed Nov 05 15:18:14 PST 2014 --  There are certain terms of endearment I just can't stand. Please don't call me that
Wed Nov 05 03:28:16 PST 2014 --  All I want is you, so what you trying to do.
Wed Nov 05 03:05:12 PST 2014 --  Happy Wednesday. pic.twitter.com/U4yFNpgWAZ
Wed Nov 05 03:19:38 PST 2014 --  " @funnyortruth: pic.twitter.com/Ajs3rAdQ3D"
Wed Nov 05 03:17:06 PST 2014 --  Aspire to Greatness and Stop Making Excuses.
Tue Nov 04 18:22:54 PST 2014 --  Boy I tell ya my man is gonna be one blessed mofo lol #gettinright
Tue Nov 04 15:33:40 PST 2014 --  I'm not a perfect driver but why does everyone start driving 20mph JUST because it's raining!? #ihateyouall
Tue Nov 04 04:00:44 PST 2014 --  Most days I wish I had the guts to shave my head so I wouldn't have to worry about having to do my hair
Tue Nov 04 03:13:26 PST 2014 --  
Mon Nov 03 19:17:24 PST 2014 --  I honestly feel like I've been put through some tough shit the past couple of years. All I can do is keep my head up!
Mon Nov 03 09:34:31 PST 2014 --  " @dallasnews: . @TaylorSwift13 announces October 2015 tour stop at @ATTStadium http://d-news.co/DKkES  pic.twitter.com/RR0CxFaj3L" @isalazar06
Mon Nov 03 08:28:01 PST 2014 --  Monday I need you to be over.
Mon Nov 03 08:22:26 PST 2014 --  Getting a good morning txt doesn't really mean much if it's not coming from the person that most matters..
Sun Nov 02 18:46:05 PST 2014 --  Dear @AMC_TV and @DIRECTV, Stop being greedy and renew your partnership. Sincerely, A nervous @WalkingDead_AMC fan #keepAMC
Sun Nov 02 19:59:34 PST 2014 --  All I know is if @DIRECTV doesn't renew its contract with AMC I will def be changing providers! #KeepAMC
Sun Nov 02 19:46:00 PST 2014 --  AMC Might Not Be Available On DirecTV Much Longer http://www.buzzfeed.com/emilyorley/amc-might-not-be-available-on-directtv-much-longer … via @emilyorley pic.twitter.com/G8JScMym1Q
Sun Nov 02 16:54:34 PST 2014 --  I thought I lost sight of what I wanted for my life, I thought I was done chasing my dreams. I give up & was going to settle, but I refuse!
Sun Nov 02 14:57:37 PST 2014 --  When you find a really cute skirt but it doesn't zip b/c you have a big butt & going up a size will make it less flattering #bigbuttproblems
Sun Nov 02 12:23:51 PST 2014 --  My cravings just went from chocolate chip cookies to cheese... wtf
Sat Nov 01 22:00:12 PDT 2014 --  Yes, yes it is! Goodnight! pic.twitter.com/LBVjEMi2dv
Sat Nov 01 09:51:10 PDT 2014 --  The Girl You Loved Is Gone http://tcat.tc/1pbua3i  pic.twitter.com/MA8n7ZXTtL
Sat Nov 01 10:00:06 PDT 2014 --  Music never dies . Happy #DayOfTheDead pic.twitter.com/7I4nwQySa4
Fri Oct 31 18:37:11 PDT 2014 --  I can no longer feel my legs, face or fingers. When did winter start? I really shouldn't've wore a dress...
Fri Oct 31 17:53:07 PDT 2014 --  Little bro was so happy to see me show up right on time to walk him down the field! So proud of you! #seniornight #AdamsonHS #icantfeelmyass
Fri Oct 31 15:12:46 PDT 2014 --  If I drive a "man-lier" vehicle than you, I'm not taking you seriously...
Fri Oct 31 02:52:00 PDT 2014 --  Too. Early.
Thu Oct 30 17:34:48 PDT 2014 --  It's only 19:30 and I'm all ready for bed
Thu Oct 30 08:20:04 PDT 2014 --  Forget About Feelings, Real Love Is A Deliberate Choice http://huff.to/1shfDgP  via @huffpostwedding
Thu Oct 30 05:20:44 PDT 2014 --  Official countdown begins today! ONE WEEK until we'll be roaming the streets of NYC! @isalazar06
Thu Oct 30 05:19:15 PDT 2014 --  I am loving these chilly mornings!!
Thu Oct 30 03:35:48 PDT 2014 --  Times - Tenth Avenue North: http://youtu.be/xQWDz6slq_k 
Wed Oct 29 20:05:37 PDT 2014 --  Do not become what they want you to be, remain true to what you want to become. - Lita
Wed Oct 29 20:08:42 PDT 2014 --  You say I'm crazy, cause you don't think I know what you've done. But when you call me baby, I know I'm not the only one...
Wed Oct 29 16:45:39 PDT 2014 --  WELCOME BACK JJ!!!! http://www.mavs.com/mavs-bring-back-guard-j-j-barea/ …
Tue Oct 28 21:53:30 PDT 2014 --  I really enjoy reading the comments on YouTube videos. People are hilarious and rude and oh so very mean.
Tue Oct 28 21:52:11 PDT 2014 --  Got that stupid 'No Type' song stuck in my head now. Great....
Tue Oct 28 15:41:51 PDT 2014 --  girls like this are the real MVP pic.twitter.com/N4EVHKxiX9
Tue Oct 28 08:37:46 PDT 2014 --  Leaving a job no matter how shitty it's been is always bitter sweet for me. I'll def miss some of my co-workers!
Tue Oct 28 05:47:30 PDT 2014 --  Everyday is a constant battle between my brain telling me it won't, can't work and my heart telling me it will.. :/
Mon Oct 27 21:58:10 PDT 2014 --  Yep. I'm in love with Ed Sheeran! ...Thinking Out Loud [Official Video]: http://youtu.be/lp-EO5I60KA 
Mon Oct 27 06:11:18 PDT 2014 --  can i just not monday.
Sun Oct 26 21:49:48 PDT 2014 --  " @BuzzFeed:We Need To Acknowledge Pink Starbursts Are The Best Starbursts http://bzfd.it/1tx28Pj  pic.twitter.com/YIcfqSyYCV" No . RED!
Sun Oct 26 21:45:33 PDT 2014 --  Tears people. TEARS! pic.twitter.com/RUg9Fy99bq
Sun Oct 26 21:33:02 PDT 2014 --  Hope u guys liked that episode. Everyone was so good tonight. Goodnight everyone
Sun Oct 26 19:53:19 PDT 2014 --  I'm seriously in love with a fictional character!! I need a Marshall Erikson in my life!!
Sun Oct 26 19:51:34 PDT 2014 --  && watching all this HIMYM makes me realize just how much I love Marshall Erikson and wish I could meet someone like him! He's the bestest!
Sun Oct 26 19:48:59 PDT 2014 --  I know I'm SUPER late and I already know how it ends but I just have 4 episodes left on the series finale of HIMYM!
Sun Oct 26 19:04:40 PDT 2014 --  Daryl you sexy beast!! I'm glad you're back!!
Sun Oct 26 18:43:36 PDT 2014 --  Rick’s a man of his word. #TheWalkingDead pic.twitter.com/lSNimqaQPG
Sun Oct 26 18:47:10 PDT 2014 --  " @WalkingDead_AMC: Were Rick's actions justified? Find out what @Slash thinks. #TheWalkingDead #StorySync http://bit.ly/1uRusIS " YUP!!!
Sun Oct 26 18:46:21 PDT 2014 --  I mean I wanted Gareth dead too but damn...
Sun Oct 26 18:13:27 PDT 2014 --  Shit is about to get real
Sun Oct 26 17:36:35 PDT 2014 --  I'm so annoyed!
Sun Oct 26 09:27:39 PDT 2014 --  SO many feels!!
Sat Oct 25 18:33:38 PDT 2014 --  "Between Two Ferns" With Brad Pitt http://www.buzzfeed.com/whitneyjefferson/between-two-ferns-with-brad-pitt …
Fri Oct 24 15:15:26 PDT 2014 --  Who volunteered to work all weekend long and immediately regretted it!? #ineedsleep #butineedmoneymore
Thu Oct 23 19:57:42 PDT 2014 --  I run so that no one will ever be able to tell me I can't or that I'm not built for running. Also,… http://instagram.com/p/uhPD4cpUKk/ 
Wed Oct 22 20:55:36 PDT 2014 --  WHO'S GOING TO SEE @BoyceAvenue!?
Tue Oct 21 13:22:03 PDT 2014 --  The highlight of my day was turning in my resignation. On to bigger and better things. Thank you Lord Jesus!!
Tue Oct 21 13:19:45 PDT 2014 --  Don't tell him all your secrets, he'll leave you with a broken heart. run... </3 Nicole Scherzinger: Run (Audio): http://listenonrepeat.com/watch/?v=oHRMS7awZsM#Nicole_Scherzinger_-_Run_(Audio …)
Tue Oct 21 08:47:42 PDT 2014 --  How Marvel Killed Off Wolverine http://abcnews.go.com/Entertainment/marvel-kills-off-men-great-wolverine/story?id=26221352 …
Mon Oct 20 21:44:20 PDT 2014 --  Why Chivalry Is Dead, From A Man’s Perspective http://elitedaily.com/dating/sex/why-chivalry-is-dead-from-a-mans-perspective/ …
Mon Oct 20 14:00:16 PDT 2014 --  When people ask me why I get mad so much pic.twitter.com/LZPzfxvwQk
Sun Oct 19 19:12:07 PDT 2014 --  I'm really disappointed they didn't put Bob's leg in the in memoriam part of the talking dead #bobbq
Sun Oct 19 19:50:24 PDT 2014 --  Everyone's afraid of zombies but no one is afraid of a good ole staph infection. Lol #Badger #TheTalkingDead
Sun Oct 19 19:06:24 PDT 2014 --  See Tyrese it's your fault Bob's leg is missing! #BobBQ #TheTalkingDead
Sun Oct 19 19:03:30 PDT 2014 --  What in the actual FUCK just happened! OMG! #BobBQ
Sun Oct 19 18:10:54 PDT 2014 --  My brothers have now broken our weekly tradition of watching #TheWalkingDead together TWICE! This is unacceptable...
Sun Oct 19 18:01:01 PDT 2014 --  GET TO YOUR TV'S, #TheWalkingDead IS ON! pic.twitter.com/Y7UrfIj3vi
Sat Oct 18 05:50:35 PDT 2014 --  Was feeling grumpy this morning b/c I had to be up so early on a Sat morn but then a lady at the store told me I have beautiful hair
Fri Oct 17 20:44:44 PDT 2014 --  Fuck relationship goals some of you mfs need education goals.
Fri Oct 17 20:49:19 PDT 2014 --  Thank you, Yo Mama jokes... #ThankYouNoteFriday #FallonTonight pic.twitter.com/q5egdPk7UX
Fri Oct 17 05:09:04 PDT 2014 --  17 Signs You’re Actually Becoming An Adult http://bzfd.it/1ubuuLs 
Thu Oct 16 14:04:49 PDT 2014 --  Men in uniform make me weak in the knees
Wed Oct 15 18:04:41 PDT 2014 --  Feeling super pumped after my workout!
Tue Oct 14 21:21:29 PDT 2014 --  To The Girl Who's Afraid To Love Again http://tcat.tc/11l0mWT 
Tue Oct 14 19:07:37 PDT 2014 --  I like you a lot but you're so far away.
