Tue Aug 25 09:23:41 PDT 2015 --  Hj é dia de @masterchefbr #Ansioso #GOGOGOChefs
Sat Mar 02 17:19:50 PST 2013 --  Aulas começando . . . Sei q ja estamos em março mas parece q meu ano começou agora.... Agora minha lista de... http://fb.me/1Ayofu302 
Wed Feb 27 11:17:00 PST 2013 --  I just became the mayor of Teatro Maria Pajé on @foursquare! http://4sq.com/ZxrLOR 
Tue Feb 26 04:52:58 PST 2013 --  I just ousted @biiancamonteiro as the mayor of Orla sj on @foursquare! http://4sq.com/xTjVOR 
Mon Feb 25 12:16:39 PST 2013 --  I just became the mayor of Quarto do Vitor on @foursquare! http://4sq.com/VXICxo 
Mon Feb 25 12:15:15 PST 2013 --  I just ousted @biiancamonteiro as the mayor of Praça principal de s.j. de pirabas on @foursquare! http://4sq.com/vLLDoZ 
Sat Feb 23 13:14:55 PST 2013 --  kkkkk.... Muito ingraçada essa. http://fb.me/2eQpeqQOl 
Sat Feb 23 13:09:16 PST 2013 --  I just reached Level 2 of the "Swimmies" badge on @foursquare. I’ve checked in at 5 different water spots! http://4sq.com/WibGu1 
Sat Feb 23 03:59:26 PST 2013 --  I just ousted @danibioquimica as the mayor of São João De Pirabas on @foursquare! http://4sq.com/qOgxM3 
Fri Feb 22 13:37:15 PST 2013 --  I just became the mayor of Tia Socorro's House on @foursquare! http://4sq.com/U2PyYT 
Wed Feb 20 09:38:13 PST 2013 --  I just unlocked the "Overshare" badge on @foursquare! http://4sq.com/11Vomi3 
Wed Feb 20 06:40:58 PST 2013 --  I just unlocked the "Explorer" badge on @foursquare for checking in to twenty-five different places! http://4sq.com/Y9R3BM 
Tue Feb 19 08:58:58 PST 2013 --  I just unlocked the “Mall Rat” badge on @foursquare for checking in at malls! Time for a fancy pretzel. http://4sq.com/XmNGG8 
Mon Feb 18 08:01:09 PST 2013 --  I just unlocked the "Super User" badge on @foursquare for checking in thirty times in a month! http://4sq.com/Yik10a 
Sat Feb 16 17:27:12 PST 2013 --  Hoje o bbb13 ta muito bom... kkkkkkkkkkkkkkkkkkkkk Coitadinhos dos brothers...
Sat Feb 16 11:09:16 PST 2013 --  I just unlocked the "Swarm" badge on @foursquare! http://4sq.com/YnFsPa 
Sat Feb 16 03:24:38 PST 2013 --  I just unlocked the "Local" badge on @foursquare for checking in three times at the same place in one week! http://4sq.com/12Q3JyI 
Sat Feb 16 03:15:22 PST 2013 --  http://fb.me/yQBttajD 
Fri Feb 15 05:27:01 PST 2013 --  http://fb.me/y4qR5IKl 
Thu Feb 14 15:46:19 PST 2013 --  I posted a new photo to Facebook http://fb.me/2KOhpjH9O 
Tue Feb 12 17:24:20 PST 2013 --  http://fb.me/tRdwwjv6 
Tue Feb 12 17:20:00 PST 2013 --  http://fb.me/2eMhdZ21q 
Mon Feb 11 07:24:21 PST 2013 --  " Toda a vida e uma questão de tempo e nunca e tarde para recomeçar"
Fri Feb 08 10:41:23 PST 2013 --  Pra chegar na casa da tia Ellem Lima http://fb.me/26gvU2PQE 
Fri Feb 08 09:52:46 PST 2013 --  I got 451,032 points while escaping from demon monkeys. Beat that! http://bit.ly/TempleRunOnAndroid … #TempleRun
Thu Feb 07 12:00:15 PST 2013 --  I posted a new photo to Facebook http://fb.me/2revuj0N1 
Thu Feb 07 11:20:25 PST 2013 --  http://fb.me/Xe1dD8uE 
Thu Feb 07 10:44:11 PST 2013 --  http://fb.me/1izSCPLhR 
Thu Feb 07 07:13:24 PST 2013 --  E ainda tenho... kkkk http://fb.me/2LUb7wqfE 
Thu Feb 07 05:30:22 PST 2013 --  Aguardando a chegada da minha querida tia ellem* .... aiiiiiiii tia vem logooooo eu quero a senhora aqui.. ;-)
Wed Feb 06 18:37:00 PST 2013 --  Nossa esse novo Cd do Rosa de Saron ta muitoooooo Bom* ( gooood) Obs: ñ consigo parar de escultar.... *______*... http://fb.me/1pfZj12fb 
Wed Feb 06 17:59:04 PST 2013 --  Euuuu* E quem mais??? http://fb.me/2gPCHNwJ6 
Wed Feb 06 17:50:12 PST 2013 --  Salinas U.u *_________* http://fb.me/2cw5cdYvo 
Wed Feb 06 13:52:45 PST 2013 --  I posted a new photo to Facebook http://fb.me/Bfz1Vkaa 
Wed Feb 06 05:36:39 PST 2013 --  Eu e Minha Prima linda* Gielly Lima ... S2 S2 S2 http://fb.me/IjPjue7x 
Tue Feb 05 17:20:09 PST 2013 --  Dia 05 de fevereiro do ano de dois mil e treze, encontrando-me no pleno gozo das minhas faculdades mentais, eu,... http://fb.me/2drbL9EY4 
Tue Feb 05 08:31:06 PST 2013 --  I posted a new photo to Facebook http://fb.me/15Ho7t3WW 
Tue Feb 05 07:15:38 PST 2013 --  http://ow.ly/i/1trSR 
Fri Feb 01 03:53:41 PST 2013 --  Bom diaaaaaa..... Status: Muito feliz a final não é todo dia que se faz 15 years... aos que lembraram do meu... http://fb.me/EoCYcSJ9 
Wed Jan 23 04:05:04 PST 2013 --  http://fb.me/UgZIYcxI 
Tue Jan 22 05:52:19 PST 2013 --  http://fb.me/1R7JqjEBm 
Tue Jan 22 05:48:47 PST 2013 --  http://fb.me/1Q1gVvEtg 
Mon Jan 21 10:44:03 PST 2013 --  http://fb.me/tMPLvDdZ 
Mon Jan 21 09:58:29 PST 2013 --  http://fb.me/1u3N4f88l 
Mon Jan 21 09:54:08 PST 2013 --  http://fb.me/2nbV13r8v 
Sun Jan 20 09:15:06 PST 2013 --  http://fb.me/ybtvcEb9 
Fri Jan 18 05:08:44 PST 2013 --  Eu queroooooo.. ( um pikachu!!!) ^_^ http://fb.me/xDXlkX66 
Thu Jan 17 06:07:15 PST 2013 --  Isso ê pra vc Gielly... http://fb.me/21hHHtGwP 
Wed Jan 16 09:31:14 PST 2013 --  Oq a matemática me ensino??? Hummmm deixa eu verrrr.... AH sim!!! Ela ensino que se as coisas estão... http://fb.me/2a59CKlwR 
Wed Jan 16 04:38:53 PST 2013 --  Ê Bemmmmm eu!!! http://fb.me/1sbUymxFJ 
Tue Jan 15 09:18:43 PST 2013 --  Eu tenho... http://fb.me/1snjJsGRj 
Mon Jan 14 06:44:55 PST 2013 --  Gente alguem sabe aonde vende acetato de sódio ??? Tava atraz pra min fazer uma experiencia...
Mon Jan 14 06:05:35 PST 2013 --  http://fb.me/2oR6hOGbM 
Mon Jan 14 05:50:12 PST 2013 --  Vdd!!!! http://fb.me/2gA8CrODS 
Sun Jan 13 14:11:12 PST 2013 --  Estou vivendo ...... http://fb.me/2nAMDzyM1 
Sun Jan 13 11:30:29 PST 2013 --  http://fb.me/2xU6r9D6R 
Sat Jan 12 07:21:17 PST 2013 --  Iai gente quem vcs acham que vai vencer o BBB13' = ???? OBs: Eu queria muito que ALINE ganhasse!!!
Thu Jan 10 07:23:03 PST 2013 --  http://fb.me/1MOApa7ya 
Tue Jan 08 15:00:40 PST 2013 --  Gente as matriculas vão começar dia 10 de fevereiro e se agente quizer agente pode ficar na mesma sala mas tem que... http://fb.me/IdiOSpAl 
Mon Jan 07 08:55:55 PST 2013 --  WhatsApp :: Download http://fb.me/1s5fKJX8M 
Sat Jan 05 12:08:37 PST 2013 --  Alguem tem noticias da Queila Nascimento a mamãe queria saber se ela ta bem, se foi tudo bem e etc...
Mon Dec 31 15:43:25 PST 2012 --  O melhor sistema de todos! http://fb.me/1vqWMKswi 
Mon Dec 31 15:12:44 PST 2012 --  Para familia e Amigos: Feliz Ano Novo a todos que o ano que está por vir seja abençoado por Deus que seja... http://fb.me/2cadtN8Bm 
Mon Dec 31 07:24:29 PST 2012 --  Eu quero mãeeeee. http://fb.me/1sOH4nDEN 
Mon Dec 31 07:09:49 PST 2012 --  http://fb.me/1R8KCY5Hf 
Sun Dec 30 17:02:21 PST 2012 --  Saindo aqui gente o sono tá brigando com o facebook... OBS: Acho que já venceu... rsrsrs Boa noite a todos
Sun Dec 30 12:08:27 PST 2012 --  Meu irmao skatista... :-) http://fb.me/yfwjJYVO 
Sat Dec 29 08:46:36 PST 2012 --  No cinema assistindo Hobbit http://fb.me/1reuWwxvA 
Fri Dec 28 16:04:16 PST 2012 --  http://fb.me/1qEdE01gB 
Thu Dec 27 18:02:29 PST 2012 --  http://fb.me/2DDTDmX52 
Thu Dec 27 17:22:23 PST 2012 --  http://fb.me/1FpdKWnlK 
Thu Dec 27 12:12:26 PST 2012 --  http://fb.me/PR3GmYNv 
Thu Dec 27 05:32:16 PST 2012 --  http://fb.me/2v0p8TEc4 
Thu Dec 27 05:24:34 PST 2012 --  http://fb.me/21sP1CZJx 
Wed Dec 26 16:09:54 PST 2012 --  http://fb.me/Sj3akS3n 
Wed Dec 26 06:08:01 PST 2012 --  http://fb.me/1TLcw94Mk 
Wed Dec 26 06:07:48 PST 2012 --  http://fb.me/1Wqi9AI8W 
Wed Dec 26 06:04:46 PST 2012 --  http://fb.me/2xQYBY5hG 
Wed Dec 26 04:11:42 PST 2012 --  http://fb.me/2cSxhCbkY 
Tue Dec 25 18:32:20 PST 2012 --  Pensei em vc prima Gielly Lima. http://fb.me/25FWWiL4S 
Tue Dec 25 13:26:07 PST 2012 --  http://fb.me/1QQSg5E77 
Tue Dec 25 13:25:50 PST 2012 --  http://fb.me/vvBY91HX 
Mon Dec 24 19:50:23 PST 2012 --  http://fb.me/1tL9cNaa4 
Mon Dec 24 15:31:10 PST 2012 --  Desejo feliz natal a todos... http://fb.me/vl3rWTB2 
Mon Dec 24 06:35:33 PST 2012 --  http://fb.me/2bYPGbKOp 
Mon Dec 24 03:35:15 PST 2012 --  Danilo Leal http://fb.me/1FPIu2xUH 
Mon Dec 24 03:29:01 PST 2012 --  http://fb.me/AcJV2ejX 
Mon Dec 24 03:26:46 PST 2012 --  http://fb.me/2l9AUIDmo 
Mon Dec 24 03:07:13 PST 2012 --  Finalmente chegou a vespera de natal.... Fazendo os preparativos pra a ceia....
Sun Dec 23 17:43:09 PST 2012 --  http://fb.me/29unW87TA 
Sun Dec 23 15:56:39 PST 2012 --  http://fb.me/1WnKQnVsV 
Sun Dec 23 15:51:43 PST 2012 --  http://fb.me/1oOgJzYcQ 
Sun Dec 23 09:21:11 PST 2012 --  http://fb.me/1O7Kuw4lw 
Sun Dec 23 09:05:50 PST 2012 --  Aff ninguem merece faser compras no dia anterior a vespera de natal... http://fb.me/1e8h45zlU 
Sun Dec 23 06:00:38 PST 2012 --  Anciozo pra chegar logo o natal.....
Sat Dec 22 03:24:21 PST 2012 --  http://fb.me/2mxuHAPGC 
Fri Dec 21 07:25:10 PST 2012 --  http://fb.me/1ODV3ZUTG 
Fri Dec 21 03:27:38 PST 2012 --  Parece que o mundo nao vai acabar.... Coisa besta de se pensar... quem decide se o mundo vai acabar e Deus nao... http://fb.me/14wn46YXo 
Thu Dec 20 13:49:19 PST 2012 --  Engraçado... por que ninguem ta pedindo pra sexta chegar rapido.... Será que é por que amanha e dia 21... rsrsrs
Thu Dec 20 05:59:07 PST 2012 --  http://fb.me/2sFoMdXLQ 
Thu Dec 20 05:46:34 PST 2012 --  Minha prima comendo seu jantar... minhão minhão delicious... http://fb.me/1Zasy1mam 
Thu Dec 20 04:20:05 PST 2012 --  Como é bom passar o dia na picina pra relachar... http://fb.me/YfCkfOSL 
Wed Dec 19 11:59:21 PST 2012 --  Tia Ellem... Faz pra gente.... http://fb.me/CFcjJsfy 
Wed Dec 19 11:46:34 PST 2012 --  Como é bom rever a familia... Status: eu aqui curtindo muito as minhas primas lindas!!! http://fb.me/2w4dGzU02 
Wed Dec 19 09:14:08 PST 2012 --  Tia eline chegou, a saudade acabou... e agora é só alegria.... bom dia a todos..
Wed Dec 19 09:11:49 PST 2012 --  Finalmentente... A minha querida tia eline chegou... currindo muito ela... bjs a todos.
Mon Dec 17 16:51:35 PST 2012 --  Gente estava tranguilo no shoping com minha tia ellem lima.... Quando derrepente um homen pega um migrofone e... http://fb.me/2sEFjiPqd 
Mon Dec 17 16:08:25 PST 2012 --  Sempre é bom pra variar passar uma tarde com pessoas que vc gosta... http://fb.me/wXZQM3RK 
Mon Dec 17 05:34:56 PST 2012 --  Eu e minha prima nos divertindo muito.... Na casa da tia eline... *____* http://fb.me/2a8j7tEHq 
Sat Dec 15 01:05:56 PST 2012 --  http://fb.me/OxzH3LgN 
Fri Dec 14 10:41:43 PST 2012 --  I posted a new photo to Facebook http://fb.me/24CgSGG7e 
Fri Dec 14 09:31:25 PST 2012 --  Que saudade da minha sala lokinha...... ;) http://fb.me/O19dLFE2 
Fri Dec 14 04:36:03 PST 2012 --  Bommmmm diaaaaaa.... ;) http://fb.me/1Pm6Zcx8Y 
Thu Dec 13 09:54:06 PST 2012 --  I posted a new photo to Facebook http://fb.me/1lAflhShS 
Thu Dec 13 05:40:42 PST 2012 --  I posted a new photo to Facebook http://fb.me/1J2I3kviW 
Wed Dec 12 11:20:19 PST 2012 --  Anciozo para que chegue logo!!! http://fb.me/28Ud83eoN 
Wed Dec 12 11:15:41 PST 2012 --  Aproveitaaando o meu novo celular!!! ;-)
Wed Dec 12 09:55:24 PST 2012 --  E verdade http://fb.me/2qL5N0XNl 
Tue Dec 11 16:59:36 PST 2012 --  http://fb.me/BZ366F08 
Tue Dec 11 16:57:54 PST 2012 --  http://fb.me/1nQbOTeFz 
Tue Dec 11 16:51:18 PST 2012 --  http://fb.me/1ZCKRQ5zj 
Tue Dec 11 16:50:23 PST 2012 --  http://fb.me/1Z64SckQt 
Tue Dec 11 15:00:48 PST 2012 --  http://fb.me/vAtVibzZ 
Tue Dec 11 14:56:38 PST 2012 --  Chegando de um dia cansativo te escola... Daqui apouco vou cair duro na cama... Mas sempre tem um tempinho pra... http://fb.me/2cdB8Jc3A 
Mon Dec 10 11:40:47 PST 2012 --  http://fb.me/1IpTCqyYr 
Mon Dec 10 11:36:57 PST 2012 --  http://fb.me/1pWfnc7It 
Mon Dec 10 05:11:37 PST 2012 --  Status: Triste pos ñ vou poder ir pra belem na data prevista... E eu acho que ñ vai dar muito tempo pra min curti... http://fb.me/X1LjN2dy 
Sun Dec 09 10:52:30 PST 2012 --  ÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉÉ A Liah Passouuuuuuuuuuuuuuuuuuuuuuuuuuuuuu... :)))))))))))))))))))))))))))))))))
Sun Dec 09 10:34:57 PST 2012 --  Carlinhos Brow arrazando... No The Voice Brasil!!!
Sun Dec 09 10:30:53 PST 2012 --  Eeeeeeeeeeee começou o The Voice Brasil :)))))))))))))))
Sun Dec 09 10:23:25 PST 2012 --  http://fb.me/2az6lUivv 
Sun Dec 09 10:21:12 PST 2012 --  http://fb.me/1p90tZJPx 
Sun Dec 09 10:17:35 PST 2012 --  Sempre acontece!!! http://fb.me/N1z3ZijJ 
Sun Dec 09 10:14:26 PST 2012 --  http://fb.me/1NzfZ5feq 
Sun Dec 09 08:51:42 PST 2012 --  Aguardando acioso o inicio do The Voice Brasil...
Sun Dec 09 08:21:24 PST 2012 --  http://fb.me/2jiGicWFV 
Sat Dec 08 10:25:15 PST 2012 --  As veses até falo... http://fb.me/1LlPbQKn7 
Sat Dec 08 10:20:23 PST 2012 --  http://fb.me/1KTr9Rs4k 
Thu Dec 06 13:58:02 PST 2012 --  Gente saindo Aqui** OBS: muitas coisas pra fazer... Até Amanhã... ;)
Thu Dec 06 11:48:14 PST 2012 --  http://fb.me/1Jw4Ge4AT 
Thu Dec 06 09:24:01 PST 2012 --  kkkkkkkkkkkkkkkkkkkkkkkkkkk http://fb.me/BCjCDS1g 
Thu Dec 06 09:22:06 PST 2012 --  Tá certo né Danilo,... [:)] http://fb.me/19JlTa5mD 
Thu Dec 06 09:15:13 PST 2012 --  http://fb.me/22LFqMXLS 
Thu Dec 06 09:11:33 PST 2012 --  Maroon5-Tickets... Essa musica é muito boa!!!
Thu Dec 06 08:50:37 PST 2012 --  http://fb.me/1OQByc5X9 
Thu Dec 06 08:50:22 PST 2012 --  http://fb.me/1Mu5L9x5H 
Thu Dec 06 08:49:56 PST 2012 --  Sempre acontece comigo e com o Thiago. http://fb.me/2onp24AFj 
Thu Dec 06 08:49:20 PST 2012 --  http://fb.me/2aav64A95 
Thu Dec 06 08:48:55 PST 2012 --  http://fb.me/1lCG8V812 
Thu Dec 06 08:48:22 PST 2012 --  http://fb.me/1ZlgUpX8N 
Thu Dec 06 08:47:35 PST 2012 --  http://fb.me/DuXOBfgw 
Thu Dec 06 08:29:26 PST 2012 --  Minha trilha sonora no momento: Luan Santana-e vivo, Maroon 5- Payphone.. Entre outras...
Thu Dec 06 08:23:29 PST 2012 --  http://fb.me/12i7Z3v6A 
Wed Dec 05 11:41:39 PST 2012 --  ATENTION!!! Contagem regreciva para começar malhação...
Wed Dec 05 11:37:40 PST 2012 --  Status: Louco pra acabar as provas e ir logo pra belém iniciar a comemoração do natal ne tia Ellem, ;-)
Wed Dec 05 11:35:15 PST 2012 --  http://fb.me/1jGAZE4Xi 
Wed Dec 05 07:59:34 PST 2012 --  Vdd.. Com toda certeza... http://fb.me/YzdVBeVS 
Wed Dec 05 07:52:46 PST 2012 --  http://fb.me/PjdHvLc4 
Tue Dec 04 16:34:02 PST 2012 --  Pegua bem veito.... :)))))))))))))))) Tava merecido... http://fb.me/vr540J8F 
Tue Dec 04 16:25:22 PST 2012 --  Contagem regreciva para sair do face... 100 99 98 97 ..... .....
Tue Dec 04 16:22:11 PST 2012 --  Galera do face acabei de entar só pra me despedir... boaaa** noite***... Para todos... :)))))))))))))))))))))))
Tue Dec 04 16:19:14 PST 2012 --  http://fb.me/2gBXYNJrv 
Tue Dec 04 16:18:45 PST 2012 --  http://fb.me/1ZoPbQ1On 
Tue Dec 04 11:47:11 PST 2012 --  http://fb.me/1IbXb3m1x 
Tue Dec 04 08:47:15 PST 2012 --  http://fb.me/1mSaYRc4M 
Mon Dec 03 15:31:32 PST 2012 --  http://fb.me/1YZ1R4LKo 
Mon Dec 03 15:27:08 PST 2012 --  http://fb.me/2mJWhyXDC 
Mon Dec 03 15:25:19 PST 2012 --  http://fb.me/2iPbxzRla 
Mon Dec 03 15:11:27 PST 2012 --  E finalmente agente descobre que a mensagem e de alguma operadora!!!! Odeio isso.. kkkk ;) http://fb.me/2lwaDa2MC 
Mon Dec 03 15:04:38 PST 2012 --  http://fb.me/2za29WF3v 
Mon Dec 03 15:00:14 PST 2012 --  Mããããeeeeeeee Elane, quero um desses... :( http://fb.me/1ppvf3U5k 
Mon Dec 03 14:58:27 PST 2012 --  http://fb.me/2mPW4nHUi 
Mon Dec 03 14:52:00 PST 2012 --  Com o preço da farinha nas aturas olha só oque acoontece!!! http://fb.me/1pFxGQwgG 
Mon Dec 03 14:46:12 PST 2012 --  Estilo james bond... http://fb.me/1qFq3UmUH 
Mon Dec 03 07:31:41 PST 2012 --  -------------- ____00000000000_________0000000 ___0000000000000______00000000000... http://fb.me/1kqTRezhC 
Mon Dec 03 07:29:15 PST 2012 --  http://fb.me/xAVHS5TW 
Mon Dec 03 07:27:55 PST 2012 --  http://fb.me/PIX3fYrV 
Mon Dec 03 07:24:04 PST 2012 --  http://fb.me/14let0r8s 
Mon Dec 03 07:22:14 PST 2012 --  http://fb.me/2yEsKB6bB 
Sun Dec 02 12:46:42 PST 2012 --  http://fb.me/2bQoeWY8V 
Sun Dec 02 07:00:53 PST 2012 --  http://fb.me/2e8rYz4aJ 
Sun Dec 02 05:31:22 PST 2012 --  Bom dia facessss!!!! Já estou acordado a muito tempo mas pra mim o dia começou agora... :) :D
Sat Dec 01 12:01:16 PST 2012 --  To afim de ir.. Quem vai ??? Tenho certeza que muitas revelações acontecerão.... http://fb.me/X80VsivK 
Sat Dec 01 08:52:29 PST 2012 --  http://fb.me/2m1a5WEis 
Sat Dec 01 08:51:11 PST 2012 --  http://fb.me/CVuQBA5K 
Sat Dec 01 08:50:27 PST 2012 --  Vdd http://fb.me/MnOudX95 
Thu Nov 29 15:13:42 PST 2012 --  http://fb.me/AYlVpK99 
Thu Nov 29 13:43:12 PST 2012 --  Sempre acontece!!!! http://fb.me/1Mnq3mkEf 
Thu Nov 29 08:33:32 PST 2012 --  http://fb.me/1n2v5Xo2O 
Thu Nov 29 08:14:35 PST 2012 --  11111111111111¶1111111¶¶¶¶¶¶¶¶111111¶¶1111111 1111111111111¶111¶¶¶¶¶¶¶¶¶¶¶¶¶111¶¶¶1¶¶111111... http://fb.me/2efQT2gcE 
Thu Nov 29 08:11:42 PST 2012 --  Momentos que a gente ñ pode deixar passar em branco... São esses momentos que fazem a vida!!! http://fb.me/21ayGACos 
Thu Nov 29 08:00:46 PST 2012 --  Tem dias que agente acorda e ñ consegue sorrir poste nossa boca está fechada pelos motivos que todo mundo prefere... http://fb.me/1rrPv67EQ 
Thu Nov 29 07:55:33 PST 2012 --  Tem dias que agente acorda e ñ consegue sorrir poste nossa boca está feichada pelos motivos que todo mundo pre... http://fb.me/AFtZQFGg 
Thu Nov 29 07:39:03 PST 2012 --  Essa a mamãe(Elane) Vai adorar... http://fb.me/RyIvZ2lq 
Wed Nov 28 12:39:24 PST 2012 --  http://fb.me/222odnfST 
Wed Nov 28 12:24:25 PST 2012 --  http://fb.me/1L5JwEerU 
Wed Nov 28 12:19:09 PST 2012 --  http://fb.me/1wMTIMPaO 
Wed Nov 28 10:23:58 PST 2012 --  http://fb.me/21n4t71pg 
Mon Nov 26 14:34:25 PST 2012 --  http://fb.me/1wvj8Nxgp 
Mon Nov 26 13:49:26 PST 2012 --  Um tablet da Aple... http://fb.me/2aoUGQets 
Mon Nov 26 13:46:30 PST 2012 --  http://fb.me/214Mlxk8B 
Mon Nov 26 13:38:30 PST 2012 --  http://fb.me/1nBtnOoD6 
Thu Nov 22 11:02:58 PST 2012 --  http://fb.me/1ZW0gSW8v 
Thu Nov 22 06:03:16 PST 2012 --  http://fb.me/DFCeHbDg 
Mon Nov 19 03:11:03 PST 2012 --  http://fb.me/uJQrDeMm 
Sat Nov 17 09:51:50 PST 2012 --  http://fb.me/2xsV4pEzF 
Sat Nov 17 09:45:23 PST 2012 --  http://fb.me/2iI6HF9ag 
Sat Nov 17 09:44:47 PST 2012 --  http://fb.me/298yNbySL 
Sat Nov 17 09:44:35 PST 2012 --  http://fb.me/1luQC3NH8 
Sat Nov 17 09:10:46 PST 2012 --  Mãeeeeeee eu queroooooooo http://fb.me/2hoACRL6J 
Sat Nov 17 05:06:44 PST 2012 --  Matheus né Cassia.... rsrsrsrs http://fb.me/T9BHEmP8 
Fri Nov 16 16:04:22 PST 2012 --  Pra aqueles que acreditam em fantasmas. http://fb.me/2Gff0jtJa 
Fri Nov 16 04:11:22 PST 2012 --  Gente onten estava paseando com minha tia e assistir a uma cena chocante: um policial achou um suspeito de roubo... http://fb.me/2h4rSSWBk 
Thu Nov 15 08:04:10 PST 2012 --  http://fb.me/vECdyWnx 
Thu Nov 15 08:04:02 PST 2012 --  http://fb.me/1M1Ff5xHN 
Thu Nov 15 08:03:40 PST 2012 --  Aconteceu hoje..... -_- http://fb.me/1xLmREsBJ 
Thu Nov 15 07:48:10 PST 2012 --  http://fb.me/28ElV6lgM 
Thu Nov 15 07:47:43 PST 2012 --  http://fb.me/Mv5Y39Ip 
Thu Nov 15 07:47:22 PST 2012 --  http://fb.me/1YbNQt4UT 
Thu Nov 15 07:45:45 PST 2012 --  Isso resolve muita coisa!!! http://fb.me/29HHEANAN 
Wed Nov 14 17:35:53 PST 2012 --  http://fb.me/2hFol0MjZ 
Wed Nov 14 17:34:35 PST 2012 --  http://fb.me/18Cas8Yhz 
Wed Nov 14 17:33:11 PST 2012 --  Caraca eu estava nessa mesma posição. http://fb.me/1GMbezHFS 
Wed Nov 14 17:24:32 PST 2012 --  http://fb.me/1hYNeFtJZ 
Wed Nov 14 17:21:43 PST 2012 --  E eu doido pra assistir AMANHECER PART 2...... http://fb.me/Obt7MEI5 
Sun Nov 11 08:49:54 PST 2012 --  http://fb.me/2wZ2JZdwc 
Thu Nov 01 12:42:50 PDT 2012 --  http://fb.me/1jiccdzN6 
Thu Nov 01 09:21:16 PDT 2012 --  http://fb.me/1jEB4RKpe 
Sun Oct 28 09:11:13 PDT 2012 --  http://fb.me/1K8LEs00P 
Thu Oct 18 10:47:11 PDT 2012 --  http://fb.me/1H1GfdVfo 
Thu Oct 18 09:14:36 PDT 2012 --  http://fb.me/1J5TpyHKz 
Thu Oct 18 09:14:17 PDT 2012 --  http://fb.me/2bzxgsdgm 
Thu Oct 18 09:13:30 PDT 2012 --  http://fb.me/yNQUe5H2 
Thu Oct 18 09:12:46 PDT 2012 --  http://fb.me/1CPHXqYmG 
Sun Sep 23 11:18:16 PDT 2012 --  Claudia Leitte chorou porque percebeu que não tem essa voz. #TheVoiceBrasil
Sun Sep 23 11:17:36 PDT 2012 --  Que relogio é esse!!!!. #TheVoiceBrasil
Sun Sep 23 11:16:20 PDT 2012 --  Ollha a cover da Nicki Minaj. #TheVoiceBrasil.
Sun Sep 23 11:13:50 PDT 2012 --  Esse programa é 1.000 vezes melhor que o Rau Gil e Idolos. #TheVoiceBrasil
Sun Sep 23 11:11:31 PDT 2012 --  Só a globo mesmo pra faser essas coisa. #TheVoiceBrasil
Sun Sep 23 11:09:06 PDT 2012 --  Incrivel. #TheVoiceBrasil
Sun Sep 23 11:04:56 PDT 2012 --  A interpretação dele poderia melhorar. #TheVoiceBrasil
Sun Sep 23 11:02:06 PDT 2012 --  Incrivel como o nosso Brasil tem talentos incriveis , #TheVoiceBrasil
Sat Sep 22 11:54:08 PDT 2012 --  Mensagem da Oi drogra... http://fb.me/1bxlRMEhl 
Sat Sep 22 11:52:58 PDT 2012 --  http://fb.me/12ItyA3wL 
Sat Sep 22 10:19:59 PDT 2012 --  Fiz essa cara ontem!!! http://fb.me/1EmAB6lkA 
Sat Sep 22 10:19:16 PDT 2012 --  http://fb.me/E8v5oFlx 
Sat Sep 22 10:14:20 PDT 2012 --  http://fb.me/9s35VXHtb 
Fri Sep 21 13:42:53 PDT 2012 --  http://fb.me/1fEErwoVN 
Fri Sep 21 13:41:02 PDT 2012 --  http://fb.me/wqYFLRam 
Fri Sep 21 13:40:55 PDT 2012 --  http://fb.me/1DsMe5pec 
Fri Sep 21 13:37:48 PDT 2012 --  http://fb.me/RNhJcxVy 
Fri Sep 21 13:37:37 PDT 2012 --  http://fb.me/1BgSacTyv 
Mon Sep 10 04:30:10 PDT 2012 --  http://fb.me/1Sm7zbKGw 
Sun Sep 02 12:54:35 PDT 2012 --  ATENÇÃO fãns de Avenida Brasil olhem só oque eu consegui faser!!! http://fb.me/28Gx7S9UX 
Sun Sep 02 12:49:35 PDT 2012 --  Ou dançando o treme treme... rsrsrs http://fb.me/2bSdgM5CN 
Sun Sep 02 12:06:15 PDT 2012 --  http://fb.me/tdLRNDKm 
Sun Sep 02 12:04:01 PDT 2012 --  Incrivel!!!!!!!!!! http://fb.me/1cJfdkEIU 
Sun Sep 02 11:36:36 PDT 2012 --  UUUUAAAAAHuUUUU http://fb.me/1x67eiJGB 
Sun Sep 02 11:35:41 PDT 2012 --  http://fb.me/1ApTsHIA1 
Sun Sep 02 11:31:40 PDT 2012 --  http://fb.me/urlOIwEj 
Sun Sep 02 11:29:58 PDT 2012 --  http://fb.me/11nSErQlZ 
Sun Sep 02 10:43:09 PDT 2012 --  My newest dog: Romeo http://fb.me/BvMosMYp 
Fri Aug 31 11:52:52 PDT 2012 --  http://fb.me/T1X5M4Gd 
Fri Aug 31 11:52:23 PDT 2012 --  http://fb.me/1Oelq7amC 
Fri Aug 31 11:52:04 PDT 2012 --  http://fb.me/1zh7xwKXn 
Fri Aug 31 11:47:01 PDT 2012 --  http://fb.me/VhH1yAsF 
