Fri Aug 14 06:19:22 PDT 2015 --  నేనింతా ఒక పిడికెడు మట్టే కావచ్చు కాని కలమెత్తితే ఒక దేశపు జండా కున్నంత పొగరుంది."- శేషంద్ర
Sun Sep 09 06:39:03 PDT 2012 --  Roger Federer looked bright and sunny in yellow! 294 RF weeks at no. 1 :Week # 51 photo: pic.twitter.com/s2IYB4pN
Sun Sep 09 06:36:58 PDT 2012 --  http://yfrog.com/mglbrrp 
Sun Sep 09 06:34:39 PDT 2012 --  Filet-O-Fish was brought out by McDonald's in 1962 because their Catholic customers did not have meat on Fridays.
Sun Sep 09 06:32:36 PDT 2012 --  Around the world, about 9 billion condoms are used in the duration of just one year!
Sun Sep 09 06:32:22 PDT 2012 --  The feeling often described as 'love' is due to chemical reactions inside your brain, and has nothing to do with your heart!
Sun Sep 09 06:20:29 PDT 2012 --  Within the first three months of the release of Viagra in 1998, the company making it had made over $411 million in profits!
Sun Sep 09 06:05:41 PDT 2012 --  I only wanna be with one person. I don't have the energy to maintain multiple relationships. I want to focus on & satisfy one individual.
Sun Sep 09 06:05:24 PDT 2012 --  I'm mature enough to forgive you, but not dumb enough to trust you again
Sun Sep 09 04:32:08 PDT 2012 --  I want someone who knows how completely insane I am, but wouldn't want me any other way.
Sun Sep 09 04:31:53 PDT 2012 --  Waking up for school :(-_-) .. Waking up on a weekend: \( 'o' )/
Sun Sep 09 04:31:28 PDT 2012 --  Fake friends would ask you if you were ok if you fell. Real friends would trip you again.
Sun Sep 09 04:29:56 PDT 2012 --  We cannot learn without pain.
Sun Sep 09 04:29:23 PDT 2012 --  Sometimes we are broken and we don't know why.
Sat Sep 08 23:52:26 PDT 2012 --  More than 70% of all apologies are meaningless.
Sat Sep 08 19:33:49 PDT 2012 --  U, R, 2, 6, C, I, 1, 2, 4, Q. Retweet if you get.
Sat Sep 08 23:49:44 PDT 2012 --  The year on a bottle of wine indicates when the grapes were picked, not when the wine itself was bottled
Sat Sep 08 23:49:07 PDT 2012 --  Don't text me while I'm texting you, now I have to change my text
Sat Sep 08 23:47:23 PDT 2012 --  I live for two reasons. (1) I was born. (2) I haven't died yet.
Sat Sep 08 23:47:08 PDT 2012 --  Fact about me: I eat too much but never gets fat.
Sat Sep 08 11:21:24 PDT 2012 --  My last tweet >>>>
Sat Sep 08 10:36:47 PDT 2012 --  At least 6 million lives have been saved by Bill Gates as he has given away more than $28 billion in charity since 2007.
Sat Sep 08 10:36:01 PDT 2012 --  Abraham Lincoln, the 16th President of the US, taught himself how to read and write as he only attended school for less than even a year!
Sat Sep 08 10:32:47 PDT 2012 --  Blueberries are actually purple, and there is no food that is naturally blue in color!
Sat Sep 08 10:31:58 PDT 2012 --  "It's okay" and "I'm fine" are the two most common lies spoken in the world!
Sat Sep 08 10:27:02 PDT 2012 --  Adolf Hitler was named 'Man of the Year' by Time magazine in the year 1938!
Sat Sep 08 10:22:39 PDT 2012 --  In 1967, the IMAX film system was invented by Canadian Ivan Grame Ferguson to premier at Expo 67
Sat Sep 08 09:47:50 PDT 2012 --  When you listen to a song that you enjoy, your brain releases a feel-good chemical called dopamine, which is also responsible for addiction.
Sat Sep 08 09:43:11 PDT 2012 --  Happy moment, I praise God. Difficult moment, I seek God. Painful moment, I trust God. Every moment, I THANK GOD.
Sat Sep 08 09:42:41 PDT 2012 --  To cut off one's penis is referred to as to "bobbitt", named after a man called John Wayne Bobbitt, who had his penis cut off by his wife!
Sat Sep 08 06:49:00 PDT 2012 --  Kallis still playing T20 and we r wondering why sachin still playing Test cricket
Sat Sep 08 06:51:52 PDT 2012 --  http://yfrog.com/h78w4qyj 
Sat Sep 08 06:43:29 PDT 2012 --  A "condom ambulance" is a vehicle in Stockholm, Sweden that delivers a 10-pack of condoms right to your doorstep when called upon!
Sat Sep 08 06:37:17 PDT 2012 --  There is always one person who thinks you are perfect, even if you don't feel that way.
Sat Sep 08 06:36:43 PDT 2012 --  That one friend who doesn't have a facebook
Sat Sep 08 06:36:06 PDT 2012 --  It costs about 3 cents to make a $1 bill in the United States
Sat Sep 08 06:33:21 PDT 2012 --  5 Rules of happiness : 1. Don't Hate 2. Don't Worry 3. Give More 4. Expect Less 5. Live Simply
Sat Sep 08 03:24:15 PDT 2012 --  Once you hate someone, everything they do is offensive. "Ewww look at her, eating those crackers like she owns the place!"
Sat Sep 08 03:23:54 PDT 2012 --  If couples who are in love are called "love birds", then couples who always argue should be called "angry birds"
Sat Sep 08 03:21:21 PDT 2012 --  M̸o̸n̸d̸a̸y̸ T̸u̸e̸s̸d̸a̸y̸ W̸e̸d̸n̸e̸s̸d̸a̸y̸ T̸h̸u̸r̸s̸d̸a̸y̸ Friday Saturday Sunday
Sat Sep 08 03:19:01 PDT 2012 --  x² + y +8 [(x + 2y ² = a-z] + 2x ³ + (- 2z = 2. 4) + 10y - 5Z ³= k= 9. x...Yeah, I can definitely see how this is gonna help me in life.
Fri Sep 07 22:29:57 PDT 2012 --  People say "Bless you" when you sneeze because when you sneeze, your heart stops for a millisecond.'
Fri Sep 07 22:29:38 PDT 2012 --  I'd rather have 1 Best Friend than have 10000000000000000 fake friends.
Fri Sep 07 09:03:37 PDT 2012 --  "A girl doesn't need anyone who doesn't need her." - Marilyn Monroe
Fri Sep 07 06:15:57 PDT 2012 --  Dear best friends, always remember that when you fall, I'll pick you up. But just AFTER I finish laughing.
Fri Sep 07 06:15:00 PDT 2012 --  Hated by many, wanted by plenty. Disliked by some, but confronted by none.
Fri Sep 07 06:14:30 PDT 2012 --  Every time I lose my phone... its always on either silent or vibrate. how convenient...
Fri Sep 07 06:13:59 PDT 2012 --  In Finland, the term "MegaPussi" is written on many brands of potato chips, as in the Finnish language it means 'mega bag'!
Fri Sep 07 06:13:36 PDT 2012 --  It's crazy how you can go months or years without talking to someone but they still cross your mind everyday.
Thu Sep 06 10:24:08 PDT 2012 --  When your teacher gives a 30 minute speech about not wasting time.
Thu Sep 06 09:30:48 PDT 2012 --  Dead by the age of 80, a man named Michael Tolotos was rumored never to have seen a woman in his whole life, and he wasn't blind!
Thu Sep 06 09:30:09 PDT 2012 --  A5 Processor for Apple's iPhone and iPad is actually manufactured by Samsung.
Thu Sep 06 09:28:59 PDT 2012 --  Twitter is basically just you having a conversation with yourself hoping that someone else will join in.
Thu Sep 06 09:28:30 PDT 2012 --  I'm so bored of being bored because being bored is really boring.
Thu Sep 06 06:53:59 PDT 2012 --  When an ant dies it gives a special odor to indicate to other ants that it is dead an then taken to a graveyard.
Thu Sep 06 06:46:06 PDT 2012 --  The woman who invented the phrase "All men are the same" was a chinese woman who lost her husband :P
Thu Sep 06 06:45:40 PDT 2012 --  It's not that I don't believe you… I'm just 100% sure you're full of shit.
Thu Sep 06 06:44:11 PDT 2012 --  Cats don't meow to communicate with other cats. They meow to communicate with humans.
Thu Sep 06 06:43:18 PDT 2012 --  The largest amount of text messages sent in one month by one person was 182,689.
Thu Sep 06 06:42:56 PDT 2012 --  Only 1 child out of 20 are born on the day predicted by the doctor.
Thu Sep 06 06:42:38 PDT 2012 --  A homing pigeon was given a medal for saving 200 US soldiers by delivering a message even after being shot during the WW1.
Thu Sep 06 05:16:44 PDT 2012 --  4xy+5x+-2b = b²-5x "Fuck this shit, I'll work at McDonalds"
Wed Sep 05 09:57:18 PDT 2012 --  Famous rapper Eminem has been falsely reported dead over 5 times, out of which four were apparently car crashes and one was a drug overdose
Wed Sep 05 09:55:05 PDT 2012 --  1 liter bottle of Mountain Dew packs 32 cubes of sugar and 40% more caffeine than Coke.
Tue Sep 04 18:21:36 PDT 2012 --  Only Smart People Will Get This: 2+2= Fish, 3+3= Eight, 7+7= Triangle, 4+4 = Arrow, 8+8 = Butterfly. Retweet if you get it!
Wed Sep 05 06:21:48 PDT 2012 --  Only 2 e-mails were sent by Bill Clinton during the course of his 8 year presidency of America.
Wed Sep 05 06:21:15 PDT 2012 --  "Justin Bieber - Baby ft. Ludacris" has more than 750 million views on YouTube, and more people have 'disliked' the video than 'liked' it!
Wed Sep 05 06:21:00 PDT 2012 --  A male Olympian use on average 15 condoms during his stay at olympic village for 15 days.
Wed Sep 05 06:20:08 PDT 2012 --  In the 1904 Olympics, a guy named Eyser, had participated with a wooden leg and won 6 Gold Medals.
Tue Sep 04 09:09:16 PDT 2012 --  Due to poor personal hygiene and because he smelled bad, Steve Jobs was transferred to the night shift at the time he worked at Atari!
Tue Sep 04 09:04:37 PDT 2012 --  Sitting in a class and thinking, how did this teacher get the job?
Tue Sep 04 08:52:33 PDT 2012 --  Exit Twitter, close laptop, get into bed, unlock phone, check Twitter
Tue Sep 04 08:49:54 PDT 2012 --  The most intimate relationship I have in life is with my iPhone.
Tue Sep 04 06:21:18 PDT 2012 --  The original Cinderella was Egyptian and instead of glass slippers she wore fur.
Tue Sep 04 08:42:28 PDT 2012 --  About one third of girls living in America get pregnant before even turning 20!
Tue Sep 04 08:40:47 PDT 2012 --  A boy spent $50 on EBay for a penis enlarger. Those bastards sent a magnifying glass.
Tue Sep 04 08:39:17 PDT 2012 --  There are 43,252,003,274,489,856,000 possible combinations for a standard ( 3x3x3 ) Rubik's cube!
Tue Sep 04 08:13:08 PDT 2012 --  Tear is made of 1% water and 99% feelings.
Mon Sep 03 07:21:05 PDT 2012 --  A 28 year old avid Starcraft player in South Korea died of a heart attack after playing 50 hours long gaming session without breaks.
Mon Sep 03 07:16:03 PDT 2012 --  The brain has a special ability to distinguish cheaters from non cheaters by studying the personality and subtle visual cues of their face.
Sun Sep 02 07:49:58 PDT 2012 --  When you're happy, you enjoy the music. But when you're sad, you understand the lyrics...
Sun Sep 02 07:48:42 PDT 2012 --  You can actually use Vodka as your hair conditioner.
Sun Sep 02 07:44:07 PDT 2012 --  The honey we eat is easy to digest because a bee has already digested it before 'producing' the honey that we have!
Sun Sep 02 07:43:24 PDT 2012 --  In Malaysia the ad of Toyota Altis featuring Brad Pitt was banned because the good looks of the actor made the public feel inferior.
Fri Aug 31 06:08:33 PDT 2012 --  Being natural is the antidote for ego.
Fri Aug 31 08:20:39 PDT 2012 --  OK, I'm getting out of bed in 10 seconds. 1,2,3,4,5,6,7,8,9,9,9,9,9,9, ....
Fri Aug 31 06:31:47 PDT 2012 --  My mom thinks I'm the only kid who spends all day on the internet. Little does she know, all of you exist.
Thu Aug 30 00:20:11 PDT 2012 --  "Hey" , "Hey" , "How r u" , " Good u" , "Good", "What r u doing", "nothing u" , "nothing", Retweet if you hate these convos.
Wed Aug 29 08:06:53 PDT 2012 --  I wonder if women in China complain that all guys are the same.
Tue Aug 28 08:04:40 PDT 2012 --  Once upon a time, 3 witches wished 3 wishes but which witch knows which witch wished which wish?
Tue Aug 28 07:58:26 PDT 2012 --  Retweet if you think they should burry Neil Armstrong on the moon!
Tue Aug 28 06:16:37 PDT 2012 --  Today's Generation: (status update) – "OMG my parents never let me have anything.” sent via iPad2
Tue Aug 28 06:10:46 PDT 2012 --  My Talents: speed texting, procrastination, and sarcasm.
Tue Aug 28 06:03:00 PDT 2012 --  Future computers will run on DNA.
Tue Aug 28 06:02:50 PDT 2012 --  You are honestly the weirdest fucking person I know... and that's why we are meant for each other.
Sun Aug 26 11:13:53 PDT 2012 --  I love it when I buy a bag of air, and the company is nice enough to put chips in it...
Sun Aug 26 08:30:36 PDT 2012 --  Men have one extra gene which is responsible for aggression when stressed.
Sun Aug 26 08:28:43 PDT 2012 --  We live in the "WTF" generation. [W]ikipedia [T]witter [F]acebook
Sun Aug 26 03:15:16 PDT 2012 --  congrats India won the U-19 world cup!
Sun Aug 26 02:12:29 PDT 2012 --  School vs. life? In school, you're taught a lesson and then given a test. In life, you're given a test that teaches you a lesson.
Sun Aug 26 02:11:38 PDT 2012 --  Some people are Real. Some people are Good. Some people are Fake. Some people are' Real Good At being Fake' - Drake
Sat Aug 25 22:09:05 PDT 2012 --  Whoever said nothing is impossible... Never tried to staple water to a tree.
Sat Aug 25 10:39:54 PDT 2012 --  Alcohol doesn't kill brain cells, it just causes them to grow slower
Sat Aug 25 09:08:43 PDT 2012 --  Apple now has more cash on hand than the U.S. government.
Sat Aug 25 05:44:30 PDT 2012 --  Worrying is a waste of time. It does not change anything. It messes with your mind and steals your happiness.
Thu Aug 23 07:12:26 PDT 2012 --  I don't think it's possible to forget someone who gave you so much to remember...
