Mon Jul 13 15:09:20 PDT 2015 --  الله اكبر!! نبشركم باسلام بريطانية عبر حملة #مكة_لايف قبل قليل عبر مركزكم .. شكراً لتفاعلكم ..
Wed Jan 02 20:15:26 PST 2013 --  هـذه اللــقطـة لــن يـتذكرهــا إلا الجــيل الذهـبـي من الطيبين ههههههههههههه pic.twitter.com/TiWoBQLJ
Thu Jan 03 10:03:15 PST 2013 --  قمة الورطه!!؟ يجيك ضيف في البيت ويطلب مويه وترسل أخوك الصغير و يجيب المويه بكاس جبنة المراعي :لا يآحيوان هذي اسرار البيت ههههههههههههههههه
Thu Jan 03 10:02:00 PST 2013 --  لَم يَعرفُوني جَيداً فَ تَكلمُوا عَني فَ ظَلمُوني فَ مَحوّ ذُنوبي فَ لمَاذا احّزنْ .*
Thu Jan 03 10:00:58 PST 2013 --  لحـد يهـتمَ ولآ إحـد يـزعـل خـلوهآ علـي إللـه وكـلهإ إيـآمَ #ونـموت !"
Fri Dec 21 18:13:05 PST 2012 --  يارب كل عقيم ارزقه بطفل ، وكل مريض ارزقه شفاء , وكل مظلوم انصره , وكل متحابين ارزقهم الزواج، واصلح كل متخاصمين ، وكل ميت مسلم أرزقه الجنة"
Fri Dec 21 13:55:52 PST 2012 --  أنا فتاة آرقع حق غيري وآتنح عند مشآكلي ‹›""
Fri Dec 14 14:07:59 PST 2012 --  ريتويت اذا لقيت حرف [ د ] ب اقل من سبع ثواني : ذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذدذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذذ
Thu Dec 13 17:30:49 PST 2012 --  وجودك في حياتي شيء عميق جدااً ک خيوط فرح تتسلل إلي شيء يجعلني ااتنفس ب راحہ كبيرهہ ، شيء هاادي ، حنون جدااً ___ شيء احبہ وكفىى ♡*
Wed Dec 12 18:14:17 PST 2012 --  إن رأيتوني على معصيہ أو على غير حق ! فانصحوني ♡ لاتخشوا مضآيقتي ، أضيق يوماً في الدنيا ، ولا أضيق دهراً في نار الآخرة !​ ^ لمن يحبنِي فقط
Sat Dec 08 15:21:23 PST 2012 --  لي ّ صصديقآت ” آعششقهم ّ بِ جنو و ن ّ ! مِثلهم ّ صعب ّ تلـآقون ّ وُ قلوبهمّ نآدرة بذآ الكو ون $=
Sat Dec 08 14:12:09 PST 2012 --  ' و عسااني بَ الرحيل اسبق گل روححَ ~ #تعني ليّ كل حيااتيّ (=|♡̷♡̷♡̷ '
Wed Dec 05 17:44:16 PST 2012 --  اسعدني يامن تحبني،... فالموت لا يستاذن احدا♡♡ ..
Sun Nov 25 16:52:37 PST 2012 --  [ دائماً كُن محاطاً بالأمل في حياتك لتستمر بكل قوه وثبات مع تغيرات دنياك ]
Sun Nov 25 16:51:27 PST 2012 --  ❜♡ -̅ ++ إفٰعَلْ الْخَيّرْ مَهْماآ استَصْغَرْتَه فلـآ تَدْرِيّ أيّ حَسَنَه تُدْخِلُگ { الجَنَّــهٓ }، ♡ $!،. ♡ - -̶--̶--̶-- -
Sun Nov 25 16:50:51 PST 2012 --  آسآلگ يَ آللّہ : ٲن لا تحرم .. ۆجھُ ( عآئلتيَ و احبتي) منٌ آلجنِہ .. ♡!
Sun Nov 25 16:44:09 PST 2012 --  قهر لآمن گسر بـ / خُٱطَطَطَريّ شخُص آغُليّہ حُتىْ آلمعُٱتب أسٌسٌسٌسٌتحي من ; عُتآإبہ ≈ ╠ ،،
Sun Nov 25 14:00:40 PST 2012 --  كاميرا خفيه بجنب مقبرة ما تخطر ببال ابليس http://www.youtube.com/watch?v=pb22a7Y1gts&feature=youtube_gdata_player … هههههههههههههههههههههه ركزو علي ثاني واحد المعنى الحقيقي لام الركب
Wed Oct 17 13:39:44 PDT 2012 --  اللهم اشفي امي من الفشل الكلوي الى من شاهد هذه التغريده امنتكـ بالله ((رتويت)) امي بين الحياه و الموت ارجووووووووووووكــ ،،،
Fri Nov 23 10:30:03 PST 2012 --  لست ساذجه ولكني اجيد فن الاستغباء كي اتعايش مع اناس قاسين استطيع ان اعمالهم بالمثل وبسهوله لكن اخلاقي تمنعني:-P
Fri Nov 23 09:56:04 PST 2012 --  فيما لو تم السماح للحريم يسوقن....قلنا فيما لو pic.twitter.com/QzK75tS9
Fri Nov 23 09:19:44 PST 2012 --  غدا .. قنوات الشيعة نسبة اللي يتابعونها من الشيعة 10% .. السنة 90% " شعب عنده فضول "=))"
Fri Nov 23 03:34:35 PST 2012 --  أجمل صورة عرض وصلتني من حلقة @Temsa7LY الأخيرة (الحلقة الدبييية) http://yfrog.com/hs39527155j 
Thu Nov 22 17:29:23 PST 2012 --  لا تنسوا صيام الجمعة ١٤٣٤/١/٩ ماقبل عاشوراء السبت ١٤٣٤/١/١٠ عاشوراء حتى لو لم تستطع الصيام ف انشرها فلا تدري من قد يصومها بسببك
Thu Nov 22 15:50:18 PST 2012 --  وقال عليه الصلاة والسلام(صيام عاشورا اني احتسب على الله ان يكفر السنه التي قبله)
Thu Nov 22 01:04:20 PST 2012 --  هل تعلم بأن أميـرات بريطانيا لا يلبسون إلا اللبس الساتر ! يقولون : اللبس العاري فقط #لبنات_المراقص [ وهم كـفار ] !!!
Wed Nov 21 18:41:30 PST 2012 --  في الغالب لا احب معاتبة أحد . . الإهتمام الذي سياتي بعد العتب ستكون نكهته " سيئة " !!!
Wed Nov 21 18:38:44 PST 2012 --  كلما هممت بفعل معصية تذكر ثلاث آيات </3 1-"ألم يعلم بأن الله يرى" 2-"ولمن خاف مقام ربه جنتان" 3-"ومن يتق الله يجعل له مخرجاً“
Wed Nov 21 18:38:16 PST 2012 --  لا يهٌم أن تكون مٌثقفاً كنّ محترماً فقط، فالأحتِرام نصفّ الثقافة
Wed Nov 21 18:36:21 PST 2012 --  ❁كُل الأشياء تتغير ، حتى قُلوبنا إن تألمّت طويلاً تغيّرت كثيراً❁
Wed Nov 21 11:57:18 PST 2012 --  عاجل إسرائيل تعلن فك الحصار عن غزه وايقاف الحرب .. والان احتفالات عارمه في شوارع غزه لإنتصار المقاومة .. #غزة #غزه
Wed Nov 21 02:49:09 PST 2012 --  #خمسيني_يتزوج_مديرة_ومعلمة_وطالبة_من_مدرسة_واحلو اختي تدرس بنفس المدرسه والرابعه كمان مشرفه ​فـ♡ـي نفس اداره المنطقه اللي هم فيها هههههه
Tue Nov 20 15:01:30 PST 2012 --  آللھم إن نسألگ آلشفآء # لگل من هم على فرآش آلمرض يأنون "( آللھم آگشف مآ بھم و آجعل مآ آصآبھم ☹ تگفيرآ لذنوبھم يآرب آلعآلمين ^ قولو امين
Tue Nov 20 04:01:16 PST 2012 --  تمسكوا بأحبتكم جيداً ، وعبروا لهم عن حبكم ، واغفروا زلاتهم ، فقد ترحلون أو يرحلون يوماً وفي القَلب لهم حديث و شوق الرحيل لا يستأذن أبداً
Sun Nov 18 16:25:52 PST 2012 --  رَبّــيٌ اصرف عن امي ثلاث: ا̄ﻟمرض ، نار جہنم ، ۆفتنة ا̄ﻟقبر وارزقها ثلاث: السعاده والجنة وطول العمر
Sun Nov 18 08:53:32 PST 2012 --  ⁰ ⁰ إنْ تركت شيئاً للہ فَ اطمئن بالعوض الجمّيل
Sun Nov 18 08:26:57 PST 2012 --  فرصتك الحملة المسائيه تبدأ الآن 520000 حساب مستعدين يتابعونك اذا سويت ريتويت للتغريدة هذي وتابعت الي يسوي ريتويت #زيادة 9 ريـتـويـت"
Sun Nov 18 04:13:07 PST 2012 --  منصور البلوي يظهر تلفزيونياً عبر " كورة " الخميس http://bit.ly/UNbsJF " https://twitter.com/0566806992ahmad 
Sun Nov 18 03:59:50 PST 2012 --  لا ... " تفهمني " كما .. تريد ..!! أسمعني .. جيداً " لتفهم " ما أريد ..!!
Sat Nov 17 16:45:50 PST 2012 --  ​- حين تسهر ليلًا وحدك خاليًا، لا تستكثر ركعة تخرجُ من قلب صادق مُؤمن، فتشفع لك يوم لا جزاء إلا لمن عمل .. ^ الوتہڕ♡
Sat Nov 17 15:11:37 PST 2012 --  #حريق_أبراج_بحيرة_جميرا : حريق شب في #دبي والدفاع المدني يخمد الحريق | عبر @YaHalaShow | #السعودية #ksa #دبي #الإمارات pic.twitter.com/lzZFa5AG
Thu Nov 15 20:29:31 PST 2012 --  مـع حـبيبته وفـي المطعم .. أسمعوا واحكموا . http://www.youtube.com/watch?v=1KviYuuRLt0&feature=player_embedded …
Sat Nov 17 03:43:40 PST 2012 --  في اليابان هرب طالب من محاضرة فإستقالت الدكتورة معتبرة أن هروب الطالب برهان فشلها واحنا الكل يشرد والأخ يسجل غياب ياخي تألم خل عندك شوية دم
Sat Nov 17 03:00:39 PST 2012 --  أول خطوات‏​ الفشل للإنســــان : ترك الصلاة
Sat Nov 17 03:22:37 PST 2012 --  يارب احفظ ملكناعبدالله وامنن عليه بالصحه والعافيه واطل عمره،،، ربنا قد استودعناك ملكنا من كل شر سبحانك يامن لاتضيع عنده الودائع،،،
Sat Nov 17 02:26:00 PST 2012 --  مساء الخير رسميا الفريدي اتحادي اتمنالك اخوي وصديقي التوفيق في ناديك وبين اخوانك في صفوف العميد معتقل النمور والبطولات.
Fri Nov 16 16:36:12 PST 2012 --  اللهم إنّا استودعناك غزة.. نساءها وفتياتها..أطفالها وشيوخها..رجالها وشبابها..اللهم أحفظهم بحفظك..يا من لا تضيع عنده الودائع #غزة_تحت_النار
Fri Nov 16 16:17:16 PST 2012 --  ࿔ سبحـ͟ــــان الله ♡ ࿔ ˓ سبځـ͟ــــان ​​​​​​آللهہ وبحمد ♡ ࿔ ˓ سبځـ͟ــــان ​​​​​​آللهہ العظيم ♡ ​​​​​​آللهہم اغفر لنا جميع ذنوبنا♡
Fri Nov 16 12:52:50 PST 2012 --  اللهم انصر إخواننا في فلسطين وسوريا اللهم انت الحافظ فااحفظهم اللهم أنصرهم اللهم أنصرهم
Fri Nov 16 12:34:44 PST 2012 --  اللي يحب "ورق عنب" يسوي رتويت ، بسوي احصائية <>
Thu Nov 15 14:25:54 PST 2012 --  @sooma_aaa برافوا عليك دائما ماتبهرينا ببعض الكلمات مبدعه في كل شيء
Thu Nov 15 14:27:10 PST 2012 --  * لديناا اشياء " بيضاء " تُسعدناا جدا ! لدينا رفقه , اهل , ودين , صلوات واذكار ترتاح بها الأرواح ‘
Thu Nov 15 14:12:49 PST 2012 --  ربنا أتنا في الدنيا حسنه وفي الآخره حسنه وقنا عذاب النار وأدخلنا الجنه مع الأبرار
Thu Nov 15 14:24:30 PST 2012 --  أگثرالرَجال إثاره للشفقہ هو ذلِگ الذيّ يعتقد إن كُل فتاه تُحدثہ مُعجبہ بہ،. ┉✰
Thu Nov 15 14:02:36 PST 2012 --  لم يكن ينقصني شيء ولكنك حين اتيت اصبحت اضافه جميله لـ حياتي واصبحت اهم شخص فيها فإذا اخترت ان ترحل تذكر إني لم يكن ينقصني شي وكنت مجرد إضافه
Thu Nov 15 13:25:34 PST 2012 --  ♡ .. الحُب لا ينمو إلا بالإهتمام '
Thu Nov 15 13:21:21 PST 2012 --  وراء كل أمرآة مثيره في الأسواق ،،،، رجل فقد رجولته والغيرة،،،،
Thu Nov 15 13:13:32 PST 2012 --  ઃৢ ̼ ٓৣ آلحنين لذكريآت آلصبآ وآلطفولة هي أشبه بمذكرة يسيل فيهآ آلقلم من أعبآء آلحيآة
Thu Nov 15 04:44:53 PST 2012 --  عرض ببنده شكله العرض خاص للبويات هههههههههههههههههه pic.twitter.com/jNlKiPR5
Wed Nov 14 12:06:13 PST 2012 --  شيئان لاتصدقهما أبدا :دموع النساء وقلوب الرجال وشيئان لاتكذبهما أبداً :دموع الرجال وقلوب النساءلا أعلم أي من الجنسين يكون الكاتب و لكنه أبدع
Wed Nov 14 11:06:57 PST 2012 --  ماقصر الاخضر اداء رائع♡ والف سلامه لكريري رَبّـي يقومه بالسلامه
Wed Nov 14 10:58:54 PST 2012 --  سعود كريري سلامتك ياغالي الف سلامه طهور إنشالله .
Wed Nov 14 09:53:41 PST 2012 --  اسامه المولد ياعصابة راسي نبي ثار سعود كريري ولايرضينا شي أقل من غياب ميسي عن الملاعب ٣ شهور تكفى تكفى تكفى تكفى #الأرجنتين_VS_السعودية
Mon Nov 12 18:47:12 PST 2012 --  دبي تفعل خدمة WiFi بالشوارع عن طريق الأرصفة الذكية !! #اصلا عادي جيرانا ما يحطون رقم سري!! هههههههههههههههههههههههههههههههههه
Wed Nov 14 09:51:47 PST 2012 --  ميسي دخل البنات للملعب ، ورقم المقاعد وغير كراسي الاحتياط وغير قصة عشب الملعب .. أتوقع لو يستمر في الرياض أسبوع بيصير فيها مترو #BC
Wed Nov 14 09:52:32 PST 2012 --  سلامات لنجم منتخبنا و نادي الاتحاد سعود كريري. اصابة تبدوا قوية و كأنها بمفصل الذراع. الف لاباس يا ابو علي.
Wed Nov 14 08:45:54 PST 2012 --  #هزيمه_شنيعه 8 /صفر طبعا للارجنتين >>>يعيدو مباراة المانيا
Wed Nov 14 07:48:58 PST 2012 --  I'll be using http://www.justunfollow.com  to track who unfollowed me #iosapp
Wed Nov 14 04:11:44 PST 2012 --  خلاص خلي علاقتنا صداقه .. الطلاق عند البويات 
Wed Nov 14 02:52:27 PST 2012 --  احمد الفريدي اتحادي تم التوقيع بس باقي الاعلان الف مبرووووووووووووك لنادي الاتحاد هذا اللاعب الكبير HASHIM99
Wed Nov 14 02:50:04 PST 2012 --  توقيع الفريدي للاتحاد خلال ساعات فقط نبارك للاتحاد اللاعب ونبارك للاعب الاتحاد المصدر احمد
Tue Nov 13 09:13:29 PST 2012 --  @Fa3Lkheir ممكن دعم للحساب ، ولك أجرة بإذن الله :)
Tue Nov 13 15:46:22 PST 2012 --  صارت حياتي أما بَ الدوام ، ولا تعبان من الدوام او نايم لأني جاي من الدوام أو نايم عشان بكره دوام . #سحقا_للدوام .
Tue Nov 13 12:00:39 PST 2012 --  “ @almohaaal: ​​​​تم تسريب تشكيلة المنتخب السعودي التي سيلعب بها امام الأرجنتين ̶̶̶ http://t.co/2TuGLXWA ههههههههههههههههههههههه”
Mon Nov 12 13:30:21 PST 2012 --  #استقبال_ميسي #استقبال_منتخب_الارجنتين تم حذف الواتس اب بعد هذي الصوره هههههههههههههههههههههه pic.twitter.com/LZJJ5x3O
Mon Nov 12 14:14:58 PST 2012 --  بدا الشعب يستهبل على ميسي #استقبال_منتخب_الارجنتين http://twitter.com/QQ0_/status/268114489348608000/photo/1pic.twitter.com/jQVNU9FJ 
Mon Nov 12 03:52:22 PST 2012 --  فيديو: شوفوا النافوره بصراحة .. إذا كان للمخ حد .. فاليابانيين كسروا كل الحدود.. شي غريب وعجيب وممتع. http://www.youtube.com/watch?v=0HeUixe_Lpg …
Sun Nov 11 14:36:11 PST 2012 --  . " نام اليوم مرتاح .. سامح من اخطأ عليك .. و أعتذر لمن أخطأت انت عليه .. ولو برسالة الأن ترسلها له .. ( صف النية . المسامح كريم ) .. .
Sat Nov 10 19:32:58 PST 2012 --  صباح آلآعترآف بَ آني لآ آستطيع آلعيش بدونہ وآني آحببتہ آگثر وآگثر
Sat Nov 10 19:30:05 PST 2012 --  الهي في كل دقيقة تمر على ميت و هو في قبره اسألك ان تفتح له باباً تمر منه نسائم الجنة
Sat Nov 10 19:26:36 PST 2012 --  - هُناك أناس تُحدثهم عن الألم فَ يحدثونك عَن الأمل هَؤلاء هم مَن نحتاجهُم بالقرب مِنا دائماً .
Sat Nov 10 19:06:01 PST 2012 --  ​ سَ احتفظ بِك رُغم انك عديم الفائده , لا تُجيد سوى عزف الوجع على ااَوتار الشوق وغرقي في الاوهام ' س احتفظ بِك فقط لآنك الضروري المؤلم ،،
Sat Nov 10 19:05:02 PST 2012 --  صبآح آليقين ب آن ؛ رحمةة خآلقي أوسع من متآعب آلدنيآ و شقآءھآ ') ! - و بگ أصبحنآ ي رحيم
Sat Nov 10 15:18:25 PST 2012 --  فوجئ مواطن بصامطة ،بتسجيل مخالفة مرورية بحقه على طريق الظهران بالمنطقة الشرقية، التي لم يزرها أبداً، كما أن سيارته لم تتحرك في ذلك التاريخ..
Sat Nov 10 04:08:41 PST 2012 --  اجواء تفتح النفس ورواتب ومكآفات وطقطقه على الأهلي .. ‹› ! ^ماتوقعتها منكك ي السبت ‹›
Fri Nov 09 16:19:16 PST 2012 --  -- `يآرب  .. فيٌ هذھہِ السآعھہِ اسآلگ الراحھہِ ،، لگل منٌ ضآقتٌ عليَھہِ دنيآھہِ وٌذرفتَ عينآھہِ ياكريم (f
Sat Nov 03 05:12:34 PDT 2012 --  ༡ ᵋ مِنْ دوآعِي آلإحترآم بشكل عآم أنْ لآ تسخر من أي شَيء ! لأنْ كُل شَيء يُمثّل قِيمة لشخصٍ مآ
Fri Nov 02 16:40:09 PDT 2012 --  والتجاهل أشدّ ألماً من الرحيل ل إنْ يرحل أحدٌ عني خيرٌ من أن يتجاهلني وجود الأشخاص حولنا يستوجب السؤال عنهم وتفقدهم وتجاهلهم لنا يرهق
Fri Nov 02 16:35:07 PDT 2012 --  أروع القلوب قلب يخشى ألُـٍآّـًہِ .. وأجمل الكلام ذكر ألُـٍآّـًہِ .. وأنقى الحب الحب في الله
Fri Nov 02 16:18:39 PDT 2012 --  المفقود عبدالله المطيري في انفجار الرياض لازال أهله يبحثون عنه الرجاء المساهمه في العثور عليه ولو بريتويت هذي صورته - pic.twitter.com/n8CXegff
Fri Nov 02 16:12:02 PDT 2012 --  الدوام والزحمه مومشكله المشكله وانت رايح الدوام تشوف واحد واقف على يمينك عند الإشاره محمل ورايح البر هني المشكله #قلبي الصغير لايتحمل
Thu Nov 01 12:18:10 PDT 2012 --  اللي طفشان يسوي #ريتويت .. بسوي احصائيه
Tue Oct 30 05:27:04 PDT 2012 --  خالد عبد الرحمن يسجّل أول ألبوم إنشادي http://sabq.org/YUpfde 
Sun Oct 28 08:24:50 PDT 2012 --  @arb_iphone ارجوو تنبيههم ان الصوره مفبركه #لا_للإشاعات pic.twitter.com/c4YzapfY
Sat Oct 27 14:42:38 PDT 2012 --  خذ ثواني من وقتك فقط وقل سبحان الله  والحمد لله  ولا إله إلا الله   والله أكبر
Sat Oct 27 14:37:32 PDT 2012 --  ااختلف في كل شيء حتَى في حُزني أنيق ..
Sat Oct 27 14:36:14 PDT 2012 --  آفعلوآ م شئـتم ف آنا لم آعد آهتم ..
Sat Oct 27 14:32:38 PDT 2012 --  آلأصدقاء لا يرحلون، آلعابرون فقط يفعلون ذلك ..
Fri Oct 26 17:56:05 PDT 2012 --  @Talhabeeb ريم الرشيدي نهش جسدها السرطان يارب لاتحرمها دعاء القلوب الرحيمة فيمن الله عليها بالشفاء رجاءلاتبخل بريتويت pic.twitter.com/GrP5DutY
Tue Oct 23 07:16:17 PDT 2012 --  يقهرني الشخص اللي كل ما سويت شيء غلط قال طحت من عيني !! مع نفسك انت وعينك عساها الفقع قول امين <>
Tue Oct 23 07:18:02 PDT 2012 --  ليس كل ماا اٺجاھلہ لم افَهمہ بل هو اٺبااع لِ صبراً جميل
Tue Oct 23 07:16:46 PDT 2012 --  لآ تمزحح بأسلوب فٱشل* ثم تتھم الآخرين بالحساسيھ
Tue Oct 23 07:15:24 PDT 2012 --  بإختصآر شديد اهتمآمک بمن لآ يھتم بک ، غبآء ستندم عليھ يومآ ما ،
Tue Oct 23 07:14:32 PDT 2012 --  آفعلوآ مآ شئتم فَ ( أنَـآ ) لمّ أعُد ٱھتمَ !! آلٱ بمَمَن يَهتمَ بي
Tue Oct 23 07:13:08 PDT 2012 --  يتعمقون في نوايا الغير ، لذا هُم دائما تُعساء
Tue Oct 23 07:12:01 PDT 2012 --  أبدًا لا يموت الأمل ونحن لدينا ربّ رحيم قادِر يقول " كن فيكون "
Tue Oct 23 07:10:43 PDT 2012 --  اسوء العلاقـات حين ترتبط بـ أحد لتعويض غياب أحد .. فـ تقتـل الثاني حين يعـود الأول
Tue Oct 23 07:08:43 PDT 2012 --  بلغَ العُلا بكمَالهِ .. كَشفَ الدُجى بجَمالهِ - حَسُنت جَميعُ خصَالهِ ‘.. صَلّوا عَليه وسلموا صلى اللَہٌ علـيه ۆ سلم
Tue Oct 23 06:27:07 PDT 2012 --  زايد يلعب وابنه مريض ! كريري يلعب وزوجته بالمستشفى ! نـايف يلعب وهوو مريض ودرجة حرارته مرتفعةة ! محمد نور ... http://fb.me/1lLdAni2v 
Mon Oct 22 05:50:37 PDT 2012 --  احد يفهمني شلون صار جذي وليش  http://twitter.com/al3angaa/status/256154839346728960/photo/1pic.twitter.com/5bQYRJwV 
Mon Oct 22 14:52:59 PDT 2012 --  اللَّهُمَ لاَ تَطْوِي صَفحَة هَذا اليَوم الاَّ قَد مَسحتَ كُلَّ ذُنُوبِنَا .
Mon Oct 22 12:17:25 PDT 2012 --  نايف هزازي عبر « أبوظبي الرياضية » | تحاملت على نفسي كثير وارتفاع بدرجة حرارتي واهدي الهدف لوالدي ووالدتي وخطيبتي بلقيس
Mon Oct 22 12:08:31 PDT 2012 --  انتهى شوط وباقي ثاني مانبي نبارك إلا في حالة التأهل للنهائي يحق لنا ان نبارك لبعض #الاتحاد_VS_الاهلي #الاتحاد
Mon Oct 22 11:07:52 PDT 2012 --  @___itti__news__ .. أنا مصمم اتحادي اصمم بما يخص نمور جده @@' ادعمني برتويت
Mon Oct 22 11:58:03 PDT 2012 --  “ @taboot23: حكم سي سي جدآ وضعييف” هههههههههههههههههههههههههههههههههه هذا انتم يالاهلاوية
Mon Oct 22 11:55:47 PDT 2012 --  الف الف الف مبررررروك للعميد
Sun Oct 21 19:36:14 PDT 2012 --  " @abo_mshr3: اللهم اشفي امي من الفشل الكلوي الى من شاهد هذه التغريده امنتكـ بالله ((رتويت)) امي بين الحياه و الموت ارجووووووووووووكــ "
Sun Oct 21 19:46:53 PDT 2012 --  ‏​ههههههه حيوان اللي ركب الصوره { PIC    } http://v.ht/YcZ  ھَھٍھَھٍھَھٍھَھٍھَھٍھَٱإيـ​‏​‏​‏‏​‏​‏​‏‏=)):p:'(=D
Fri Oct 19 17:11:14 PDT 2012 --  531426375 http://www.youtube.com/watch?v=1-u45tm0MRo&feature=youtube_gdata_player …
Thu Oct 18 08:54:39 PDT 2012 --  ⁰ ⁰ ⁰ ​‏​‏​‏​⁰ لا خيرَ فِ لذة * #_' من بعدهآ نارُ ..
Tue Oct 16 05:58:00 PDT 2012 --  لا تضغط على مٓـ❧•ـنّ تحب بـ الإهتمآم بگ اتركہَ حتى يعلم بنفسہَ من ٱنت ومآذآ تكون لہَ ؟ دع الوقت يبين لہَ كل مآ تريد
Tue Oct 16 05:56:37 PDT 2012 --  :┈ •∿∿ الوحدة : تأتيك حينما تنسى ان الله معك .. ┈┈•••∿•••∿
Tue Oct 16 05:52:40 PDT 2012 --  ٔ ۙ ٰ ⑅ ͟⑅ _اتعلم من انت .. انت الأمنية التيّ اغمض عيني في نهاية كل يوم واتمنى انّ لا تنتهيَ ♡
Tue Oct 16 05:49:36 PDT 2012 --  أحياناً يقول الأطفال كلمات لا تعجبنا .. نحن نطقنا بها أمامهم
Tue Oct 16 05:51:17 PDT 2012 --  ٔ ۙ ٰ ⑅ ͟⑅ لا شَيء أجمَل ومِن أن يجد الإنسان في هذا الزَمن صديقاً يقرأ حُزنه دونَ أن يُخبره بِذلِك
Tue Oct 16 05:50:10 PDT 2012 --  ٔ ۙ ٰ ⑅ ͟⑅ _لاا اححد ينقبض قلبھہ خوفاا عليك مثلي فكن بخير لااجلي
Tue Oct 16 05:49:44 PDT 2012 --  ٔ ۙ ٰ ⑅ ͟⑅ *اثقَ بكَ ربيْ ! آثقَ بأن كلَ مآ ( أتمنآهَ ) سيكونَ برحمتكْ ليَ . . وأن كلَ مآ آدعوَ به ستحققهَ
Mon Oct 15 06:45:55 PDT 2012 --  قالوا تمنى قلت (كل المطاعم) داخل بيتنا ‹› ايه هذي الأماني السنعه مو شوفة عيونه و لمسة يدينه و مادري وشنو
Sun Oct 14 12:27:25 PDT 2012 --  ## سعودية شافت كهف و حبت تسمع صدى صوتها قالت : (حااااااااافز) !؟؟؟ رد الصدى : حدثي بيانتك وانتي ساكته 
Sun Oct 14 11:48:34 PDT 2012 --  يقولون أن "فيليكس" أول شخص وصل إلى هذا الارتفاع ، وسيّدنا محمد - صل الله عليه وأله - وصل الى سدرة المنتهى في السّماء السابعہ.
Sun Oct 14 11:19:09 PDT 2012 --  @Al3need78 الشعب السعودي في انتظارك ي فيليكس http://twitter.com/mishal_otibi/status/257543248669732864/photo/1pic.twitter.com/4bRt06SF 
Sun Oct 14 10:28:39 PDT 2012 --  قسما عظما يا نيوتن :) لو فيليكس ما مات و طلع قانونك غلط واحنا دارسينه16 سَنھ :) بطلعك ﻣ̲̌ن القبر وبلعن خير خير والديك=))
Fri Oct 12 09:04:01 PDT 2012 --  حروفنـا ﺄصبحت تحتاج ⁰لـ 'محامـي '⁰•• حيـن نگتبهـا بـ براءة :⁰يقرأهـا غيرنـا بـ خبث !
Fri Oct 12 04:27:38 PDT 2012 --  لدي اسلوب إستفزاز يجعلك تكرهني لدي طيبة العالم ب اكملہ لدي تبلد فظيع لا يمكن لأحد تحملہ لدي حب لا تجدهُ فيّ غيري اختر ماتشاء ب اسلوبك
Fri Oct 12 04:04:29 PDT 2012 --  ​​♬​... ​__ ​​​+ آللھممَ ​ صل عَلى مُحمّد : ♡ ! - عدُد ماذكره ... ألذاكرونُ ] وُ غفل عن ذكره ألغافلون ​ !̵
Thu Oct 11 15:12:52 PDT 2012 --  نقل المفحط الشهير بـ (جنرال النظيم) لمستشفى الحرس الوطني في حالة خطرة بعد إنقلاب مركبته أمام الجمهور خلال تفحيطه!! - pic.twitter.com/Ufw98WId
Thu Oct 11 13:41:05 PDT 2012 --  . حاول توازن بين عقلڳ والإحساس وعيش الحياة اللي تبيها لذاتڳ إن كنت بتوّقف حياتڳ على الناس بتموت ما سويت شي بحياتڳ
Thu Oct 11 09:59:49 PDT 2012 --  @ammo0ora @co0o0k كيكه الأوريوا لذيذه pic.twitter.com/j7VVqPoA
Mon Oct 08 05:45:49 PDT 2012 --  فتاه تعشق فتاه ورجل يعشق رجل وجهنم تنتظر بفارغ الصبر وقليل من سينشر هذا السطر . #تذكير
Tue Oct 09 04:21:09 PDT 2012 --  الزوجة ليست بحاجة فقط إلى النفقة والسكن لكنها أيضا بحاجة إلى كلمة جميلة وقلب حنون وعاطفة تملأ قلبها ورحمة تنسيها تعبها ،،
Tue Oct 09 03:15:06 PDT 2012 --  تخيلو : لو يخترعو * مخدة * تسجل أحلامك في الليل و بعدين تصحى , و تشبك المخدة في اللاب توب و تتفرج :-) ححمآس:-)
Mon Oct 08 05:01:04 PDT 2012 --  @Al3need78 لو يدرون عنه ابل مشوله راتب pic.twitter.com/sEfHyinh
Mon Oct 08 05:00:38 PDT 2012 --  @Al3need78 شفنا ناس كثير تتمشى مع حيواناتها بس أول مرة أشوف هالمنظر.. pic.twitter.com/3SodKcgO”
Mon Oct 08 04:14:59 PDT 2012 --  @Al3need78 الذين يكتبون عن الحب الشوق السهر : هم ايضا يمارسون الطاعات ويقرأون القرأن ويحبون الله والرسول !! (فقط توضيح لبعض العقول)!! ​
Mon Oct 08 04:37:05 PDT 2012 --  يمرني ٱلشُوق وآتنفس خَطاياهُم وآقووول مَهمّا خطّوا يبقُون بَـ آعماقي
Mon Oct 08 04:34:57 PDT 2012 --  ٱڵٱحٺرٱم سَڵۆڳكَ , مٺبٱدڵ فڵٱ يمڳن , ( ٱن ٺجدھ ) من ٱڵٱخرين مٱڵم - ٺڦدمھ ڵھم
Mon Oct 08 04:33:15 PDT 2012 --  جمِيلہ هي ٱلحيااھ حينمٱ ترى شخصاًا يتغير للآفضل + .. من آجلكككَ /'
