Thu Aug 27 08:25:30 PDT 2015 --  The weather at Gillette is going to be on point for Saturday's show 🏻 #CountryFest
Mon Nov 18 18:01:54 PST 2013 --  @DanDell24 comes to a sports bar and orders a Wrap....
Mon Nov 18 05:18:34 PST 2013 --  Ya so I just realized I gotta read a whole book today and answer 100 questions due by tomorrow ....
Sun Nov 17 19:28:52 PST 2013 --  Gonna sleep like a baby tonight
Sun Nov 17 14:04:57 PST 2013 --  Driving on the highway extremely hungover Is absolutely terrifying
Sun Nov 17 10:00:18 PST 2013 --  Found my seat for the game pic.twitter.com/YOCnmuwBu7
Sun Nov 17 09:10:47 PST 2013 --  I am a giant trash bag right now, I have no use for anything besides sitting on my couch like a fat idiot in sweatpants just slowly decaying
Sun Nov 17 08:23:14 PST 2013 --  Ya so I definitely shouldn't be driving right now
Sat Nov 16 15:49:16 PST 2013 --  #QuizUp is mad addicting
Sat Nov 16 11:17:32 PST 2013 --  Beers and burgers for the boizzz @rsearles175 @Mr_Flantastic_ scumerville pic.twitter.com/aeb64G3VM1
Sat Nov 16 08:29:50 PST 2013 --  The fingerprint unlock on the 5s is pretty gangster
Fri Nov 15 15:44:55 PST 2013 --  Every time I watch pitch perfect Anna Kendrick makes a little tiny piece of my heart melt
Fri Nov 15 15:29:27 PST 2013 --  My dad's chicken cutlets doe
Fri Nov 15 10:17:45 PST 2013 --  So I'm watching tv and I get all confused cause I hear footsteps and music on my roof and I go outside to see 5 Mexicans cleaning my gutters
Wed Nov 13 18:56:21 PST 2013 --  Ya so if this casino gets built on the vineyard you know where to find me ...
Wed Nov 13 16:11:34 PST 2013 --  Could really go for some pumpkin beers when I get home from work #yadig
Tue Nov 12 14:31:12 PST 2013 --  Haven't been to wing night yet all year #aintthatashame
Tue Nov 12 13:14:13 PST 2013 --  I'm 100% certain that the people who don't listen to their iPods at the gym or in the library are up to no good #dontrustem
Tue Nov 12 12:15:59 PST 2013 --  Library for a few hours
Mon Nov 11 12:41:27 PST 2013 --  Your a convenience store and you have no Chapstick left? The fuck you mean? I hope the entire state of New Hampshire blows up.
Mon Nov 11 07:57:39 PST 2013 --  Already looking forward to next Sunday
Sun Nov 10 17:01:14 PST 2013 --  Almost had a heart attack over that broncos game
Sat Nov 09 16:31:14 PST 2013 --  Chris Bruno drunk is the worst kind of drunk
Sat Nov 09 16:14:37 PST 2013 --  @ItsMyGuy @DirtyGramirez @DCouture1990 @k_moloney91 @DanDell24 @justinbieber can't wait #clubsmokehouse #turntup
Fri Nov 08 22:25:25 PST 2013 --  @DanDell24 just referred to himself as a "high school cool boy" @rsearles175 @Mr_Flantastic_
Fri Nov 08 16:29:06 PST 2013 --  Being sick is painfully boring ...Not much to do besides watch tv and yell upstairs to my mom for more soup and tea #favoritechild
Thu Nov 07 20:45:58 PST 2013 --  I'm just gonna go ahead and say fuck the redskins #scrubs
Thu Nov 07 15:26:45 PST 2013 --  About to go hard on this sushi ... But i know it'll never live up to the Golden Gingers spicy tuna rolls #bomb.com
Wed Nov 06 18:12:15 PST 2013 --  Ripping down NyQuil until I fall asleep #sickasfugg
Tue Nov 05 16:22:56 PST 2013 --  Big football game tonight boys @joeyB_316 @DanDell24 @cbruno20 @biggaymurph @Pazaletes @Mikey_D17 @t_conigs234 #HighSchoolChicksDigIt
Tue Nov 05 16:06:53 PST 2013 --  Flag football time lets get after it baby JOEYBEEANDTHEHIVE
Sun Nov 03 09:04:29 PST 2013 --  Im not joking one bit when I say I have no recollection of my life from about 2-8pm yesterday
Sun Nov 03 06:18:31 PST 2013 --  so who wants to make a quick 30 bucks and drive me back to Salem #imliterallybegging
Sat Nov 02 19:26:12 PDT 2013 --  Ummm soo I don't remember the last 8 hours of my life
Sat Nov 02 18:44:35 PDT 2013 --  Has anyone seen @DanDell24 ? Kids MIA about to party in salem without him I hope Boston pd picked ya up bud call me il bail ya out #50duncs
Sat Nov 02 11:23:54 PDT 2013 --  Napoli at the bar pic.twitter.com/HcV3PtiYCI
Sat Nov 02 10:11:36 PDT 2013 --  My niggas pic.twitter.com/p4mjcvB3PC
Sat Nov 02 06:42:23 PDT 2013 --  Can't wait to see the degenerate himself @KyleAlbanese #mikebrentsgay
Fri Nov 01 15:03:49 PDT 2013 --  Hahaha mr chow is hosting sportscenter right now
Fri Nov 01 13:40:58 PDT 2013 --  Love the feeling of an absolutely spotless bedroom
Tue Oct 29 19:30:42 PDT 2013 --  My texting speed…depends on ur importance.
Mon Oct 28 13:21:18 PDT 2013 --  I could watch the Big Vic dell birthday video 100 times and it wouldn't get old
Mon Oct 28 07:17:25 PDT 2013 --  Feel a cold comin on , absolutely crushing emergen-c packets all day
Sun Oct 27 19:24:00 PDT 2013 --  Let's fucking gooooo johnnnyyy gomesssss
Sun Oct 27 09:33:54 PDT 2013 --  What are the odds u see two other guys at the liquor store wearing the same white Corey Dillon jersey as myself? #goodomen
Sat Oct 26 11:59:18 PDT 2013 --  Goonies never say die!
Sat Oct 26 07:38:14 PDT 2013 --  I wonder if @rsearles175 made it to work in one piece today?
Fri Oct 25 16:08:38 PDT 2013 --  Watching a movie drinking tea and eating chicken noodle soup #sick #imapussy
Fri Oct 25 11:13:53 PDT 2013 --  I feel bad for the first offensive line I play against in flag football #D-Line #sackedlunch @Pazaletes @joeyB_316
Thu Oct 24 16:36:17 PDT 2013 --  Vassssupppp im wicked gayy
Thu Oct 24 05:31:39 PDT 2013 --  OMG it's my favorite day of the week #throwbackthursday !!!!!!!!
Wed Oct 23 17:03:26 PDT 2013 --  The dirty things I would do to be at this game
Mon Oct 21 20:43:20 PDT 2013 --  You know my boy Timmy Tebow is waiting for his phone to ring by the Minnesota Vikings tomorrow morning
Mon Oct 21 10:48:11 PDT 2013 --  Nothing like a nice round of fall golf with my nigga @GregWasylak
Sun Oct 20 13:32:53 PDT 2013 --  Worst call I have ever seen in my entire life.. Had no outcome on the result of that missed field goal #fuckinggay
Sun Oct 20 09:37:28 PDT 2013 --  I get so happy once 1 o clock comes around on Sundays ... Time to gamble with my bank account #tryintogetrich
Sat Oct 19 21:07:38 PDT 2013 --  Can't wait to go to the fenway bars and wait in line at 5 am the first game of the World Series
Sat Oct 19 20:30:08 PDT 2013 --  BOOM. Victorino, 0-2 GRAND SLAM over Monster. RED SOX, 5-2. Little Papi!
Sat Oct 19 20:16:53 PDT 2013 --  I said it once and I'll say it again... Stephen Drew is an absolute scrub
Sat Oct 19 17:50:30 PDT 2013 --  What kind of liquor store doesn't sell condoms? Don't they know people only do sex when they're doing alcohol
Sat Oct 19 13:55:38 PDT 2013 --  H-Mart in Burlington was the wildest place I've ever been in my life .. Market basket for Koreans
Sat Oct 19 09:15:27 PDT 2013 --  Probably going to tear both of my hamstrings playing football with a bunch of WHS class of 09' washed up athletes
Sat Oct 19 09:14:11 PDT 2013 --  Probably going to tear both both of my acls playing football with a bunch of WHS class of 09' washed up athletes
Sat Oct 19 07:51:15 PDT 2013 --  Pumped that I can finally get the 5s today
Thu Oct 17 17:39:43 PDT 2013 --  Well Stephen drew absolutely blows #scrub
Thu Oct 17 15:10:28 PDT 2013 --  This kid at the gym absolutely wreaks of b.o he deserves to be shot multiple times
Thu Oct 17 11:28:53 PDT 2013 --  Ain't nothin in the whole wide world like a southern girl
Thu Oct 17 09:30:12 PDT 2013 --  Ya so meeting up with my 42 year old woman partner from class at the museum today shouldn't be weird or anything... What the fuck
Thu Oct 17 06:05:11 PDT 2013 --  after October I'm gonna try not to drink for a month .....
Wed Oct 16 10:16:09 PDT 2013 --  I can't move
Tue Oct 15 18:06:20 PDT 2013 --  @IamDJBillyC you're welcome!
Tue Oct 15 17:57:38 PDT 2013 --  Salem with @THEHEBREWHAM17 for @DanDell24 birthday to get freshman year drunk on a Tuesday night cuz nobody likes you when your 23
Tue Oct 15 16:10:50 PDT 2013 --  @DanDell24 @club_bonica would have had Vic dell at third patting my ass a stood on the base as the potential second run
Tue Oct 15 16:05:54 PDT 2013 --  If frank Hachey was the manager of the Sox they would of bunted got the runner in scoring position then got a sac fly up 2-0 @club_bonica
Tue Oct 15 13:05:04 PDT 2013 --  Couple beers and the sox game with my niggas @club_bonica @biggaymurph
Tue Oct 15 10:20:10 PDT 2013 --  Happy birthday @DanDell24 !!
Tue Oct 15 09:46:54 PDT 2013 --  Joe joe is a little hungover pic.twitter.com/UL3yxWo68v
Mon Oct 14 10:49:06 PDT 2013 --  Groupons vacation deals are absolutely unreal ... $699 for a 5 night all-inclusive trip to a Punta Cana resort #sold #signmeup #whosein?
Sun Oct 13 20:41:39 PDT 2013 --  There would be nothing better than to be at bat right now for the Red Sox
Sun Oct 13 17:10:45 PDT 2013 --  The only reason I'm not betting on the Red Sox game is because joe buck is a commentator #idespisejoebuck
Sun Oct 13 16:39:18 PDT 2013 --  The X factor Austin collie ... Where's my money @cbruno20
Sun Oct 13 10:53:02 PDT 2013 --  I love Sundays at the searles house pic.twitter.com/FMr3EAHwss
Sat Oct 12 17:01:17 PDT 2013 --  Lets Go Red Sox!!!
Sat Oct 12 14:34:53 PDT 2013 --  never doing alcohol again ...
Fri Oct 11 17:00:49 PDT 2013 --  Chilis was literally the worst decision I've ever made in my life before drinking all night #terriblefood
Fri Oct 11 14:54:25 PDT 2013 --  Boston for the night with my niggas
Fri Oct 11 09:50:26 PDT 2013 --  This weather puts me in a great mood
Fri Oct 11 04:32:43 PDT 2013 --  Nothing worse than waking up at 6:45 for class and finding out it's cancelled when u get there.. Emailed us at 2 in the morning #bitchmove
Thu Oct 10 19:22:56 PDT 2013 --  Pitch perfect is on tv #bestnightever
Thu Oct 10 05:24:47 PDT 2013 --  Nothing like a hot coffee and some scrambled eggs over hash to get the day goin #yaknow?
Wed Oct 09 15:57:00 PDT 2013 --  I don't know who annoys me more when I'm watching tv .. Flo from progressive commercials or the girl from the Wendy's commercials? #bothsuck
Wed Oct 09 11:29:01 PDT 2013 --  Absolutely grabbing a fat burrito from howling wolf for dinner #bomb.com
Wed Oct 09 04:47:29 PDT 2013 --  I love fall and everything it has to offer but damn do I already miss the summer
Tue Oct 08 18:09:40 PDT 2013 --  Tryin to destroy some orange leaf right now
Tue Oct 08 15:04:48 PDT 2013 --  target is dope, this place has everything u could ever need. #forrealdoe
Sun Oct 06 19:52:33 PDT 2013 --  Never gambling again.....
Sun Oct 06 10:01:56 PDT 2013 --  @SIEGEL_adam @MIKE_BRENT such a hardo... To bad ur not big ur a shitty little dump ball so ur attempt to impress didn't work
Sun Oct 06 09:56:18 PDT 2013 --  Not moving from searles couch all day #NFLRedZone
Fri Oct 04 23:01:57 PDT 2013 --  Parents are away throwing a party tonight
Fri Oct 04 18:18:57 PDT 2013 --  Lets get rich boys #winnerswin @Tony__Smiles @rsearles175 @DanMacKk @club_bonica
Fri Oct 04 15:58:46 PDT 2013 --  Mohegan with my niggas #letsgetrich #black24
Fri Oct 04 10:06:35 PDT 2013 --  My dad cares more about his Halloween decorations than me #truefact #halloweenlegend
Mon Sep 30 10:28:10 PDT 2013 --  Kevin Bradley, Sports Book Manager for Bovada.lv, expects Broncos to be favored over Jags by four TDs, the biggest spread in NFL history.
Sun Sep 29 18:14:21 PDT 2013 --  Hahaha who the hell is Matthew mulligan?
Sun Sep 29 18:09:35 PDT 2013 --  Bolden just made that man his bitch
Sun Sep 29 07:55:37 PDT 2013 --  If u need me ill be watching football on my couch with an iv pumping pedialyte into my body and an oxygen mask to my face
Sun Sep 29 06:19:17 PDT 2013 --  My allergies are so bad I literally can't open my eyes #blind
Sat Sep 28 22:57:43 PDT 2013 --  Lets go condo Saturdays! Hosted by yours truly @theswigga !!!' @Soupdaddy @DirtyGramirez @ItsMyGuy @DanDell24
Sat Sep 28 08:32:50 PDT 2013 --  If I could smoke I would right now, but I can't so I guess ill have to drink instead @DanDell24
Fri Sep 27 17:47:48 PDT 2013 --  Whiskey priest for the night #phonesdead
Wed Sep 25 17:47:51 PDT 2013 --  Long day of work . Making myself a White Russian. Getting into bed and watching a movie #girltweet #dontcare
Wed Sep 25 08:04:05 PDT 2013 --  "They can't even use Legos yet alone megablocks" haha @TheSwigga
Tue Sep 24 10:43:49 PDT 2013 --  Doin CPR on mannequins in front of the class is kind of awkward ?
Mon Sep 23 15:00:43 PDT 2013 --  I need to get a new hobby because gambling on football and drinking are starting to take years off of my life. Not drinkin until New Years.
Sun Sep 22 17:50:25 PDT 2013 --  That last minute TD by the dolphins has absolutely ruined my day and will haunt my dreams tonight @DanDell24 #fuckthedolphins #2weeksinarow
Sat Sep 21 21:50:39 PDT 2013 --  @DanDell24 is probably the worst friend ever #shittyassfriend
Sat Sep 21 08:44:53 PDT 2013 --  I want duncaroos right now
Fri Sep 20 16:03:50 PDT 2013 --  So giddy right now I can't sit still @biggaymurph @Swift_McVay #hungrypigsgottaeat
Wed Sep 18 16:33:41 PDT 2013 --  I know legit everyone is tweeting about the iPhone update but I gotta throw my two cents in as well and say this is dope
Wed Sep 18 08:50:35 PDT 2013 --  @DanDell24 pumping iron then shooting irons #fullday
Wed Sep 18 06:29:42 PDT 2013 --  I'm Tryin to get 9 in today
Mon Sep 16 15:50:04 PDT 2013 --  Buying a cookbook has been long overdue #gamechanger #xfactor #secretweapon #hideyawives
Sun Sep 15 19:00:18 PDT 2013 --  Murph just deep throated a pickle ... What a fag
Sun Sep 15 17:08:55 PDT 2013 --  Classy move by the sox
Sat Sep 14 21:44:13 PDT 2013 --  Mayweathers entrance was the most gangsta thing I've seen in my life
Sat Sep 14 19:10:42 PDT 2013 --  Jack Nicholson is out of his tree
Sat Sep 14 16:17:05 PDT 2013 --  Thanks for the free money babyyyyy #aggies
Sat Sep 14 16:00:48 PDT 2013 --  If I lose this bet because of this dumbass kicker kicking the ball out of bounds I will make a scene
Sat Sep 14 14:12:16 PDT 2013 --  Debating putting 500 bucks on Alvarez to beat mayweathers ass tonight #VivaMexico
Sat Sep 14 12:42:01 PDT 2013 --  Texas a&m better cover this spread or I might kill myself
Sat Sep 14 09:10:56 PDT 2013 --  Piña coladas and chink food for breakfast #breakfastofchampions
Fri Sep 13 21:51:53 PDT 2013 --  @happyfitzsays @DanDell24 yes please #hornyfor@happyfitzsays
Fri Sep 13 21:50:55 PDT 2013 --  @biggaymurph @DanDell24 can we have a play date soon?!?!?! Hehe
Fri Sep 13 19:03:37 PDT 2013 --  Check points around the area tonight drink up everyone
Fri Sep 13 08:57:52 PDT 2013 --  Friday the13th
Thu Sep 12 10:04:23 PDT 2013 --  Parked infront of puke house today. there are 2 baby carriages on the porch. Babies live in that ratchet house now @DanDell24 @ItsMyGuy
Wed Sep 11 07:42:26 PDT 2013 --  The only choice women should have is with or without the lights on
Wed Sep 11 06:30:30 PDT 2013 --  It's weird to think I remember exactly what I was doing 12 years ago today
Tue Sep 10 10:49:12 PDT 2013 --  @DanDell24 parents love him so much they made him in to an action figure pic.twitter.com/OkeDi8xheU
Tue Sep 10 08:02:20 PDT 2013 --  @DanDell24 hide ya wife hide ya kids I'm coming to Salem within a month
Tue Sep 10 08:01:32 PDT 2013 --  Going out to breakfast by yourself is a little creepy but I kind of enjoy it #nofriends
Mon Sep 09 06:40:27 PDT 2013 --  I genuinely enjoy grabbing a coffee and going grocery shopping #relaxing
Mon Sep 09 04:48:05 PDT 2013 --  I think I know it's not summer anymore when I have to turn the heat on in my car #whatashame
Sun Sep 08 11:13:50 PDT 2013 --  Lots of fireball and football with the boys
Sun Sep 08 10:20:11 PDT 2013 --  Last night 3 girls told me I looked like a young @blakeshelton I'm wearing this cowboy hat more often cuz the concert last night was unreal
Sat Sep 07 20:19:06 PDT 2013 --  Thank you Boston!!! What a night...
Sat Sep 07 19:47:48 PDT 2013 --  I would leave when the best song comes on #fuckmylife
Sat Sep 07 18:19:02 PDT 2013 --  Blake shelton is fucking hammered hahaha
Sat Sep 07 17:18:11 PDT 2013 --  Easton Corbin sucks where the fuck is Blake
